"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0627121209387731,0.0886120563614665,-0.120765741107163,0.193189023935933,"lnPROPERTY","D_MED"
-8,"Average",-0.0915796385960359,0.063213766463494,-0.22223993122468,0.0285762077288324,"lnPROPERTY","D_MED"
-7,"Average",0.000997564886508151,0.076904730240435,-0.144633612590075,0.128227509790783,"lnPROPERTY","D_MED"
-6,"Average",0.0245994854103522,0.0532639723270816,-0.0791944722561572,0.1271865047296,"lnPROPERTY","D_MED"
-5,"Average",0.0381366652442033,0.0397368816331865,-0.0459648819073893,0.116109204547145,"lnPROPERTY","D_MED"
-4,"Average",0.0228190685122369,0.0250303972763993,-0.0233073098513948,0.0707949649360693,"lnPROPERTY","D_MED"
-3,"Average",-0.0165038853325173,0.0125155572240718,-0.0416869926292081,0.00810208482129935,"lnPROPERTY","D_MED"
-2,"Average",-0.00932396141480357,0.0206933399141973,-0.0493988434802238,0.0317458930876707,"lnPROPERTY","D_MED"
-1,"Average",-0.0226905785858176,0.0380212815451887,-0.100650944782702,0.0466025311218801,"lnPROPERTY","D_MED"
0,"Average",-0.00711897237407902,0.0404010683868377,-0.0924908785772025,0.0658219228372569,"lnPROPERTY","D_MED"
1,"Average",-0.00698074511796164,0.0368033166293541,-0.0822369341618236,0.0595385760392252,"lnPROPERTY","D_MED"
2,"Average",-0.0141643390633846,0.0386489015097265,-0.083383077293205,0.0627226046513039,"lnPROPERTY","D_MED"
3,"Average",-0.0277462683380004,0.0345898912234233,-0.0911046341227449,0.0402360411359288,"lnPROPERTY","D_MED"
4,"Average",-0.00840904060678454,0.0323885038651926,-0.0697706706379312,0.0564248688093796,"lnPROPERTY","D_MED"
5,"Average",-0.0256989146655373,0.0295937993442573,-0.0846944777836112,0.0331922873971947,"lnPROPERTY","D_MED"
6,"Average",-0.0363262116126738,0.0338800198764852,-0.103154421459324,0.0277100154839519,"lnPROPERTY","D_MED"
7,"Average",-0.055954618213955,0.0506362866127235,-0.157265124542019,0.0382990891740897,"lnPROPERTY","D_MED"
8,"Average",-0.0845104062317914,0.0665468902066019,-0.216405573374829,0.0352062685943298,"lnPROPERTY","D_MED"
9,"Average",-0.102668417666437,0.0778131611234177,-0.256495088053884,0.0368292920492109,"lnPROPERTY","D_MED"
10,"Average",-0.112853138800991,0.08917352449485,-0.300416633290481,0.0404696837941801,"lnPROPERTY","D_MED"
11,"Average",-0.0819622143910721,0.0944174439328045,-0.285547870126919,0.063482382114355,"lnPROPERTY","D_MED"
12,"Average",-0.070069382346219,0.100743931641049,-0.283457939221484,0.0853572318080053,"lnPROPERTY","D_MED"
13,"Average",-0.0501261805361988,0.0945013172193747,-0.251861513530728,0.0901520726379496,"lnPROPERTY","D_MED"
14,"Average",-0.029256279727691,0.0940414676889228,-0.22375201527026,0.103463187234888,"lnPROPERTY","D_MED"
15,"Average",0.0479709423046486,0.0931337293805562,-0.142480430844119,0.190209413039731,"lnPROPERTY","D_MED"
NA,"Average",-0.041617136711758,0.051981921255536,-0.148698442514175,0.045491240840267,"lnPROPERTY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-4,"ALASKA",0.038320506530896,0.0513362283879818,-0.0610656676431899,0.10536061116412,"lnPROPERTY","D_MED"
-3,"ALASKA",0.0103637212213314,0.0167331753633201,-0.0239821020479769,0.0385368278218949,"lnPROPERTY","D_MED"
-2,"ALASKA",-0.011046030073949,0.00998610920227528,-0.0256409561931179,0.0094464940560636,"lnPROPERTY","D_MED"
-1,"ALASKA",-0.0376381976782802,0.0577368583935136,-0.123790098204491,0.0802827662217464,"lnPROPERTY","D_MED"
0,"ALASKA",-0.0388605198144685,0.0975796987286719,-0.183405306901079,0.14814095524592,"lnPROPERTY","D_MED"
1,"ALASKA",-0.0232197575063644,0.0957164759306856,-0.172051457916122,0.145212287105629,"lnPROPERTY","D_MED"
2,"ALASKA",-0.0773828560366798,0.105603194496605,-0.231189337897455,0.141741552787096,"lnPROPERTY","D_MED"
3,"ALASKA",-0.0481811333908411,0.0727520563878007,-0.14876683800672,0.0930745578072015,"lnPROPERTY","D_MED"
4,"ALASKA",-0.0461921165476884,0.0648778267116287,-0.133458892826369,0.0800657243444654,"lnPROPERTY","D_MED"
5,"ALASKA",-0.155003776557999,0.144456171443849,-0.359163683037402,0.146169626175974,"lnPROPERTY","D_MED"
6,"ALASKA",-0.0702516544294696,0.0591908720042679,-0.162782474976857,0.0614445513725171,"lnPROPERTY","D_MED"
7,"ALASKA",-0.0504663917236687,0.0631821796618229,-0.151940818325342,0.081066167431639,"lnPROPERTY","D_MED"
8,"ALASKA",-0.080099400887562,0.0929898482817795,-0.239542009373189,0.107152633389816,"lnPROPERTY","D_MED"
9,"ALASKA",-0.186351510777387,0.202393742427562,-0.487760132666462,0.226053581775566,"lnPROPERTY","D_MED"
10,"ALASKA",-0.132724182871396,0.148097298297082,-0.358650961298859,0.172257001384463,"lnPROPERTY","D_MED"
11,"ALASKA",-0.118494825636036,0.164279355055321,-0.381213271492721,0.214802817467927,"lnPROPERTY","D_MED"
12,"ALASKA",-0.176532815899261,0.258223223835278,-0.592312944274898,0.344396120814591,"lnPROPERTY","D_MED"
13,"ALASKA",-0.121481630233456,0.192821823495125,-0.440613336910435,0.270007703941622,"lnPROPERTY","D_MED"
14,"ALASKA",-0.0185738110351084,0.108302856536525,-0.213825759364895,0.18312776188623,"lnPROPERTY","D_MED"
15,"ALASKA",0.0304790885082298,0.129320575224696,-0.208778340573135,0.243820600787048,"lnPROPERTY","D_MED"
