"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0935325621157128,0.130754432265388,-0.319766325945703,0.169005467334883,"lnASSAULT","D_MED"
-8,"Average",-0.0570030511360047,0.0752203872761343,-0.204346247421401,0.0979827586044628,"lnASSAULT","D_MED"
-7,"Average",0.0882734885727405,0.166638048521053,-0.251996824037657,0.352409831270762,"lnASSAULT","D_MED"
-6,"Average",-0.00874989006588637,0.11177525626748,-0.207985704121834,0.254383741404403,"lnASSAULT","D_MED"
-5,"Average",0.006789486367623,0.0421832597677844,-0.0772568414517462,0.0877891673831782,"lnASSAULT","D_MED"
-4,"Average",-0.00290684229729465,0.0289834455240186,-0.0600104841087222,0.0514819729713192,"lnASSAULT","D_MED"
-3,"Average",0.000849629932560103,0.0327091812767924,-0.0599027275049192,0.0649653842998322,"lnASSAULT","D_MED"
-2,"Average",-0.0023694508721668,0.0432054210919562,-0.0818185993009381,0.0871276667126507,"lnASSAULT","D_MED"
-1,"Average",0.000452625692572934,0.0448772718839223,-0.0788414579128208,0.0893444647358146,"lnASSAULT","D_MED"
0,"Average",0.0271229435126582,0.0536620488309132,-0.0687594552938492,0.137507871555981,"lnASSAULT","D_MED"
1,"Average",-0.0231990895243493,0.101618207234479,-0.187207558635157,0.189445253976354,"lnASSAULT","D_MED"
2,"Average",0.00474406677224752,0.119727909861697,-0.190501631210365,0.25794115575101,"lnASSAULT","D_MED"
3,"Average",0.0271929952627709,0.135920128275296,-0.197522072435381,0.313237162596084,"lnASSAULT","D_MED"
4,"Average",0.0958776784671281,0.14697105896935,-0.146691820759426,0.4059936327795,"lnASSAULT","D_MED"
5,"Average",0.130247781195766,0.140387760769919,-0.106680310565778,0.427837931819888,"lnASSAULT","D_MED"
6,"Average",0.135702968157554,0.132571268759314,-0.0970416683763342,0.410190914862504,"lnASSAULT","D_MED"
7,"Average",0.131209317495669,0.143558274351196,-0.121557059948941,0.422339029378341,"lnASSAULT","D_MED"
8,"Average",0.131474713157963,0.136949489460755,-0.115556860745338,0.407338651401599,"lnASSAULT","D_MED"
9,"Average",0.120159762416476,0.128078422466403,-0.11155527711438,0.379850438107022,"lnASSAULT","D_MED"
10,"Average",0.075159603065702,0.127974801969322,-0.154791559633771,0.342931589246354,"lnASSAULT","D_MED"
11,"Average",0.160456824649172,0.133543794743841,-0.0878152415528491,0.435956069233913,"lnASSAULT","D_MED"
12,"Average",0.108000068683024,0.143298219142348,-0.141350929610043,0.420657633271638,"lnASSAULT","D_MED"
13,"Average",0.165183757080729,0.142355840701481,-0.0937493535813179,0.471770872717911,"lnASSAULT","D_MED"
14,"Average",0.132754836875876,0.146475652573799,-0.132734818964942,0.445164678839866,"lnASSAULT","D_MED"
15,"Average",0.148735318181343,0.160436744117918,-0.168306489445532,0.470479531272411,"lnASSAULT","D_MED"
NA,"Average",0.0981764715906081,0.121163494974566,-0.110412349586253,0.350774516982286,"lnASSAULT","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-4,"ALASKA",0.0032781272489748,0.0739149147004026,-0.113945787281386,0.11854952678979,"lnASSAULT","D_MED"
-3,"ALASKA",0.0456404861578559,0.0439896735424426,-0.048942824660277,0.115330433109203,"lnASSAULT","D_MED"
-2,"ALASKA",-0.0120203126415648,0.0220933624169409,-0.0429047962381576,0.0336487129021236,"lnASSAULT","D_MED"
-1,"ALASKA",-0.0368983007652659,0.0441786095563477,-0.108775124772016,0.0553505702977569,"lnASSAULT","D_MED"
