"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.00560244994449199,0.169876034432478,-0.277402725503517,0.28387688077154,"lnAUTO","D_MED"
-8,"Average",0.0551953098305598,0.0557331904643817,-0.0616020385582994,0.147547622397567,"lnAUTO","D_MED"
-7,"Average",-0.00615397238780346,0.0803943252515495,-0.154163938167999,0.139247418594848,"lnAUTO","D_MED"
-6,"Average",-0.0329164658360736,0.0662311528751674,-0.16457514737854,0.0969245090033712,"lnAUTO","D_MED"
-5,"Average",0.0108004728596921,0.0620824404578107,-0.126384897783952,0.118881725312692,"lnAUTO","D_MED"
-4,"Average",0.00773720836787506,0.0392620897463283,-0.0659767547461053,0.0889078594910468,"lnAUTO","D_MED"
-3,"Average",-0.00445926919743111,0.0306001559491467,-0.06903024765193,0.0517179432545208,"lnAUTO","D_MED"
-2,"Average",0.000418270834046256,0.0183565470555483,-0.0357446853102014,0.0351003606042933,"lnAUTO","D_MED"
-1,"Average",-0.00374785918440473,0.0456049498074704,-0.0842461319591889,0.0845343371836432,"lnAUTO","D_MED"
0,"Average",0.0336979227471039,0.0678542524009295,-0.0851950836002052,0.176238685397645,"lnAUTO","D_MED"
1,"Average",0.0626257052862141,0.0787214614559722,-0.0850092694529353,0.226063119688066,"lnAUTO","D_MED"
2,"Average",0.0235453574470728,0.107159761026355,-0.183477811459189,0.232137092165706,"lnAUTO","D_MED"
3,"Average",0.0547537831390584,0.120022283125242,-0.177663995531303,0.302484868733875,"lnAUTO","D_MED"
4,"Average",0.0284626234497696,0.134924434916269,-0.221649304398748,0.310609126093129,"lnAUTO","D_MED"
5,"Average",0.0145000721010844,0.123354160291627,-0.204859018045678,0.272166368583023,"lnAUTO","D_MED"
6,"Average",0.00413237260924356,0.0987627423169192,-0.17948246479631,0.205339888630769,"lnAUTO","D_MED"
7,"Average",-0.0599799048382514,0.112469426207615,-0.260566933950967,0.167619372275313,"lnAUTO","D_MED"
8,"Average",-0.0978657066568624,0.117849866096586,-0.296105523126848,0.147286133593111,"lnAUTO","D_MED"
9,"Average",-0.193889991033586,0.164316711019554,-0.502381024134711,0.149279064848734,"lnAUTO","D_MED"
10,"Average",-0.213138292786145,0.209390747764606,-0.580389963571745,0.239924067364107,"lnAUTO","D_MED"
11,"Average",-0.155688796726717,0.172631133277849,-0.467842860647491,0.208683721057936,"lnAUTO","D_MED"
12,"Average",-0.137572103179634,0.147017772087856,-0.428900670486075,0.153434836980153,"lnAUTO","D_MED"
13,"Average",-0.155342139112133,0.187109207159734,-0.491377949293144,0.231293845342518,"lnAUTO","D_MED"
14,"Average",-0.0982320954983695,0.167368261434955,-0.409766685323694,0.249919713750126,"lnAUTO","D_MED"
15,"Average",-0.00304665098714067,0.169087515500501,-0.307909566528355,0.357698362778543,"lnAUTO","D_MED"
NA,"Average",-0.0558148652524558,0.110400707778429,-0.257133868397797,0.177386501533801,"lnAUTO","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-4,"ALASKA",-0.0414160737558635,0.0810496005805675,-0.167869198667955,0.118925045911309,"lnAUTO","D_MED"
-3,"ALASKA",0.0693251597128102,0.0548266099723542,-0.0460523842082489,0.177858359251166,"lnAUTO","D_MED"
-2,"ALASKA",0.0173603142151206,0.0662966246992619,-0.105433570842721,0.121187506109362,"lnAUTO","D_MED"
-1,"ALASKA",-0.0452694001720664,0.0495861026383862,-0.13872538698668,0.0561216809868761,"lnAUTO","D_MED"
0,"ALASKA",0.066524105341915,0.0477657282114569,-0.033654110264126,0.154145850135694,"lnAUTO","D_MED"
1,"ALASKA",-0.0188992904137812,0.0914814480838055,-0.162331612732498,0.145177787616113,"lnAUTO","D_MED"
2,"ALASKA",-0.0796921444075709,0.073924617810842,-0.220045488954256,0.0685287092290402,"lnAUTO","D_MED"
3,"ALASKA",-0.18298970996791,0.161585550560088,-0.486488583276897,0.138575118684866,"lnAUTO","D_MED"
4,"ALASKA",-0.256403360190655,0.216248566470334,-0.657818585370113,0.170325545952626,"lnAUTO","D_MED"
5,"ALASKA",-0.349798342836801,0.280136113085227,-0.897430781027592,0.2323667217442,"lnAUTO","D_MED"
6,"ALASKA",-0.154006278874144,0.13323482493434,-0.395110371548087,0.123942539709964,"lnAUTO","D_MED"
7,"ALASKA",-0.219082822367731,0.188374107252942,-0.56207049144759,0.179333203800888,"lnAUTO","D_MED"
8,"ALASKA",-0.268008591741453,0.239821294314909,-0.687592825464327,0.219468749275431,"lnAUTO","D_MED"
9,"ALASKA",-0.534905288016314,0.441855556548275,-1.37233514539039,0.356433790544862,"lnAUTO","D_MED"
10,"ALASKA",-0.518102940964654,0.450527330254757,-1.32922829969595,0.413936138877162,"lnAUTO","D_MED"
11,"ALASKA",-0.324725962660207,0.27413645318565,-0.833105193971171,0.215713123495263,"lnAUTO","D_MED"
12,"ALASKA",-0.446631670659526,0.400788272890121,-1.14586321847773,0.423920371471942,"lnAUTO","D_MED"
13,"ALASKA",-0.395338669892355,0.320275840543343,-1.01426645945266,0.262620033653697,"lnAUTO","D_MED"
14,"ALASKA",-0.282921220812749,0.234208163871757,-0.725849521405037,0.200497359815684,"lnAUTO","D_MED"
15,"ALASKA",-0.285203567122094,0.246722284081964,-0.731706168699843,0.228818827621947,"lnAUTO","D_MED"
NA,"ALASKA",-0.265636609724127,0.217010614488694,-0.681507066554241,0.176460070477704,"lnAUTO","D_MED"
-9,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-8,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-7,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-6,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-5,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-4,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-3,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-2,"CALIFORNIA",0.0389295184622052,0.0569586829453299,-0.0732961708679338,0.140256108014765,"lnAUTO","D_MED"
-1,"CALIFORNIA",-0.0389295184622052,0.0569586829453292,-0.140256108014765,0.073296170867932,"lnAUTO","D_MED"
0,"CALIFORNIA",-0.0896929658316044,0.119772845662207,-0.276028681157107,0.153706263038073,"lnAUTO","D_MED"
1,"CALIFORNIA",-0.237901450091383,0.223913405339235,-0.601842877879425,0.218584065150569,"lnAUTO","D_MED"
2,"CALIFORNIA",-0.330879828784342,0.353628386412908,-0.869131615695773,0.381426436526447,"lnAUTO","D_MED"
3,"CALIFORNIA",-0.216897812585655,0.245385543367518,-0.601415359712452,0.284998142737583,"lnAUTO","D_MED"
4,"CALIFORNIA",-0.192274139332245,0.214475057090459,-0.540612548053598,0.237562265476278,"lnAUTO","D_MED"
5,"CALIFORNIA",-0.125839797334923,0.143529311866835,-0.371138779070189,0.163147572986397,"lnAUTO","D_MED"
6,"CALIFORNIA",-0.0833836010200155,0.0886960851518279,-0.244208001717604,0.104797135696152,"lnAUTO","D_MED"
7,"CALIFORNIA",-0.0298364001942879,0.0754189390065259,-0.135056977162253,0.1227605776284,"lnAUTO","D_MED"
8,"CALIFORNIA",0.0602369871694313,0.0823260537399111,-0.102372681904521,0.216898048017992,"lnAUTO","D_MED"
