"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0487403191386839,0.129986552028994,-0.194639521209525,0.263088910260928,"lnBURGLARY","D_MED"
-8,"Average",-0.0620023532517529,0.0821802919395239,-0.180118789389599,0.108449220409962,"lnBURGLARY","D_MED"
-7,"Average",-0.0118758285573501,0.0669770403083235,-0.139344293287206,0.116744009839465,"lnBURGLARY","D_MED"
-6,"Average",0.00819616646467599,0.0551383620615134,-0.110937483612016,0.1251731627458,"lnBURGLARY","D_MED"
-5,"Average",0.0424153738245549,0.0412098344699694,-0.0334169846731528,0.127371235653403,"lnBURGLARY","D_MED"
-4,"Average",0.0123421473374962,0.033767747897246,-0.0378744467468213,0.085722895887854,"lnBURGLARY","D_MED"
-3,"Average",-0.0139247057841708,0.0206276712351764,-0.0544981677926719,0.023557456065285,"lnBURGLARY","D_MED"
-2,"Average",0.00218794575431009,0.0252345315924011,-0.0520816420711148,0.0472681450778538,"lnBURGLARY","D_MED"
-1,"Average",-0.0229647468338255,0.0470904810795415,-0.124288276013401,0.0578252917555548,"lnBURGLARY","D_MED"
0,"Average",-0.0103768295107415,0.0498460866150822,-0.115996740555759,0.072224648854254,"lnBURGLARY","D_MED"
1,"Average",-0.0368081502873052,0.0360001489402101,-0.108708029762976,0.0310744116863523,"lnBURGLARY","D_MED"
2,"Average",-0.0563125815504118,0.047976698323075,-0.150310061788476,0.0367431814443063,"lnBURGLARY","D_MED"
3,"Average",-0.0869525549132324,0.0521142665691892,-0.186726374497678,0.0102808429773961,"lnBURGLARY","D_MED"
4,"Average",-0.0610727244744124,0.0490065040318608,-0.153159506439549,0.0291203432015377,"lnBURGLARY","D_MED"
5,"Average",-0.0470958148012944,0.0513084218355469,-0.154089604791329,0.0537674030917412,"lnBURGLARY","D_MED"
6,"Average",-0.0628371960662843,0.0683415487073007,-0.204999565501492,0.0605592506839376,"lnBURGLARY","D_MED"
7,"Average",-0.0763797309299497,0.0772806894675571,-0.241130366944172,0.0507441068534961,"lnBURGLARY","D_MED"
8,"Average",-0.0860483756448891,0.0995996189404052,-0.298998593811864,0.0696335722131002,"lnBURGLARY","D_MED"
9,"Average",-0.134641528891185,0.124811441538175,-0.405096283323964,0.0605731465955656,"lnBURGLARY","D_MED"
10,"Average",-0.132225696998821,0.140271044040731,-0.430108719746555,0.0790759366597715,"lnBURGLARY","D_MED"
11,"Average",-0.0735391121897972,0.148624777713315,-0.38630171665894,0.152033193243214,"lnBURGLARY","D_MED"
12,"Average",-0.116975536321539,0.13857525790412,-0.418110557606132,0.106871439770691,"lnBURGLARY","D_MED"
13,"Average",-0.0613467710180706,0.124817367301011,-0.335728077447993,0.140809517135025,"lnBURGLARY","D_MED"
14,"Average",-0.0752243838630083,0.118780363575866,-0.330451105364923,0.11743346112885,"lnBURGLARY","D_MED"
15,"Average",-0.0617038690406999,0.103026604426245,-0.282179984232984,0.115134723090554,"lnBURGLARY","D_MED"
NA,"Average",-0.0737213035313526,0.0785257614266494,-0.243553703110657,0.053252729092214,"lnBURGLARY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-4,"ALASKA",0.0792291935604696,0.0742944674964822,-0.0745009710157818,0.203267843593505,"lnBURGLARY","D_MED"
-3,"ALASKA",0.0933062059956056,0.103499616639183,-0.119154962233303,0.260224948107505,"lnBURGLARY","D_MED"
-2,"ALASKA",-0.0880118634047955,0.0928911697290532,-0.231335007454618,0.107143620840151,"lnBURGLARY","D_MED"
-1,"ALASKA",-0.0845235361512797,0.0833534095282343,-0.22208519402225,0.083429649702378,"lnBURGLARY","D_MED"
0,"ALASKA",-0.104815407941103,0.0847360684942306,-0.268915959579306,0.0651850130051821,"lnBURGLARY","D_MED"
1,"ALASKA",-0.0148643664247921,0.0378059223414636,-0.0762623948186294,0.0576253134152653,"lnBURGLARY","D_MED"
2,"ALASKA",-0.0724443111166488,0.0697345522086262,-0.206816966456246,0.065823496315615,"lnBURGLARY","D_MED"
3,"ALASKA",-0.0562942910507251,0.0748156998619644,-0.176906414707102,0.096382909091851,"lnBURGLARY","D_MED"
4,"ALASKA",-0.0936258390863216,0.0927887144386355,-0.241091999096304,0.095954625387907,"lnBURGLARY","D_MED"
5,"ALASKA",-0.137107367361742,0.112880835178287,-0.337502961357746,0.0922180955398106,"lnBURGLARY","D_MED"
6,"ALASKA",-0.0620300843882831,0.0478178955639373,-0.159145966990081,0.0302777709839655,"lnBURGLARY","D_MED"
7,"ALASKA",-0.072667731416888,0.0484960043988709,-0.17481813791085,0.013586348461263,"lnBURGLARY","D_MED"
8,"ALASKA",-0.22438264164105,0.165553760371663,-0.52541994957122,0.115120842501372,"lnBURGLARY","D_MED"
