"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0660367220674036,0.0975479751969066,-0.133529517047165,0.220168599598578,"lnLARCENY","D_MED"
-8,"Average",-0.140879343454251,0.110736690016312,-0.33127493535226,0.0722673218891484,"lnLARCENY","D_MED"
-7,"Average",0.0295069420855429,0.107855960652242,-0.179567221730564,0.198927566716303,"lnLARCENY","D_MED"
-6,"Average",0.0524470472179107,0.0682301172768658,-0.0815082616832724,0.188833916577136,"lnLARCENY","D_MED"
-5,"Average",0.0350115895169276,0.041343775756413,-0.0438306237658973,0.108388305549916,"lnLARCENY","D_MED"
-4,"Average",0.019335199488035,0.0244416979626251,-0.028957311628684,0.0681870928473742,"lnLARCENY","D_MED"
-3,"Average",-0.0173536383677551,0.0171117968974529,-0.0535237273555962,0.013465014663883,"lnLARCENY","D_MED"
-2,"Average",-0.0111937813915052,0.0264124064312109,-0.0613139704335888,0.0398835997641278,"lnLARCENY","D_MED"
-1,"Average",-0.0257420898290337,0.0385908110052076,-0.10505609487672,0.0466795325507652,"lnLARCENY","D_MED"
0,"Average",-0.0182419069240991,0.045451803743606,-0.119031434345631,0.0576886464419432,"lnLARCENY","D_MED"
1,"Average",-0.0125396319175577,0.0396800183888635,-0.100420303357278,0.0541590948361359,"lnLARCENY","D_MED"
2,"Average",-0.0177788006710375,0.0384651234024597,-0.0940380846212734,0.051662121160208,"lnLARCENY","D_MED"
3,"Average",-0.0391115019577852,0.036256345637401,-0.110712546316088,0.0305279801545967,"lnLARCENY","D_MED"
4,"Average",-0.0232303505934955,0.0368858814239989,-0.0982863432309363,0.0474477098354801,"lnLARCENY","D_MED"
5,"Average",-0.0355528057747722,0.0394158037406563,-0.114147346850585,0.0411858804428579,"lnLARCENY","D_MED"
6,"Average",-0.0417361172248361,0.0415545972714151,-0.125577442787562,0.0358439620059077,"lnLARCENY","D_MED"
7,"Average",-0.0584901763795523,0.0549351277107667,-0.169669350044248,0.0374573657344297,"lnLARCENY","D_MED"
8,"Average",-0.0862045865469205,0.0755882478157612,-0.243877959525072,0.0501483303377985,"lnLARCENY","D_MED"
9,"Average",-0.0890617693719897,0.0785612070480111,-0.250436542309162,0.0571799409438464,"lnLARCENY","D_MED"
