"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0224480850155571,0.0571259859491322,-0.0818066922281859,0.114264261672712,"lnMURDER","D_MED"
-8,"Average",-0.0984153316934628,0.157734321064681,-0.352399071097582,0.228464360748227,"lnMURDER","D_MED"
-7,"Average",0.0251168553467918,0.272170030187041,-0.449897312537145,0.478956243518543,"lnMURDER","D_MED"
-6,"Average",0.0654004075632114,0.111551117173917,-0.165735774886258,0.264294057794676,"lnMURDER","D_MED"
-5,"Average",0.0558538786502674,0.109867177049683,-0.176912334816024,0.242536903945686,"lnMURDER","D_MED"
-4,"Average",-0.0138433261988975,0.0425311880649865,-0.104427993720051,0.0590912429175438,"lnMURDER","D_MED"
-3,"Average",-0.0103426673087837,0.0588323019750599,-0.111730374478602,0.110135199990731,"lnMURDER","D_MED"
-2,"Average",-0.0162632593071301,0.080177593625713,-0.14550464336969,0.15644971433083,"lnMURDER","D_MED"
-1,"Average",-0.0122088664590031,0.0879398208572277,-0.155123641013894,0.17260612160694,"lnMURDER","D_MED"
0,"Average",-0.0627048732909728,0.0916058695177681,-0.253190588063894,0.0937064843521991,"lnMURDER","D_MED"
1,"Average",-0.262515401594559,0.146235519353156,-0.557056946532676,0.00893589430995056,"lnMURDER","D_MED"
2,"Average",-0.10332012369847,0.102153375314041,-0.304647445820668,0.0850434274564036,"lnMURDER","D_MED"
3,"Average",-0.201065568577568,0.128479376222901,-0.449733535848819,0.0477656321213745,"lnMURDER","D_MED"
4,"Average",-0.0203506224672588,0.0886850206196558,-0.203632832157761,0.144181089424216,"lnMURDER","D_MED"
5,"Average",-0.205147109867856,0.103567941312967,-0.4150152515891,-0.0200250992943492,"lnMURDER","D_MED"
6,"Average",-0.193504970272708,0.11015910297337,-0.420317629011034,0.0149699023587511,"lnMURDER","D_MED"
7,"Average",-0.121114607789049,0.0965298705190405,-0.306481639221312,0.0712720352047812,"lnMURDER","D_MED"
8,"Average",-0.122992182164902,0.102279220004227,-0.317670256335862,0.0636510331362125,"lnMURDER","D_MED"
9,"Average",-0.134887754217977,0.110231976726685,-0.35564569523349,0.0746032057515203,"lnMURDER","D_MED"
10,"Average",-0.204026214265979,0.141069226151575,-0.46086084076147,0.0597417360485269,"lnMURDER","D_MED"
11,"Average",-0.0794761091525512,0.120059887898046,-0.297979343733537,0.170604976605732,"lnMURDER","D_MED"
12,"Average",-0.15380616906454,0.148252315435931,-0.415987125637445,0.146173187330923,"lnMURDER","D_MED"
13,"Average",-0.074363180086985,0.105943087468679,-0.281218063159028,0.137485565287613,"lnMURDER","D_MED"
14,"Average",-0.271369168498719,0.173511959330902,-0.598259997388592,0.0616802790021249,"lnMURDER","D_MED"
15,"Average",-0.168233439261841,0.144208023502022,-0.439511327059111,0.115999015820421,"lnMURDER","D_MED"
NA,"Average",-0.148679843391996,0.0877269621487692,-0.321614326337439,0.0144375630194829,"lnMURDER","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-4,"ALASKA",0.287960483732018,0.266268241076706,-0.255880903757881,0.729061446841207,"lnMURDER","D_MED"
-3,"ALASKA",-0.0798480453691885,0.0776109333333168,-0.198929970188822,0.0792225470707715,"lnMURDER","D_MED"
-2,"ALASKA",0.124465202615177,0.140003989031634,-0.169180156225076,0.348761762761314,"lnMURDER","D_MED"
-1,"ALASKA",-0.332577640978006,0.252108636707964,-0.758841926011485,0.196377298463944,"lnMURDER","D_MED"
0,"ALASKA",0.306768965808022,0.262842292532482,-0.247012958576021,0.751840927826111,"lnMURDER","D_MED"
1,"ALASKA",-0.42205684442326,0.391216863742664,-1.0528028720852,0.436013800078883,"lnMURDER","D_MED"
2,"ALASKA",0.105268665609543,0.160949234705324,-0.221675259582025,0.34583051827846,"lnMURDER","D_MED"
3,"ALASKA",-0.297125802009679,0.225294799024056,-0.689139838362768,0.183006633807612,"lnMURDER","D_MED"
4,"ALASKA",-0.122983069798813,0.0888774457306035,-0.285169929778035,0.0620988672493262,"lnMURDER","D_MED"
5,"ALASKA",-0.0274904388689876,0.106630013734211,-0.219344104354674,0.196832093164234,"lnMURDER","D_MED"
