"Time","Estimate","lower_bound","upper_bound","p_val","Outcome","Treatment","Cohort"
1995,0.0471049601006683,NA,NA,NA,"lnPROPERTY","D_MED",2017
1996,-0.0133836940197458,NA,NA,NA,"lnPROPERTY","D_MED",2017
1997,-0.0253907821226189,NA,NA,NA,"lnPROPERTY","D_MED",2017
1998,0.00779232643595584,NA,NA,NA,"lnPROPERTY","D_MED",2017
1999,-0.00387558457556914,NA,NA,NA,"lnPROPERTY","D_MED",2017
2000,-0.00323564348237504,NA,NA,NA,"lnPROPERTY","D_MED",2017
2001,0.0142204649976581,NA,NA,NA,"lnPROPERTY","D_MED",2017
2002,0.00104694837291497,NA,NA,NA,"lnPROPERTY","D_MED",2017
2003,-0.0417086017673061,NA,NA,NA,"lnPROPERTY","D_MED",2017
2004,-0.0501595347856583,NA,NA,NA,"lnPROPERTY","D_MED",2017
2005,0.00412187704255906,NA,NA,NA,"lnPROPERTY","D_MED",2017
2006,0.00996311669449845,NA,NA,NA,"lnPROPERTY","D_MED",2017
2007,0.0121344986269794,NA,NA,NA,"lnPROPERTY","D_MED",2017
2008,0.0110422169071178,NA,NA,NA,"lnPROPERTY","D_MED",2017
2009,0.0117665385782155,NA,NA,NA,"lnPROPERTY","D_MED",2017
2010,-0.0414395794408291,NA,NA,NA,"lnPROPERTY","D_MED",2017
2011,-0.0261489436857572,NA,NA,NA,"lnPROPERTY","D_MED",2017
2012,-0.0113853515749858,NA,NA,NA,"lnPROPERTY","D_MED",2017
2013,0.0225721825864316,NA,NA,NA,"lnPROPERTY","D_MED",2017
2014,0.0482760216565206,NA,NA,NA,"lnPROPERTY","D_MED",2017
2015,0.0195258560484151,NA,NA,NA,"lnPROPERTY","D_MED",2017
2016,0.0378996475493221,NA,NA,NA,"lnPROPERTY","D_MED",2017
2017,0.0379257418957115,-0.0964810700996765,0.166846561564757,0.331,"lnPROPERTY","D_MED",2017
2018,0.081071259179665,-0.036877575836696,0.171590132564314,0.263,"lnPROPERTY","D_MED",2017
2019,0.0744176213658845,-0.0599891906295035,0.208824433361272,0.484,"lnPROPERTY","D_MED",2017
