"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0045384151081751,0.212717129328838,-0.3489298717585,0.353006130745282,"lnRAPE","D_MED"
-8,"Average",0.0378181019634556,0.14702517586036,-0.226730474315986,0.26093809110991,"lnRAPE","D_MED"
-7,"Average",0.028069762758471,0.104345105192486,-0.195667335329912,0.230648026096423,"lnRAPE","D_MED"
-6,"Average",-0.0116145263025738,0.073283695725782,-0.151145707075353,0.116589730161158,"lnRAPE","D_MED"
-5,"Average",-0.00251449541544853,0.0351668719786635,-0.070341521633956,0.0652723175911404,"lnRAPE","D_MED"
-4,"Average",-0.000553232233050815,0.0481378290617057,-0.0796638197045983,0.0970053670789192,"lnRAPE","D_MED"
-3,"Average",-0.00331209312601066,0.0386464842588012,-0.0676359166535607,0.0760472074011512,"lnRAPE","D_MED"
-2,"Average",-0.00148314395106934,0.0407089098005201,-0.0864756716577619,0.0692653791091782,"lnRAPE","D_MED"
-1,"Average",-0.000756565352388291,0.0354210999786737,-0.0745754639729309,0.0693700423916671,"lnRAPE","D_MED"
0,"Average",0.0806261022186461,0.0667406445389337,-0.0428669662137612,0.214710953779581,"lnRAPE","D_MED"
1,"Average",0.0436099562042488,0.0878606285824428,-0.107037117500261,0.227217775893556,"lnRAPE","D_MED"
2,"Average",0.0698452195606651,0.0828675298291874,-0.0846460773708179,0.236053851808381,"lnRAPE","D_MED"
3,"Average",0.0697068571112409,0.0782617240290642,-0.0811946368135366,0.220288144478452,"lnRAPE","D_MED"
4,"Average",0.110049676003101,0.0874422678122341,-0.062032531279309,0.281795322967102,"lnRAPE","D_MED"
5,"Average",0.156806010346861,0.127884732781472,-0.103566151520631,0.393421411499139,"lnRAPE","D_MED"
6,"Average",0.134756116811195,0.102618229698283,-0.0684474679094927,0.347255710815018,"lnRAPE","D_MED"
7,"Average",0.0568131163935562,0.0932786585945751,-0.126878086655344,0.234512216536418,"lnRAPE","D_MED"
8,"Average",0.0353832741564831,0.100342407526291,-0.151455746636505,0.227297659058649,"lnRAPE","D_MED"
9,"Average",-0.0168196162444131,0.122733271896776,-0.251536788538613,0.219115181805105,"lnRAPE","D_MED"
10,"Average",-0.0265986827789181,0.131047062675195,-0.276033983156418,0.220081230646865,"lnRAPE","D_MED"
11,"Average",0.0970419252975118,0.115496990407132,-0.118352671212825,0.32914319180331,"lnRAPE","D_MED"
