"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.272428691792798,0.345965734096112,-0.823512028320979,0.440925142556356,"lnROBBERY","D_MED"
-8,"Average",0.162295193455964,0.12557163950256,-0.0676425615909618,0.376057834773655,"lnROBBERY","D_MED"
-7,"Average",0.0325583355679397,0.0513333436006678,-0.0631617308441591,0.135142998066804,"lnROBBERY","D_MED"
-6,"Average",-0.0645319793574049,0.11013352380449,-0.232477757029303,0.162196967706991,"lnROBBERY","D_MED"
-5,"Average",0.030144782231354,0.0375829097482903,-0.0440187415558644,0.103551946382178,"lnROBBERY","D_MED"
-4,"Average",0.075359568526598,0.0783668285324868,-0.0810764679489328,0.21746139762692,"lnROBBERY","D_MED"
-3,"Average",0.0149293807579292,0.0486338668430829,-0.0842922683528514,0.0892896555143124,"lnROBBERY","D_MED"
-2,"Average",-0.013805451921699,0.0165085438414354,-0.0472343830903375,0.0178474938266633,"lnROBBERY","D_MED"
-1,"Average",-0.0566859636516141,0.0379466750106313,-0.133281123618468,0.014018661281976,"lnROBBERY","D_MED"
0,"Average",-0.0330289376983712,0.035659888727173,-0.10129638977586,0.0397634723315534,"lnROBBERY","D_MED"
1,"Average",-0.0942776342282578,0.0608702074075901,-0.212270404063721,0.0150939250882524,"lnROBBERY","D_MED"
2,"Average",-0.117281620180474,0.0972499037833501,-0.318633224604883,0.0632844450273545,"lnROBBERY","D_MED"
3,"Average",-0.123887499422502,0.0860718804261397,-0.296233651921635,0.035234540127013,"lnROBBERY","D_MED"
4,"Average",-0.0527271789639745,0.0753876079026495,-0.198724204277772,0.100386296145141,"lnROBBERY","D_MED"
5,"Average",-0.00600462038204035,0.0869721983962147,-0.184640449816064,0.171447670610318,"lnROBBERY","D_MED"
6,"Average",-0.0400963988070246,0.0830407924806873,-0.213934748355141,0.122873926784033,"lnROBBERY","D_MED"
7,"Average",-0.0320222367588816,0.0814967582588367,-0.201922419534063,0.128207752437874,"lnROBBERY","D_MED"
8,"Average",-0.0236567185526612,0.102123676811819,-0.239826125633832,0.158106357549474,"lnROBBERY","D_MED"
9,"Average",-0.0283704963190763,0.0923792413551302,-0.222906467989268,0.147972369193508,"lnROBBERY","D_MED"
10,"Average",0.0403953556682064,0.105124985012261,-0.16633592309542,0.251855926560768,"lnROBBERY","D_MED"
11,"Average",0.103451446337424,0.114718043255534,-0.123037244270051,0.330360434452569,"lnROBBERY","D_MED"
12,"Average",0.132360987153772,0.134309485205896,-0.129423684678017,0.394199800076738,"lnROBBERY","D_MED"
13,"Average",0.155032867177154,0.120247188933174,-0.0698221781225189,0.397379777923859,"lnROBBERY","D_MED"
14,"Average",0.16610124730366,0.128478548640871,-0.0692109128890768,0.438811039173754,"lnROBBERY","D_MED"
15,"Average",0.19517699995736,0.155626968834341,-0.0983855427624377,0.513962567434157,"lnROBBERY","D_MED"
NA,"Average",0.0150728476427696,0.077596025327545,-0.14581291472124,0.17095846745006,"lnROBBERY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-4,"ALASKA",0.255646710343886,0.251773309193797,-0.259405730439842,0.615093378360467,"lnROBBERY","D_MED"
-3,"ALASKA",-0.00968596442536374,0.0488930101271053,-0.0916672467557535,0.0780659306272739,"lnROBBERY","D_MED"
-2,"ALASKA",-0.0929938146505531,0.0881452910350774,-0.236401894169165,0.09547075506419,"lnROBBERY","D_MED"
-1,"ALASKA",-0.152966931267969,0.193890293446021,-0.430278131774589,0.253456309430422,"lnROBBERY","D_MED"
0,"ALASKA",-0.0641022382115661,0.0491709069201283,-0.149106438236156,0.0400161438969636,"lnROBBERY","D_MED"
1,"ALASKA",-0.135588916300714,0.188121093017786,-0.411883229420469,0.255150128244657,"lnROBBERY","D_MED"
2,"ALASKA",-0.22724505067871,0.207664234064205,-0.574112808356471,0.234054453200814,"lnROBBERY","D_MED"
3,"ALASKA",-0.283002789684153,0.275030116967087,-0.716628002084466,0.313932513275511,"lnROBBERY","D_MED"
4,"ALASKA",-0.323600116603885,0.336432562431415,-0.81831813962477,0.364450822283113,"lnROBBERY","D_MED"
5,"ALASKA",-0.258096963772677,0.277820312977363,-0.666375939340816,0.316288589182916,"lnROBBERY","D_MED"
6,"ALASKA",-0.17615854546894,0.157789849097667,-0.430223360517567,0.161214065053755,"lnROBBERY","D_MED"
7,"ALASKA",-0.0678796969201363,0.10104428591214,-0.236772999293402,0.144008202935144,"lnROBBERY","D_MED"
8,"ALASKA",-0.192379745316375,0.17045027603823,-0.476670278679389,0.174900269250587,"lnROBBERY","D_MED"
9,"ALASKA",-0.0664815976579325,0.0665751935520702,-0.191147189386304,0.0656282690483694,"lnROBBERY","D_MED"
10,"ALASKA",0.0382613814877271,0.096603960280795,-0.152724042048424,0.21572013002415,"lnROBBERY","D_MED"
11,"ALASKA",0.0440591084600905,0.0835479242961573,-0.120790246016601,0.204555424901641,"lnROBBERY","D_MED"
12,"ALASKA",-0.0108666008638707,0.133456272682931,-0.253084364099588,0.243222134541398,"lnROBBERY","D_MED"
13,"ALASKA",0.185683682691829,0.192646844297206,-0.249184694896948,0.556085239684664,"lnROBBERY","D_MED"
14,"ALASKA",0.0951366564669787,0.21428136589199,-0.321823196339767,0.496239792931927,"lnROBBERY","D_MED"
15,"ALASKA",0.240531098978447,0.253291649186347,-0.306079501844331,0.703631531238451,"lnROBBERY","D_MED"
NA,"ALASKA",-0.0751081458371179,0.0960095750644815,-0.244474282152207,0.114202880201871,"lnROBBERY","D_MED"
-9,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-8,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-7,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-6,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-5,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-4,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-3,"CALIFORNIA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-2,"CALIFORNIA",0.029282182018683,0.027049439350906,-0.0235825246320969,0.079254484933912,"lnROBBERY","D_MED"
-1,"CALIFORNIA",-0.029282182018683,0.0270494393509055,-0.079254484933912,0.0235825246320951,"lnROBBERY","D_MED"
0,"CALIFORNIA",-0.221500864988415,0.208372058403461,-0.545407297569284,0.196766277276524,"lnROBBERY","D_MED"
1,"CALIFORNIA",-0.321418575484176,0.296916598916208,-0.800680199768958,0.271374023006867,"lnROBBERY","D_MED"
2,"CALIFORNIA",-0.416113016472432,0.368072212461722,-1.06602015938412,0.30311637348774,"lnROBBERY","D_MED"
3,"CALIFORNIA",-0.417733562560454,0.368436230514846,-1.07172756517817,0.297522055813065,"lnROBBERY","D_MED"
4,"CALIFORNIA",-0.413414167229995,0.361768862548707,-1.05375574637885,0.295889020099056,"lnROBBERY","D_MED"
5,"CALIFORNIA",-0.326642422638782,0.36033676785594,-0.870407192443067,0.411671796136296,"lnROBBERY","D_MED"
6,"CALIFORNIA",-0.36224432010791,0.352360870794403,-0.929365471849273,0.34840122417063,"lnROBBERY","D_MED"
7,"CALIFORNIA",-0.355511191127358,0.339400879170819,-0.912090898288748,0.326410430220588,"lnROBBERY","D_MED"
8,"CALIFORNIA",-0.365841684923415,0.369178206557209,-0.938593834030313,0.381364124655715,"lnROBBERY","D_MED"
9,"CALIFORNIA",-0.319411590103261,0.318163950934381,-0.819474995608876,0.323463833737074,"lnROBBERY","D_MED"
10,"CALIFORNIA",-0.352108379388822,0.331848662327052,-0.859740597918559,0.314235649573376,"lnROBBERY","D_MED"
11,"CALIFORNIA",-0.392952944016179,0.349167122072085,-0.96700695102607,0.317519948748938,"lnROBBERY","D_MED"
12,"CALIFORNIA",-0.276775553427557,0.330566458323618,-0.753981283529443,0.406081184699112,"lnROBBERY","D_MED"
13,"CALIFORNIA",-0.18644816608241,0.329342943110639,-0.663888990209164,0.483840398036516,"lnROBBERY","D_MED"
14,"CALIFORNIA",-0.242544853764673,0.349034296284961,-0.756404313332894,0.4760380984587,"lnROBBERY","D_MED"
15,"CALIFORNIA",-0.200829810143224,0.326941502879887,-0.697376541498545,0.465231174951277,"lnROBBERY","D_MED"
NA,"CALIFORNIA",-0.323218193903691,0.330113498039059,-0.829240884188589,0.349286240449982,"lnROBBERY","D_MED"
-9,"COLORADO",NA,NA,NA,NA,"lnROBBERY","D_MED"
-8,"COLORADO",NA,NA,NA,NA,"lnROBBERY","D_MED"
-7,"COLORADO",NA,NA,NA,NA,"lnROBBERY","D_MED"
-6,"COLORADO",0.0722007231167323,0.0596342940237169,-0.0506986408069098,0.17003416726935,"lnROBBERY","D_MED"
-5,"COLORADO",-0.00244310581265861,0.139505548479138,-0.230536304263009,0.225894111615935,"lnROBBERY","D_MED"
-4,"COLORADO",-0.0650528611533687,0.0861722828693415,-0.202016674505495,0.105168630227458,"lnROBBERY","D_MED"
-3,"COLORADO",0.00469780483614191,0.0126952420521835,-0.019423212698474,0.0246126107028696,"lnROBBERY","D_MED"
-2,"COLORADO",-0.00646414055903399,0.0219006416197065,-0.0411540622381136,0.0336865157273514,"lnROBBERY","D_MED"
-1,"COLORADO",-0.00293842042781289,0.0464660972400751,-0.0799138318462186,0.0765175812325454,"lnROBBERY","D_MED"
0,"COLORADO",-0.0209010013924296,0.0888066988842908,-0.162982409932022,0.138817269983427,"lnROBBERY","D_MED"
1,"COLORADO",-0.0799171770647513,0.148076620862738,-0.29934396492647,0.206967142858038,"lnROBBERY","D_MED"
2,"COLORADO",0.0243687719904004,0.142476104585058,-0.218297585362526,0.258575194233762,"lnROBBERY","D_MED"
3,"COLORADO",0.204624022058595,0.176012030886482,-0.136054028214516,0.474261593438769,"lnROBBERY","D_MED"
4,"COLORADO",0.133340521629877,0.153482954753589,-0.17807253424438,0.37522250230619,"lnROBBERY","D_MED"
5,"COLORADO",0.135794105092856,0.10080534278256,-0.0634080876265826,0.314652545698532,"lnROBBERY","D_MED"
6,"COLORADO",-0.118687797898512,0.0972129998231549,-0.275140674467012,0.0789676208528995,"lnROBBERY","D_MED"
7,"COLORADO",-0.160513401322287,0.132218755868973,-0.372098282387426,0.106796290241521,"lnROBBERY","D_MED"
8,"COLORADO",-0.0247619354803028,0.0398603856816639,-0.0897393028186795,0.0549765690744868,"lnROBBERY","D_MED"
9,"COLORADO",-0.0293193337312312,0.0574294778096331,-0.121481164544638,0.0804148460020411,"lnROBBERY","D_MED"
10,"COLORADO",0.0720428408798233,0.103602208558675,-0.13090174739151,0.249965337077982,"lnROBBERY","D_MED"
11,"COLORADO",0.204408198491131,0.148591550500055,-0.10166071846309,0.473647643028811,"lnROBBERY","D_MED"
12,"COLORADO",-0.0296565818559662,0.0820156468324052,-0.159020253577239,0.125114210085137,"lnROBBERY","D_MED"
13,"COLORADO",0.181491533017075,0.180359685021503,-0.189297110175447,0.465633081366474,"lnROBBERY","D_MED"
14,"COLORADO",0.181597578122955,0.134548976307047,-0.0955861495426897,0.420792030520294,"lnROBBERY","D_MED"
15,"COLORADO",0.228703686912219,0.164790926592664,-0.109004015556543,0.529939856116632,"lnROBBERY","D_MED"
NA,"COLORADO",0.0564133768405906,0.0460392336588717,-0.0401831562348663,0.134217089353725,"lnROBBERY","D_MED"
-9,"HAWAII",NA,NA,NA,NA,"lnROBBERY","D_MED"
-8,"HAWAII",NA,NA,NA,NA,"lnROBBERY","D_MED"
-7,"HAWAII",NA,NA,NA,NA,"lnROBBERY","D_MED"
-6,"HAWAII",NA,NA,NA,NA,"lnROBBERY","D_MED"
-5,"HAWAII",0.114017334158396,0.0929271533688451,-0.0757372883452689,0.264429478086218,"lnROBBERY","D_MED"
-4,"HAWAII",0.0215585865759804,0.184831785343291,-0.296415896710382,0.321336621904058,"lnROBBERY","D_MED"
-3,"HAWAII",0.0241343544116583,0.0377685595996654,-0.0532765266863737,0.0811764446817686,"lnROBBERY","D_MED"
-2,"HAWAII",-0.0285587073299931,0.0562418816796227,-0.118245036184864,0.0852326929576115,"lnROBBERY","D_MED"
-1,"HAWAII",-0.13115156781604,0.118380853935244,-0.304540088948057,0.112926469143507,"lnROBBERY","D_MED"
0,"HAWAII",0.0035274300894601,0.0633545826143727,-0.101420450851306,0.105498434254631,"lnROBBERY","D_MED"
1,"HAWAII",-0.171284032669591,0.129862076757786,-0.396886283235015,0.0840985197523408,"lnROBBERY","D_MED"
2,"HAWAII",-0.223218193969111,0.196458975853625,-0.533744213544017,0.163799713007125,"lnROBBERY","D_MED"
3,"HAWAII",-0.16183839195446,0.131905474291181,-0.375336906627462,0.10750698042037,"lnROBBERY","D_MED"
4,"HAWAII",-0.142287950503514,0.217713522866136,-0.477875148846792,0.313398578627263,"lnROBBERY","D_MED"
5,"HAWAII",-0.239969214719413,0.220014959244765,-0.557464920625272,0.216462629216286,"lnROBBERY","D_MED"
6,"HAWAII",-0.0241634834376923,0.178593898960341,-0.314200079684262,0.286268117504072,"lnROBBERY","D_MED"
7,"HAWAII",-0.195406281192209,0.180747317632794,-0.456309900933427,0.180730949301002,"lnROBBERY","D_MED"
8,"HAWAII",-0.221381586582745,0.194951398457875,-0.51368881980709,0.175856145614068,"lnROBBERY","D_MED"
9,"HAWAII",-0.143761942062008,0.150415432577541,-0.37873117112513,0.176836458130817,"lnROBBERY","D_MED"
10,"HAWAII",-0.125646206108011,0.0950671376285804,-0.291137801232438,0.065954025069571,"lnROBBERY","D_MED"
11,"HAWAII",-0.0716435027329743,0.0551550090034395,-0.166006444254193,0.0351191545471991,"lnROBBERY","D_MED"
12,"HAWAII",0.0800193151969655,0.141019315719557,-0.205062016336356,0.297559553424132,"lnROBBERY","D_MED"
13,"HAWAII",-0.0403425169807186,0.10443852338429,-0.207142165833977,0.160503499089122,"lnROBBERY","D_MED"
14,"HAWAII",0.276997606785748,0.255414084823591,-0.237603610721769,0.695811683005533,"lnROBBERY","D_MED"
15,"HAWAII",0.247806158094248,0.193522596097241,-0.141755445245533,0.574201932585362,"lnROBBERY","D_MED"
NA,"HAWAII",-0.0720370495466266,0.0789698997914679,-0.197921544157051,0.0967554562112213,"lnROBBERY","D_MED"
-9,"MAINE",NA,NA,NA,NA,"lnROBBERY","D_MED"
-8,"MAINE",NA,NA,NA,NA,"lnROBBERY","D_MED"
-7,"MAINE",NA,NA,NA,NA,"lnROBBERY","D_MED"
-6,"MAINE",NA,NA,NA,NA,"lnROBBERY","D_MED"
-5,"MAINE",0.166967859442207,0.129646529497684,-0.069771600329006,0.386884994666619,"lnROBBERY","D_MED"
