"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0824625368973235,0.11442131029533,-0.275654220199523,0.15400393364724,"lnVIOLENT1","D_MED"
-8,"Average",-0.00399538929595256,0.0437987798772908,-0.082690974722495,0.0741788040833927,"lnVIOLENT1","D_MED"
-7,"Average",0.0631994569991012,0.109398881724719,-0.157804199153633,0.226455818075539,"lnVIOLENT1","D_MED"
-6,"Average",-0.00924659545940602,0.0676244951098351,-0.141137354789911,0.135159467505031,"lnVIOLENT1","D_MED"
-5,"Average",0.00243342960478792,0.0391974639123862,-0.0607941903677446,0.0811782348459686,"lnVIOLENT1","D_MED"
-4,"Average",0.00278590139171198,0.0241894604665791,-0.0424726807266195,0.0473877569884434,"lnVIOLENT1","D_MED"
-3,"Average",-0.00246214930776623,0.0208224917640268,-0.0412208625541243,0.0383878869427908,"lnVIOLENT1","D_MED"
-2,"Average",-0.00134986703154066,0.0311486645291881,-0.0606177244060079,0.059055042796139,"lnVIOLENT1","D_MED"
-1,"Average",-0.00164550698203857,0.0322284039065771,-0.0609729253108215,0.0625390493639773,"lnVIOLENT1","D_MED"
0,"Average",0.010492949136336,0.035846477184362,-0.0519863931211164,0.0860714553664364,"lnVIOLENT1","D_MED"
1,"Average",-0.0282290835601042,0.0774650109805882,-0.150987989192692,0.134194217776062,"lnVIOLENT1","D_MED"
2,"Average",-0.00890120073351576,0.0868876708582846,-0.157578156178038,0.177336702239771,"lnVIOLENT1","D_MED"
3,"Average",-0.0390698373336205,0.111438774832519,-0.221642015335925,0.19865610042952,"lnVIOLENT1","D_MED"
4,"Average",0.0161132160385986,0.108083249032689,-0.147585080074993,0.247354462816981,"lnVIOLENT1","D_MED"
5,"Average",0.0613048528917311,0.100848993440786,-0.105750943420747,0.273003207138717,"lnVIOLENT1","D_MED"
6,"Average",0.0483602090898347,0.0939399856003507,-0.113588579461491,0.244203299704935,"lnVIOLENT1","D_MED"
7,"Average",0.0485733180424298,0.0968114666132694,-0.122603662852619,0.250241743276747,"lnVIOLENT1","D_MED"
8,"Average",0.055934741439089,0.0975086546477273,-0.124484688375877,0.257853834915643,"lnVIOLENT1","D_MED"
9,"Average",0.042096339630597,0.0981327872437831,-0.128362659045879,0.238746775889357,"lnVIOLENT1","D_MED"
10,"Average",0.042638685002128,0.102872213784421,-0.131801968712517,0.254359573740462,"lnVIOLENT1","D_MED"
