"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.00350974976402618,0.157657004791119,-0.259275378849834,0.25595988784149,"lnAUTO","D_MED"
-8,"Average",0.0522416099742689,0.0547060950498839,-0.0640440914156122,0.144754823555871,"lnAUTO","D_MED"
-7,"Average",-0.0521132790599781,0.066136385492568,-0.19090781565101,0.0798880495512738,"lnAUTO","D_MED"
-6,"Average",-0.0373615788718646,0.0652776349807111,-0.170573201457616,0.0961531943458523,"lnAUTO","D_MED"
-5,"Average",0.0347294957132053,0.0568132912096536,-0.0815254263174191,0.135438298032487,"lnAUTO","D_MED"
-4,"Average",0.0252076870707719,0.0334909183860855,-0.0354156803559649,0.0919812091470509,"lnAUTO","D_MED"
-3,"Average",-0.00468450663785491,0.0254061344931532,-0.0569861815042789,0.041631021796838,"lnAUTO","D_MED"
-2,"Average",-0.00206582958656969,0.0180954094357387,-0.0395898299008307,0.0303879911639092,"lnAUTO","D_MED"
-1,"Average",-0.0176311689725525,0.0448274213261035,-0.104178654880873,0.0698168017436008,"lnAUTO","D_MED"
0,"Average",-0.00148220655565358,0.0570765449040884,-0.113539339677793,0.106136486907474,"lnAUTO","D_MED"
1,"Average",0.0312940754612022,0.070749946854847,-0.108052314600415,0.164628576063428,"lnAUTO","D_MED"
2,"Average",0.0136816907736097,0.10598111028492,-0.199384602645016,0.215454699322207,"lnAUTO","D_MED"
3,"Average",0.0482425267930176,0.115054698505689,-0.177349496664416,0.273242420058547,"lnAUTO","D_MED"
4,"Average",0.0178182536159023,0.125291255943921,-0.216110908062021,0.261721065096832,"lnAUTO","D_MED"
5,"Average",-0.0119467545751532,0.118211020506673,-0.220565481720178,0.222892727784969,"lnAUTO","D_MED"
6,"Average",-0.012782199738967,0.0986517082760374,-0.198304045195525,0.18438872792978,"lnAUTO","D_MED"
7,"Average",-0.0837780703439942,0.122648507338309,-0.296703942686409,0.181037794417552,"lnAUTO","D_MED"
8,"Average",-0.111327012583245,0.125544872382177,-0.321063253537425,0.158930070911384,"lnAUTO","D_MED"
9,"Average",-0.192629590510443,0.155398311199786,-0.482479666341466,0.131635354299604,"lnAUTO","D_MED"
10,"Average",-0.198230308091679,0.184835994940988,-0.524115204821861,0.190259691416778,"lnAUTO","D_MED"
11,"Average",-0.165226034330029,0.167826736364539,-0.477340301251869,0.161471903384623,"lnAUTO","D_MED"
12,"Average",-0.15575104394348,0.148170646966801,-0.455578189478199,0.137135665422413,"lnAUTO","D_MED"
13,"Average",-0.157799974663604,0.18201083952524,-0.508895227951694,0.186852659321353,"lnAUTO","D_MED"
14,"Average",-0.0997649197702029,0.169125676625349,-0.42642262519854,0.246124716872994,"lnAUTO","D_MED"
15,"Average",-0.00870631009228065,0.167787889334744,-0.306435824655348,0.336654283090755,"lnAUTO","D_MED"
NA,"Average",-0.0680242424096874,0.108593678191564,-0.2558134003737,0.159759935778642,"lnAUTO","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-4,"ALASKA",-0.0296296619399428,0.070599254671315,-0.151153582212666,0.106263888783761,"lnAUTO","D_MED"
-3,"ALASKA",0.0599899133693915,0.0520975634577974,-0.0525810514556963,0.151790478180267,"lnAUTO","D_MED"
-2,"ALASKA",0.00849375440122735,0.0575783145379279,-0.0968130541148774,0.102712738737533,"lnAUTO","D_MED"
-1,"ALASKA",-0.0388540058306752,0.0499271721478004,-0.124071341680669,0.069434930466016,"lnAUTO","D_MED"
0,"ALASKA",0.0678098390180937,0.0465634251901871,-0.0298884500595076,0.157123141648443,"lnAUTO","D_MED"
1,"ALASKA",-0.0190941395260342,0.0839727702617341,-0.152078492482663,0.140226431580804,"lnAUTO","D_MED"
2,"ALASKA",-0.0536530684537571,0.0705012010129733,-0.172051032559968,0.110067992929869,"lnAUTO","D_MED"
3,"ALASKA",-0.147329097666237,0.155542026045321,-0.412843497404812,0.205932513741423,"lnAUTO","D_MED"
4,"ALASKA",-0.223091670238477,0.206121012279028,-0.582689243784267,0.228401500912917,"lnAUTO","D_MED"
5,"ALASKA",-0.318129498757431,0.270067043396533,-0.78330564378764,0.256645543401845,"lnAUTO","D_MED"
6,"ALASKA",-0.131160629916065,0.122384643772227,-0.336501484136,0.122817839284514,"lnAUTO","D_MED"
