"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0909295854205574,0.123270088280464,-0.161401492604107,0.265517196457776,"lnBURGLARY","D_MED"
-8,"Average",0.00739535107917977,0.0391494926626238,-0.0562803966340668,0.0821677606909653,"lnBURGLARY","D_MED"
-7,"Average",-0.0018083321509228,0.0644463687432315,-0.121842161552757,0.114154756571003,"lnBURGLARY","D_MED"
-6,"Average",0.0259936685478337,0.0500812735934643,-0.0789587272497372,0.118994001347725,"lnBURGLARY","D_MED"
-5,"Average",0.043078986251167,0.04109729864299,-0.0338808632141615,0.121499950981039,"lnBURGLARY","D_MED"
-4,"Average",0.0147717372844127,0.0213151879593857,-0.0262632480545793,0.0571120618462987,"lnBURGLARY","D_MED"
-3,"Average",-0.019839558117245,0.0230805191657133,-0.0649460864576445,0.0243078034055183,"lnBURGLARY","D_MED"
-2,"Average",-0.00230251627585816,0.0217834019949726,-0.0453439444896635,0.039540782508385,"lnBURGLARY","D_MED"
-1,"Average",-0.036313221772428,0.0419259923369655,-0.120585709768078,0.038677767843416,"lnBURGLARY","D_MED"
0,"Average",-0.0200071666347751,0.0424879274219946,-0.108086537243043,0.0544445976354001,"lnBURGLARY","D_MED"
1,"Average",-0.0190539931988922,0.0424630069874449,-0.103074800427761,0.0573702856161244,"lnBURGLARY","D_MED"
2,"Average",-0.0515005364366923,0.0475116089216887,-0.147735001985597,0.0394772300228029,"lnBURGLARY","D_MED"
3,"Average",-0.0695156444684514,0.0497565197737643,-0.174256062984536,0.0240509499776347,"lnBURGLARY","D_MED"
4,"Average",-0.050518675135734,0.0477976274026917,-0.147740313667346,0.039529695597999,"lnBURGLARY","D_MED"
5,"Average",-0.0525124517115996,0.0466778260129444,-0.143453180563407,0.0382098045935609,"lnBURGLARY","D_MED"
6,"Average",-0.0591618691396012,0.0596147179089701,-0.177776869507236,0.0482570989282413,"lnBURGLARY","D_MED"
7,"Average",-0.0780485852236252,0.0744673929413492,-0.23139550524969,0.0546578906736023,"lnBURGLARY","D_MED"
8,"Average",-0.0967954438157978,0.0901050756190867,-0.278918293990796,0.0646877749371964,"lnBURGLARY","D_MED"
9,"Average",-0.122469235333568,0.115718520764869,-0.360077929652054,0.0771346908512404,"lnBURGLARY","D_MED"
10,"Average",-0.134550887326002,0.127188219893477,-0.391608525508029,0.0746754619843992,"lnBURGLARY","D_MED"
11,"Average",-0.0785502878686251,0.129786484457662,-0.34107087339861,0.126450537887657,"lnBURGLARY","D_MED"
12,"Average",-0.0838384500411331,0.140284934975795,-0.367484890367993,0.135134479630616,"lnBURGLARY","D_MED"
13,"Average",-0.0555397480782097,0.118864908461527,-0.293992130045381,0.141545299614904,"lnBURGLARY","D_MED"
14,"Average",-0.064977997075538,0.111230396328623,-0.289305088314083,0.116438097749286,"lnBURGLARY","D_MED"
15,"Average",-0.0233480349086987,0.106201016947126,-0.235058613747093,0.159225207501778,"lnBURGLARY","D_MED"
NA,"Average",-0.0662743128998089,0.0733562646042257,-0.216655878486399,0.0561900114885451,"lnBURGLARY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_MED"
-4,"ALASKA",0.0925020519931046,0.0778614489924999,-0.0747233846859315,0.219350762395215,"lnBURGLARY","D_MED"
-3,"ALASKA",0.0504413294246753,0.10989884399358,-0.172549108728542,0.210995783989668,"lnBURGLARY","D_MED"
