"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0973303386550048,0.0987454657128512,-0.10253825852769,0.247139349253534,"lnLARCENY","D_MED"
-8,"Average",-0.0747489400827943,0.0682712233594596,-0.190430322378288,0.0668831320064456,"lnLARCENY","D_MED"
-7,"Average",0.0208590242547517,0.106690343684038,-0.18720129749896,0.187516244784229,"lnLARCENY","D_MED"
-6,"Average",0.0603656035849554,0.0662967991523268,-0.0707020848528875,0.18454686089887,"lnLARCENY","D_MED"
-5,"Average",0.0335750780053836,0.041695225398896,-0.0462613965948759,0.113599546801987,"lnLARCENY","D_MED"
-4,"Average",0.0163431648041938,0.0249296098535995,-0.0332966411987358,0.0624849384441439,"lnLARCENY","D_MED"
-3,"Average",-0.0144220522526943,0.0152180884214695,-0.0432760797568296,0.0141984450290859,"lnLARCENY","D_MED"
-2,"Average",-0.0155032244283647,0.0250424441291174,-0.0654142960947131,0.0343448292002393,"lnLARCENY","D_MED"
-1,"Average",-0.0321235031578017,0.0374988644047529,-0.108353302283021,0.0378864276987939,"lnLARCENY","D_MED"
0,"Average",-0.0221306722233513,0.0413876035399935,-0.109474060538996,0.051495425677005,"lnLARCENY","D_MED"
1,"Average",-0.00660121559336435,0.0385699340358344,-0.0886038275352915,0.0600953485365527,"lnLARCENY","D_MED"
2,"Average",-0.0123126483288322,0.0384180534099878,-0.0869321841767754,0.0620564411759437,"lnLARCENY","D_MED"
3,"Average",-0.0275489145018521,0.0369407473838785,-0.0988183439708471,0.0438474306244447,"lnLARCENY","D_MED"
4,"Average",-0.0128778982716669,0.0374914449558492,-0.0842918970646709,0.0616580081397098,"lnLARCENY","D_MED"
5,"Average",-0.0259835018956434,0.0407171016158692,-0.10651078027154,0.050258122296218,"lnLARCENY","D_MED"
6,"Average",-0.0210028279824127,0.0456619389089485,-0.112375825446332,0.0654244033357172,"lnLARCENY","D_MED"
7,"Average",-0.0430948321048479,0.0541270763183823,-0.152166759422063,0.0576663487210446,"lnLARCENY","D_MED"
8,"Average",-0.0752565818506684,0.07290421951422,-0.229364511140629,0.0605973188690936,"lnLARCENY","D_MED"
9,"Average",-0.0672393415378256,0.07621731933794,-0.227781402073742,0.0803805125655286,"lnLARCENY","D_MED"
10,"Average",-0.0828016439466743,0.082605305724526,-0.254692418553633,0.0643438094740144,"lnLARCENY","D_MED"
11,"Average",-0.0594100160038333,0.0827889349395716,-0.231840706504086,0.0817223201966777,"lnLARCENY","D_MED"
12,"Average",-0.0377479636769426,0.0889547266365088,-0.226617596607966,0.109399708095974,"lnLARCENY","D_MED"
13,"Average",-0.0283953894287257,0.088154665852111,-0.211815264407243,0.112057804002904,"lnLARCENY","D_MED"
14,"Average",-0.00629876008912876,0.0869629733743693,-0.185977077917194,0.124908257264585,"lnLARCENY","D_MED"
15,"Average",0.0767696793955084,0.0991319750071767,-0.125827752441108,0.237288909607141,"lnLARCENY","D_MED"
NA,"Average",-0.0282457830025163,0.0535075081411787,-0.144381232040883,0.063796015779218,"lnLARCENY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-4,"ALASKA",0.029839544921014,0.0517985519964051,-0.0751941781016582,0.109686531339422,"lnLARCENY","D_MED"
