"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.128821386894213,0.135242379275183,-0.13923736533724,0.360770689146734,"lnMURDER","D_MED"
-8,"Average",-0.0988164395057566,0.160926321002291,-0.338232155961626,0.227008579720722,"lnMURDER","D_MED"
-7,"Average",-0.152710458092374,0.192809963138076,-0.467291513890154,0.246902545694103,"lnMURDER","D_MED"
-6,"Average",0.0730874730743615,0.122384343520012,-0.192423302644466,0.311831052586427,"lnMURDER","D_MED"
-5,"Average",0.0914605742484005,0.110752200179733,-0.135053713302947,0.28208477341803,"lnMURDER","D_MED"
-4,"Average",-0.0324173962454585,0.0509335164364264,-0.135541215321449,0.0492243764990591,"lnMURDER","D_MED"
-3,"Average",0.00129752386611123,0.0535353183510791,-0.0768575436048543,0.109437603347315,"lnMURDER","D_MED"
-2,"Average",-0.0258426335525596,0.0808831013269361,-0.168539872629979,0.142237822407858,"lnMURDER","D_MED"
-1,"Average",0.00893259548211356,0.0660613194405818,-0.114402102178698,0.13663851640837,"lnMURDER","D_MED"
0,"Average",-0.016030600618157,0.0852361445668659,-0.182092057042285,0.140221420599822,"lnMURDER","D_MED"
1,"Average",-0.0981727607665122,0.0924237804106469,-0.291863025773514,0.0676532559917985,"lnMURDER","D_MED"
2,"Average",-0.042472269507593,0.0982322096431643,-0.231725599635214,0.139429610100911,"lnMURDER","D_MED"
3,"Average",-0.173417791453978,0.105168697919171,-0.393802280695031,0.0190934685261031,"lnMURDER","D_MED"
4,"Average",-0.00345049034176925,0.083945598240746,-0.170615599715383,0.157929632473881,"lnMURDER","D_MED"
5,"Average",-0.119875252989053,0.0805142126593224,-0.277994163830015,0.0281566981090608,"lnMURDER","D_MED"
6,"Average",-0.162123092858479,0.107004326375725,-0.377557938881396,0.0370359837044801,"lnMURDER","D_MED"
7,"Average",-0.107239793351081,0.0968356253800796,-0.302159106805795,0.0737656027761008,"lnMURDER","D_MED"
8,"Average",-0.0700193009130346,0.0980466149347126,-0.265666530182085,0.117450542631022,"lnMURDER","D_MED"
9,"Average",-0.100684955976349,0.111212133539691,-0.313120435471641,0.106011145888708,"lnMURDER","D_MED"
10,"Average",-0.12000061092719,0.119851524306344,-0.344506764851346,0.119352790287097,"lnMURDER","D_MED"
11,"Average",-0.0367970186752144,0.120879732746524,-0.258004061622216,0.215539039650455,"lnMURDER","D_MED"
12,"Average",-0.0469336145921414,0.105580864711118,-0.249387943178189,0.162889825240597,"lnMURDER","D_MED"
13,"Average",-0.0397473894924176,0.106378131194779,-0.233408434270433,0.174142978158971,"lnMURDER","D_MED"
14,"Average",-0.0944821857598053,0.109841870139742,-0.316719493969771,0.122068131507184,"lnMURDER","D_MED"
15,"Average",-0.0693025793972191,0.121587699001142,-0.29233058655908,0.1807255936601,"lnMURDER","D_MED"
NA,"Average",-0.0812968567262497,0.0774515942724942,-0.239214323700111,0.0649979281464234,"lnMURDER","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_MED"
-4,"ALASKA",0.167340491866681,0.171920956370225,-0.211357550247834,0.444828905399873,"lnMURDER","D_MED"
-3,"ALASKA",-0.0772200984631297,0.0795775975968997,-0.208371514003267,0.0908998555284139,"lnMURDER","D_MED"
-2,"ALASKA",0.130662431825567,0.129709068435667,-0.131615396404841,0.337592196042599,"lnMURDER","D_MED"
-1,"ALASKA",-0.220782825229117,0.185156666296987,-0.537589983542991,0.180066100666151,"lnMURDER","D_MED"
0,"ALASKA",0.390790533777711,0.284628280327281,-0.216021781599238,0.912278967399281,"lnMURDER","D_MED"
1,"ALASKA",-0.140766211924881,0.412853409999638,-0.829060920689265,0.653377433987144,"lnMURDER","D_MED"
2,"ALASKA",0.0834538233858539,0.110811273300283,-0.139689597962249,0.289663046486119,"lnMURDER","D_MED"
3,"ALASKA",-0.239063119998888,0.207189651154705,-0.558767030424266,0.20276485847671,"lnMURDER","D_MED"
4,"ALASKA",0.0619081310391818,0.124207010519455,-0.196792128829607,0.266656177799679,"lnMURDER","D_MED"
5,"ALASKA",0.0533003052083334,0.102786421710872,-0.132382254170996,0.262169320937437,"lnMURDER","D_MED"
6,"ALASKA",-0.22847687740447,0.290728021387694,-0.656482232537437,0.358038241838132,"lnMURDER","D_MED"
7,"ALASKA",-0.00918272859752878,0.155479585846958,-0.276293530436699,0.266554052770981,"lnMURDER","D_MED"
8,"ALASKA",-0.0673772299919755,0.0719745328459338,-0.215990143802169,0.0712469701364852,"lnMURDER","D_MED"
9,"ALASKA",-0.121810540867072,0.46823187345331,-0.844384119535359,0.819082824656392,"lnMURDER","D_MED"
10,"ALASKA",-0.39038833528661,0.581827537345676,-1.25610250313898,0.764684867323549,"lnMURDER","D_MED"
11,"ALASKA",0.108246648270101,0.264960203511624,-0.412433133248749,0.63927283759138,"lnMURDER","D_MED"
12,"ALASKA",-0.349706669413869,0.386675652196096,-0.922041811879239,0.472565246200774,"lnMURDER","D_MED"
13,"ALASKA",-0.195088551825499,0.335381084410523,-0.684456582236111,0.485560589770718,"lnMURDER","D_MED"
14,"ALASKA",-0.130081440780089,0.217417575905505,-0.519864459457595,0.337353636790733,"lnMURDER","D_MED"
15,"ALASKA",0.0417132401601918,0.0826365859225672,-0.121461359957148,0.196592255049383,"lnMURDER","D_MED"
NA,"ALASKA",-0.0707830640155944,0.19852815264789,-0.381235000496498,0.318550573281131,"lnMURDER","D_MED"
-9,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-5,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-4,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-3,"CALIFORNIA",NA,NA,NA,NA,"lnMURDER","D_MED"
-2,"CALIFORNIA",0.067900355403196,0.0791982929988465,-0.0906724761259169,0.193287606713662,"lnMURDER","D_MED"
-1,"CALIFORNIA",-0.067900355403196,0.0791982929988466,-0.193287606713662,0.0906724761259174,"lnMURDER","D_MED"
0,"CALIFORNIA",-0.149245207099681,0.204883674398163,-0.460870242738322,0.267589592399563,"lnMURDER","D_MED"
1,"CALIFORNIA",-0.262945911530875,0.357859092915002,-0.767359707790259,0.468078980352607,"lnMURDER","D_MED"
2,"CALIFORNIA",-0.241390172018737,0.34265534550542,-0.726309533311174,0.457372777777865,"lnMURDER","D_MED"
3,"CALIFORNIA",-0.21049031486699,0.226756141736839,-0.557785258975794,0.254027638822418,"lnMURDER","D_MED"
4,"CALIFORNIA",-0.097224529110773,0.168017882125005,-0.337977839481104,0.222722293532082,"lnMURDER","D_MED"
5,"CALIFORNIA",-0.0697526749666075,0.124928606813536,-0.249594962004577,0.182847725396474,"lnMURDER","D_MED"
6,"CALIFORNIA",-0.0975725831098382,0.143004081489569,-0.301295012024154,0.188315979598643,"lnMURDER","D_MED"
7,"CALIFORNIA",-0.069998629467015,0.124131319031199,-0.246996799473108,0.173195484428867,"lnMURDER","D_MED"
8,"CALIFORNIA",-0.129379179951498,0.140175209891928,-0.352693983776065,0.153062350018564,"lnMURDER","D_MED"
9,"CALIFORNIA",-0.0275428145552061,0.104346791435666,-0.180661195188858,0.174845679224465,"lnMURDER","D_MED"
10,"CALIFORNIA",-0.15706176384478,0.305477052391163,-0.590407713413364,0.447848197879894,"lnMURDER","D_MED"
11,"CALIFORNIA",-0.144483294528645,0.31594819660986,-0.602493546987274,0.471028905862299,"lnMURDER","D_MED"
12,"CALIFORNIA",-0.139642658842133,0.261116346217004,-0.509751204988841,0.375263339158422,"lnMURDER","D_MED"
13,"CALIFORNIA",-0.210757075795666,0.309929309919292,-0.6595715954508,0.383211754656544,"lnMURDER","D_MED"
14,"CALIFORNIA",-0.128361804386892,0.455788314204316,-0.820514812448434,0.761846002024275,"lnMURDER","D_MED"
15,"CALIFORNIA",-0.0779841477882512,0.392248115978744,-0.676118705600209,0.681122093481106,"lnMURDER","D_MED"
NA,"CALIFORNIA",-0.138364547616474,0.24479592033979,-0.486308906877974,0.342723089237626,"lnMURDER","D_MED"
-9,"COLORADO",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"COLORADO",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"COLORADO",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"COLORADO",0.0785330637393105,0.169680419618174,-0.240624755100923,0.355723892327625,"lnMURDER","D_MED"
-5,"COLORADO",-0.0342401874468474,0.0571920531412867,-0.123763809783167,0.078962101881068,"lnMURDER","D_MED"
-4,"COLORADO",-0.129014395054986,0.152459311089662,-0.362603167265941,0.176249539425956,"lnMURDER","D_MED"
-3,"COLORADO",0.00549487769507673,0.0416129284343553,-0.0784850387386858,0.0878764910956715,"lnMURDER","D_MED"
-2,"COLORADO",0.159854380751428,0.143770154211185,-0.133200129161924,0.396508132293744,"lnMURDER","D_MED"
-1,"COLORADO",-0.0806277396839814,0.215365568020308,-0.46337082707901,0.307074523958537,"lnMURDER","D_MED"
0,"COLORADO",-0.0109009994000351,0.0722123426191979,-0.154572120140951,0.116545649181848,"lnMURDER","D_MED"
1,"COLORADO",0.112016012274518,0.129975811789433,-0.178471154625921,0.347389999052378,"lnMURDER","D_MED"
2,"COLORADO",0.140919627136178,0.0836576489909153,-0.0237525082991926,0.309248916903823,"lnMURDER","D_MED"
3,"COLORADO",0.264471335656997,0.229735358596008,-0.199880357690519,0.636820970504585,"lnMURDER","D_MED"
4,"COLORADO",0.0583678662194105,0.0653787511855709,-0.0681502976462729,0.186268300799356,"lnMURDER","D_MED"
5,"COLORADO",-0.0790012065604777,0.0880488145719595,-0.224525580282623,0.10787567365401,"lnMURDER","D_MED"
6,"COLORADO",-0.199824274562432,0.254857532039716,-0.607661200122497,0.306369186923713,"lnMURDER","D_MED"
7,"COLORADO",0.0322328427018992,0.198300363610312,-0.269071468201679,0.414250761144725,"lnMURDER","D_MED"
8,"COLORADO",0.205832837835648,0.118824565894038,-0.0346447050355458,0.43292351312925,"lnMURDER","D_MED"
9,"COLORADO",-0.103301200315003,0.295397898524746,-0.521526173226381,0.471417692955474,"lnMURDER","D_MED"
10,"COLORADO",-0.0630240370923458,0.175172333777514,-0.332046723622357,0.290372361750998,"lnMURDER","D_MED"
11,"COLORADO",0.1040157299559,0.116318489200972,-0.100916665970823,0.345830831722198,"lnMURDER","D_MED"
12,"COLORADO",0.136495261089995,0.0798902764467862,-0.0187585216953298,0.300615101167566,"lnMURDER","D_MED"
13,"COLORADO",-0.0455244229668144,0.18777087453284,-0.310030340892138,0.325595014693873,"lnMURDER","D_MED"
14,"COLORADO",0.000835917724136381,0.216136946617753,-0.291209441231205,0.435695537435173,"lnMURDER","D_MED"
15,"COLORADO",-0.0485543290929416,0.153554272440724,-0.295000965573659,0.258505217051182,"lnMURDER","D_MED"
NA,"COLORADO",0.0315660600377896,0.0840601070728371,-0.102061462617849,0.19890285506825,"lnMURDER","D_MED"
-9,"HAWAII",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"HAWAII",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"HAWAII",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"HAWAII",NA,NA,NA,NA,"lnMURDER","D_MED"
-5,"HAWAII",0.187717265014033,0.243081172542903,-0.313355785915173,0.530341459817139,"lnMURDER","D_MED"
-4,"HAWAII",-0.0773631429698318,0.05968551166144,-0.185673093257971,0.0513928959937656,"lnMURDER","D_MED"
-3,"HAWAII",0.17510854225983,0.156171504570068,-0.137756544744293,0.449253813590982,"lnMURDER","D_MED"
-2,"HAWAII",-0.489380255892776,0.54408516485152,-1.31694983246718,0.622938833388753,"lnMURDER","D_MED"
-1,"HAWAII",0.203917591588744,0.219571991930403,-0.24141743911153,0.523166787869321,"lnMURDER","D_MED"
0,"HAWAII",-0.0821943621558601,0.134458184303577,-0.285650665816231,0.190640776077652,"lnMURDER","D_MED"
1,"HAWAII",-0.0723443497715395,0.077903070214974,-0.203882151600396,0.0793022960225765,"lnMURDER","D_MED"
2,"HAWAII",-0.390478528706046,0.38703602813062,-1.00260636900664,0.382333562991098,"lnMURDER","D_MED"
3,"HAWAII",-0.546831571703225,0.512665576176719,-1.40293670608954,0.467144245130357,"lnMURDER","D_MED"
4,"HAWAII",-0.0686114664437489,0.0612550011370253,-0.178697027693676,0.0482493922247737,"lnMURDER","D_MED"
5,"HAWAII",-0.384550248083862,0.439429401814902,-1.01839977745043,0.511534074307809,"lnMURDER","D_MED"
6,"HAWAII",-0.486868794789277,0.532210605197916,-1.27268404838248,0.601199545838411,"lnMURDER","D_MED"
7,"HAWAII",-0.541865317814579,0.58469461821547,-1.44437975805402,0.642710412528579,"lnMURDER","D_MED"
8,"HAWAII",-0.293249016521461,0.392902427408568,-0.852347072166354,0.513373380804355,"lnMURDER","D_MED"
9,"HAWAII",-0.31703796717887,0.388822705919109,-0.892151161962297,0.482490073655064,"lnMURDER","D_MED"
10,"HAWAII",-0.296788240576376,0.307392796565084,-0.773615931830765,0.325944452899502,"lnMURDER","D_MED"
11,"HAWAII",-0.560912045446938,0.774016785029589,-1.6806223174809,1.03225237739998,"lnMURDER","D_MED"
12,"HAWAII",-0.0718295674579122,0.221231169214308,-0.413494232499247,0.348311125644762,"lnMURDER","D_MED"
13,"HAWAII",-0.37003649150045,0.527384346931351,-1.13342163916693,0.7132761019353,"lnMURDER","D_MED"
14,"HAWAII",-0.209618088930264,0.341232656280826,-0.677851885043968,0.486831630880863,"lnMURDER","D_MED"
15,"HAWAII",-0.605550794423975,0.8411145192505,-1.77300782628568,1.13117046809523,"lnMURDER","D_MED"
NA,"HAWAII",-0.331172928219024,0.388717419897022,-0.929044704152433,0.463881670584436,"lnMURDER","D_MED"
-9,"MAINE",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"MAINE",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"MAINE",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"MAINE",NA,NA,NA,NA,"lnMURDER","D_MED"
-5,"MAINE",-0.0899076504767827,0.116984550939502,-0.290844440897681,0.142438633654402,"lnMURDER","D_MED"
-4,"MAINE",-0.0834718010098737,0.06200085478239,-0.196496297344605,0.041068011703528,"lnMURDER","D_MED"
-3,"MAINE",0.00426871653463612,0.0430945264175883,-0.0724978573510295,0.0808506589715607,"lnMURDER","D_MED"
-2,"MAINE",0.0226627282505568,0.0199855284619658,-0.0185771987276578,0.0580165586848046,"lnMURDER","D_MED"
-1,"MAINE",0.146448006701463,0.196716013652126,-0.247891978875011,0.456916613174099,"lnMURDER","D_MED"
0,"MAINE",-0.423996065605763,0.392328443016878,-1.09051418288978,0.412143246010201,"lnMURDER","D_MED"
1,"MAINE",0.0692902054202227,0.259855576871067,-0.407302062561038,0.480987719389083,"lnMURDER","D_MED"
2,"MAINE",-0.0891189897239007,0.537392321984446,-0.947443826749995,0.837237696893818,"lnMURDER","D_MED"
3,"MAINE",-0.202470112484413,0.320358202227692,-0.662375511211036,0.437637166851315,"lnMURDER","D_MED"
4,"MAINE",-0.097803353381784,0.171250299089374,-0.345657093116791,0.247198498558874,"lnMURDER","D_MED"
5,"MAINE",0.040946824736946,0.258189718583547,-0.396283584886531,0.45649064929817,"lnMURDER","D_MED"
6,"MAINE",0.113119834841157,0.0917096133658168,-0.0710582080149314,0.270564623268494,"lnMURDER","D_MED"
7,"MAINE",0.103532039050681,0.229834635550819,-0.333610094161475,0.473664783341873,"lnMURDER","D_MED"
8,"MAINE",0.54799874203479,0.404237017239213,-0.282918813040566,1.26101961814898,"lnMURDER","D_MED"
9,"MAINE",0.381893634812672,0.320466039492865,-0.259289124657382,0.892375594778921,"lnMURDER","D_MED"
10,"MAINE",0.434257007384103,0.309265896333639,-0.197217261241349,0.987957894122241,"lnMURDER","D_MED"
11,"MAINE",0.411108322540157,0.299197841207177,-0.204520790087395,0.944273496792144,"lnMURDER","D_MED"
12,"MAINE",0.571495594596966,0.399852538358215,-0.215774260459662,1.302830768936,"lnMURDER","D_MED"
13,"MAINE",0.357528997696444,0.251074021012905,-0.145871213124265,0.817890208856036,"lnMURDER","D_MED"
14,"MAINE",0.334700216599223,0.259937846598127,-0.190000381899791,0.771869256305765,"lnMURDER","D_MED"
15,"MAINE",0.199092837635361,0.141261929800481,-0.0874409204831804,0.442915496572467,"lnMURDER","D_MED"
NA,"MAINE",0.171973483509554,0.14120574107633,-0.117004144737508,0.404265951322029,"lnMURDER","D_MED"
-9,"NEVADA",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"NEVADA",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"NEVADA",-0.000238015678616144,0.187570743888992,-0.33857646651323,0.334757877598843,"lnMURDER","D_MED"
-6,"NEVADA",0.169829633912522,0.263903796006344,-0.371573981788504,0.568429900180632,"lnMURDER","D_MED"
-5,"NEVADA",-0.0290472065848126,0.0905041584215613,-0.200001135760617,0.152045695961413,"lnMURDER","D_MED"
-4,"NEVADA",-0.242046806389709,0.192199654579678,-0.560851766468684,0.142312067436396,"lnMURDER","D_MED"
-3,"NEVADA",0.104384947373183,0.0749235643238348,-0.0454203527938968,0.241894611513417,"lnMURDER","D_MED"
-2,"NEVADA",-0.0819621509502613,0.297909096160224,-0.569861245381281,0.473326009215934,"lnMURDER","D_MED"
-1,"NEVADA",0.0790795983176955,0.107883204991779,-0.151141249943034,0.275487977080115,"lnMURDER","D_MED"
0,"NEVADA",-0.124167878507578,0.102940937714029,-0.306267984947478,0.0854583667251157,"lnMURDER","D_MED"
1,"NEVADA",0.0826996413866161,0.0974837617452861,-0.0965452794408507,0.273231515880572,"lnMURDER","D_MED"
2,"NEVADA",-0.0272764355751831,0.115443042182042,-0.209439339696712,0.1969640908091,"lnMURDER","D_MED"
3,"NEVADA",-0.041985252102378,0.0552034145859705,-0.149103287121906,0.0630781514636077,"lnMURDER","D_MED"
4,"NEVADA",0.161310288731003,0.147081736210735,-0.157579940458294,0.409424982158069,"lnMURDER","D_MED"
5,"NEVADA",-0.278930515750458,0.230616695838787,-0.693513279845634,0.17009630811152,"lnMURDER","D_MED"
6,"NEVADA",-0.0335148351798673,0.340492090167238,-0.530832434046595,0.641760458653722,"lnMURDER","D_MED"
7,"NEVADA",-0.127202258523329,0.248741271772772,-0.521291105324042,0.389538482833218,"lnMURDER","D_MED"
8,"NEVADA",0.0672014281466957,0.252899341244026,-0.36951251995587,0.557788847899709,"lnMURDER","D_MED"
9,"NEVADA",-0.481199740702561,0.451351636183468,-1.19287601354631,0.477502322070882,"lnMURDER","D_MED"
10,"NEVADA",-0.467814968669853,0.551392216737351,-1.25656858693927,0.673997850514986,"lnMURDER","D_MED"
11,"NEVADA",-0.282916155040406,0.28026218479893,-0.734015528026797,0.301733970788292,"lnMURDER","D_MED"
12,"NEVADA",-0.263027979653959,0.266896617013797,-0.675801701244695,0.299142563785811,"lnMURDER","D_MED"
13,"NEVADA",-0.274966865720164,0.385840101208585,-0.810566787231736,0.526147701614134,"lnMURDER","D_MED"
14,"NEVADA",-0.320983498617653,0.259974757149034,-0.7569787452886,0.240029950603961,"lnMURDER","D_MED"
15,"NEVADA",0.120564432790813,0.0889918783993133,-0.0543172596361034,0.287881662488661,"lnMURDER","D_MED"
NA,"NEVADA",-0.143263162061766,0.191900467957096,-0.417893028713622,0.248774779361107,"lnMURDER","D_MED"
-9,"OREGON",NA,NA,NA,NA,"lnMURDER","D_MED"
-8,"OREGON",NA,NA,NA,NA,"lnMURDER","D_MED"
-7,"OREGON",NA,NA,NA,NA,"lnMURDER","D_MED"
-6,"OREGON",NA,NA,NA,NA,"lnMURDER","D_MED"
-5,"OREGON",NA,NA,NA,NA,"lnMURDER","D_MED"
-4,"OREGON",0.191090154198596,0.202324703470825,-0.20907815471422,0.497582853974571,"lnMURDER","D_MED"
-3,"OREGON",0.0777291641899209,0.0843769677665453,-0.0928045484733654,0.201965014790495,"lnMURDER","D_MED"
-2,"OREGON",-0.213645710410751,0.227291137595754,-0.559146075420428,0.252758647598703,"lnMURDER","D_MED"
-1,"OREGON",-0.0551736079777663,0.173809063427332,-0.326961472458275,0.270887005834634,"lnMURDER","D_MED"
0,"OREGON",-0.0863111568791395,0.186066783922542,-0.390487680227018,0.278580034156125,"lnMURDER","D_MED"
1,"OREGON",-0.34262957731347,0.35327261081982,-0.89625933161031,0.385793032257347,"lnMURDER","D_MED"
2,"OREGON",-0.0423525169781269,0.188940874298938,-0.378273555308099,0.308264223421855,"lnMURDER","D_MED"
3,"OREGON",-0.415002183161016,0.365346410214113,-0.972655193160175,0.322769836762082,"lnMURDER","D_MED"
4,"OREGON",-0.423987985704124,0.439903887402256,-1.11505270498468,0.467254491185378,"lnMURDER","D_MED"
5,"OREGON",-0.0622332229801519,0.13024877338978,-0.285116937086216,0.199677565274503,"lnMURDER","D_MED"
6,"OREGON",-0.279129008338571,0.308518049179385,-0.731735350612166,0.336465147944363,"lnMURDER","D_MED"
7,"OREGON",-0.0405391935498054,0.227876311148837,-0.427791889250975,0.381025378121824,"lnMURDER","D_MED"
8,"OREGON",-0.49066914463378,0.480304759320129,-1.23901697937146,0.508206795784766,"lnMURDER","D_MED"
9,"OREGON",-0.138007942694089,0.322163506824735,-0.64795554640916,0.501093182307275,"lnMURDER","D_MED"
10,"OREGON",-0.0859405551176655,0.15161640777435,-0.332183404680789,0.228658999559376,"lnMURDER","D_MED"
11,"OREGON",0.18347243778909,0.173957762682824,-0.167956059401331,0.457915255499589,"lnMURDER","D_MED"
12,"OREGON",-0.254561349144317,0.272026865493504,-0.706740213873287,0.319801977305554,"lnMURDER","D_MED"
13,"OREGON",-0.0279698048529862,0.129535888046732,-0.248246640850537,0.22103518750438,"lnMURDER","D_MED"
14,"OREGON",-0.211058321494191,0.264430843502884,-0.646237240923977,0.345628608298288,"lnMURDER","D_MED"
15,"OREGON",-0.228657463122337,0.271027440458234,-0.655330703616448,0.323559541916565,"lnMURDER","D_MED"
NA,"OREGON",-0.184098561760918,0.242398789984017,-0.540176759633215,0.299412680172981,"lnMURDER","D_MED"
-9,"VERMONT",0.128821386894213,0.135242379275183,-0.13923736533724,0.360770689146734,"lnMURDER","D_MED"
-8,"VERMONT",-0.0988164395057566,0.160926321002291,-0.338232155961626,0.227008579720722,"lnMURDER","D_MED"
-7,"VERMONT",-0.305182900506132,0.347063056943611,-0.825312429691593,0.418178569822659,"lnMURDER","D_MED"
-6,"VERMONT",-0.0291002784287474,0.131721246000921,-0.239201441441547,0.212951999128062,"lnMURDER","D_MED"
-5,"VERMONT",0.422780650736412,0.457017680529912,-0.524420526825457,1.09693889705601,"lnMURDER","D_MED"
-4,"VERMONT",-0.232896849022559,0.16148119550879,-0.532288508725658,0.113204583771891,"lnMURDER","D_MED"
-3,"VERMONT",-0.311984733412911,0.386414659217389,-0.890603018490379,0.486721011356929,"lnMURDER","D_MED"
-2,"VERMONT",0.184473353337885,0.23463628737549,-0.300221527195272,0.533754143624636,"lnMURDER","D_MED"
-1,"VERMONT",0.241905809907597,0.293030555386178,-0.363955209274709,0.673560231322567,"lnMURDER","D_MED"
0,"VERMONT",0.538270526904393,0.469570312808017,-0.431782473801254,1.2861178358124,"lnMURDER","D_MED"
1,"VERMONT",-0.251725379304607,0.313488298525909,-0.70720240752329,0.395526260096642,"lnMURDER","D_MED"
2,"VERMONT",0.226441084029437,0.182375360680753,-0.153889741968956,0.541532590650487,"lnMURDER","D_MED"
3,"VERMONT",0.00975391106793455,0.106171130531522,-0.192350489349354,0.231216560822306,"lnMURDER","D_MED"
4,"VERMONT",0.503306566953761,0.500258217233959,-0.524625320404434,1.27563165242235,"lnMURDER","D_MED"
