"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0956790390816415,0.0945164428202026,-0.104056709892014,0.245487627758667,"lnPROPERTY","D_MED"
-8,"Average",-0.043878130088725,0.0466829811078317,-0.12592182751379,0.0537530222134993,"lnPROPERTY","D_MED"
-7,"Average",0.0090869341093498,0.0802666536082996,-0.13663255146257,0.141841595878716,"lnPROPERTY","D_MED"
-6,"Average",0.0403926907083187,0.0504362905232987,-0.0522496872341929,0.13725822291366,"lnPROPERTY","D_MED"
-5,"Average",0.0330254678799323,0.0401521576320198,-0.0497362867998695,0.107175497792727,"lnPROPERTY","D_MED"
-4,"Average",0.0193214599178813,0.0239081432395694,-0.0255301148959426,0.0686853514698411,"lnPROPERTY","D_MED"
-3,"Average",-0.0157355297072937,0.0122515937975103,-0.0428384907698315,0.00553248549016053,"lnPROPERTY","D_MED"
-2,"Average",-0.0116935573968846,0.0210964322917397,-0.053005476563005,0.0274577165496345,"lnPROPERTY","D_MED"
-1,"Average",-0.0310806237609974,0.0348863284729172,-0.101687182382861,0.0350190423855751,"lnPROPERTY","D_MED"
0,"Average",-0.0124462177414634,0.0361158123628929,-0.0906745419596606,0.0500621170612982,"lnPROPERTY","D_MED"
1,"Average",-0.00183577701242359,0.0365164024070722,-0.0781031776897847,0.0678202993640009,"lnPROPERTY","D_MED"
2,"Average",-0.0075026547433861,0.0376100404208022,-0.0755602584474097,0.0697186590482008,"lnPROPERTY","D_MED"
3,"Average",-0.0156894052890136,0.0346520918791809,-0.0825241633086321,0.0526625713614009,"lnPROPERTY","D_MED"
4,"Average",0.00166174508897675,0.0328348358691309,-0.0620422609712932,0.0684562009998884,"lnPROPERTY","D_MED"
5,"Average",-0.0139516079386199,0.0301023039215956,-0.0699712547937977,0.0435019422101679,"lnPROPERTY","D_MED"
6,"Average",-0.0146523442129178,0.0354999980095597,-0.085296319570078,0.0557612953483413,"lnPROPERTY","D_MED"
7,"Average",-0.0448574805858231,0.0490042926239636,-0.145633471119373,0.0469800057252983,"lnPROPERTY","D_MED"
8,"Average",-0.0716653061434647,0.0666049101571412,-0.207889703454647,0.0487989396094232,"lnPROPERTY","D_MED"
9,"Average",-0.0773458131077254,0.0773085237691789,-0.241296191234481,0.0569214267009422,"lnPROPERTY","D_MED"
10,"Average",-0.0951185562604501,0.0843336600215069,-0.271505877078265,0.0583694246613997,"lnPROPERTY","D_MED"
11,"Average",-0.0655670909170571,0.0863142628194668,-0.245729648153308,0.0846784732234428,"lnPROPERTY","D_MED"
12,"Average",-0.049727918064513,0.0972593815375566,-0.254099893656632,0.10892038158698,"lnPROPERTY","D_MED"
13,"Average",-0.0358750177947317,0.0898610220341007,-0.224334642495687,0.101629579779302,"lnPROPERTY","D_MED"
14,"Average",-0.0197636749873289,0.085529162077672,-0.197718378377765,0.115399947802475,"lnPROPERTY","D_MED"
15,"Average",0.0635913700636281,0.0905014862336262,-0.121600505338133,0.214901225250912,"lnPROPERTY","D_MED"
NA,"Average",-0.0287966093528946,0.0492992477148246,-0.132240946402106,0.053931921142426,"lnPROPERTY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
