"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0580848251267545,0.173354188884892,-0.27838422462819,0.324621550521648,"lnRAPE","D_MED"
-8,"Average",0.070553374660765,0.133437358143125,-0.200686650832705,0.282240433850458,"lnRAPE","D_MED"
-7,"Average",0.0417144351602501,0.0924758455981659,-0.135822312848132,0.211630741782903,"lnRAPE","D_MED"
-6,"Average",-0.00484240598476686,0.0667610691951759,-0.137610238662955,0.113559177912743,"lnRAPE","D_MED"
-5,"Average",-0.00727696948663112,0.0364856683880721,-0.0837476559289407,0.0611349712866168,"lnRAPE","D_MED"
-4,"Average",0.00223473350497994,0.0348453336649238,-0.0646690684732365,0.0727141414849127,"lnRAPE","D_MED"
-3,"Average",-0.00143862414595602,0.0382327449029645,-0.0677903851255558,0.0752743581503026,"lnRAPE","D_MED"
-2,"Average",-0.0102536473743838,0.034583626606803,-0.0779726489847294,0.056816743566425,"lnRAPE","D_MED"
-1,"Average",-0.00836011702481127,0.0306705126497567,-0.0666390795582322,0.0491151479133516,"lnRAPE","D_MED"
0,"Average",0.0758435879397742,0.062489460802281,-0.0438409715651234,0.199496102172295,"lnRAPE","D_MED"
1,"Average",0.0580609310619842,0.0747965220245029,-0.079803417734072,0.220838654463226,"lnRAPE","D_MED"
2,"Average",0.0598019095785866,0.0694585562591596,-0.0759619243604119,0.198159920571095,"lnRAPE","D_MED"
3,"Average",0.0743914029183775,0.0739133145693827,-0.0675205446055682,0.21727747765559,"lnRAPE","D_MED"
4,"Average",0.104726927191147,0.0805961388178087,-0.0420948920260856,0.264704384065121,"lnRAPE","D_MED"
5,"Average",0.129810293090949,0.102369361500203,-0.0707208950618584,0.320301070963157,"lnRAPE","D_MED"
6,"Average",0.120458518039149,0.0878642906277342,-0.0489328711997233,0.28834308941805,"lnRAPE","D_MED"
7,"Average",0.0470362783843722,0.0871050015274095,-0.126083148311097,0.209042408940592,"lnRAPE","D_MED"
8,"Average",0.0452269569899109,0.0986322517297532,-0.152154417195977,0.243124621938594,"lnRAPE","D_MED"
9,"Average",-0.00939283174618834,0.112708249680987,-0.244598311850668,0.204427941435002,"lnRAPE","D_MED"
10,"Average",-0.00367700339073762,0.117411641769596,-0.2441595509856,0.21771456209969,"lnRAPE","D_MED"
11,"Average",0.109860206900622,0.112208415363729,-0.113152465890804,0.337120753446572,"lnRAPE","D_MED"
12,"Average",0.0660447452770429,0.108199595038898,-0.159193097118081,0.275550636690222,"lnRAPE","D_MED"
13,"Average",0.130943693415019,0.117612533355395,-0.0936896793683347,0.36560344940755,"lnRAPE","D_MED"
14,"Average",0.22689623539271,0.147876015292255,-0.0295514298203787,0.520754782487159,"lnRAPE","D_MED"
15,"Average",0.193893746485237,0.135681379169505,-0.0468815933940693,0.471531815654956,"lnRAPE","D_MED"
NA,"Average",0.0893703498454972,0.0849021056094811,-0.0787041338774362,0.259256863994808,"lnRAPE","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-4,"ALASKA",0.0210040419060578,0.172823941099468,-0.275841928708416,0.297091491807076,"lnRAPE","D_MED"
-3,"ALASKA",-0.0488668254611948,0.0638421134056446,-0.147336390443911,0.0824974483276364,"lnRAPE","D_MED"
-2,"ALASKA",-0.0166368747550081,0.0858840738550004,-0.151106307811865,0.140902471276325,"lnRAPE","D_MED"
-1,"ALASKA",0.0444996583101451,0.0456839709592233,-0.0483240233091117,0.115996847537047,"lnRAPE","D_MED"
0,"ALASKA",0.247410681191712,0.214067461114358,-0.190787057065776,0.605797901411253,"lnRAPE","D_MED"
1,"ALASKA",0.112477869518563,0.244159191095646,-0.336881677375513,0.51708400923319,"lnRAPE","D_MED"
2,"ALASKA",0.138609174076657,0.220844617928952,-0.292685298081515,0.514113960990853,"lnRAPE","D_MED"
3,"ALASKA",0.173195463415632,0.145809773254998,-0.120571094982029,0.411120425417286,"lnRAPE","D_MED"
4,"ALASKA",0.399564740566048,0.339219955176315,-0.296789895048565,0.942052419492917,"lnRAPE","D_MED"
5,"ALASKA",0.461168231745913,0.318255879760295,-0.209206472681145,1.06858334381413,"lnRAPE","D_MED"
6,"ALASKA",0.362575148938831,0.241456715489436,-0.144530375024944,0.840130968787207,"lnRAPE","D_MED"
7,"ALASKA",0.206033100499591,0.135794567407139,-0.0673876858961975,0.458979691477952,"lnRAPE","D_MED"
8,"ALASKA",0.144497104795104,0.158322460815764,-0.170570922316514,0.409449538507369,"lnRAPE","D_MED"
9,"ALASKA",-0.113573385288236,0.140565247318973,-0.354618781244537,0.170339175453821,"lnRAPE","D_MED"
