"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.271781064876835,0.341542855378542,-0.764803151054654,0.441621239948956,"lnROBBERY","D_MED"
-8,"Average",0.16067099868327,0.12494742177703,-0.108601597435794,0.374246299695257,"lnROBBERY","D_MED"
-7,"Average",0.0357627683123922,0.0502582525588625,-0.0552283561263072,0.138716342967679,"lnROBBERY","D_MED"
-6,"Average",-0.0740469589661423,0.110185444673529,-0.227989700166538,0.148539062130397,"lnROBBERY","D_MED"
-5,"Average",0.0327482703664651,0.0382865728707907,-0.0358960143031545,0.111831304059685,"lnROBBERY","D_MED"
-4,"Average",0.0915731517337333,0.0796017141079366,-0.079735173098321,0.225055308616257,"lnROBBERY","D_MED"
-3,"Average",0.00210977340791402,0.0505192120423844,-0.0997680614603447,0.0726204577692119,"lnROBBERY","D_MED"
-2,"Average",-0.0137128894464444,0.0177894642249339,-0.0492316233217835,0.0189774473651921,"lnROBBERY","D_MED"
-1,"Average",-0.0586737046089224,0.0381150595735804,-0.128612082003826,0.0199285996289102,"lnROBBERY","D_MED"
0,"Average",-0.045394546127993,0.0388745052512157,-0.122500398960769,0.0345138084831963,"lnROBBERY","D_MED"
1,"Average",-0.0863357023142423,0.0562539566805609,-0.194734099675139,0.0266708004899299,"lnROBBERY","D_MED"
2,"Average",-0.0975293857919833,0.0874973023318282,-0.270562300984591,0.0646262470682876,"lnROBBERY","D_MED"
3,"Average",-0.123559143444005,0.0883426602490958,-0.297211063427477,0.056426547521657,"lnROBBERY","D_MED"
4,"Average",-0.0703345500190425,0.0766054334777351,-0.214782483928358,0.077995970244134,"lnROBBERY","D_MED"
5,"Average",-0.00242328878028787,0.0863872503016865,-0.182498051047024,0.154239270576964,"lnROBBERY","D_MED"
6,"Average",-0.0496466674840366,0.0825086120042347,-0.210792149281313,0.116818669441591,"lnROBBERY","D_MED"
7,"Average",-0.0360936900391998,0.0833192653845011,-0.203210434093062,0.125345623764342,"lnROBBERY","D_MED"
8,"Average",-0.0435616542016072,0.10300578142269,-0.251030970599858,0.133107244646351,"lnROBBERY","D_MED"
9,"Average",-0.0350218738260177,0.0933247460640481,-0.223121694537155,0.137222125575817,"lnROBBERY","D_MED"
10,"Average",0.0401030427022479,0.105098548821529,-0.178156831622266,0.238728070679931,"lnROBBERY","D_MED"
11,"Average",0.096016465331973,0.113218980781067,-0.130738771028763,0.313606963505769,"lnROBBERY","D_MED"
12,"Average",0.117138389004487,0.134283217168774,-0.153657968916006,0.373192289308354,"lnROBBERY","D_MED"
13,"Average",0.141208833550921,0.117889992237841,-0.0875191439826507,0.36147140909829,"lnROBBERY","D_MED"
14,"Average",0.108122421810003,0.108838266625554,-0.096614884076331,0.320405689374757,"lnROBBERY","D_MED"
15,"Average",0.145532853942528,0.135765725029765,-0.122386319364565,0.40857454481714,"lnROBBERY","D_MED"
NA,"Average",0.00363884401960901,0.0771613685057583,-0.151618815109707,0.156163445494627,"lnROBBERY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_MED"
