"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0554327361728131,0.119833983201147,-0.255983689180782,0.172334486594136,"lnVIOLENT1","D_MED"
-8,"Average",0.0204694900087823,0.0472416742829798,-0.0752290090659133,0.0849581532224037,"lnVIOLENT1","D_MED"
-7,"Average",0.0651601611628982,0.109249149003973,-0.155695782262796,0.227250076665649,"lnVIOLENT1","D_MED"
-6,"Average",-0.0128809344570241,0.0740677833616282,-0.150750315225032,0.1296993626914,"lnVIOLENT1","D_MED"
-5,"Average",0.0170997111833096,0.0433111621514661,-0.0582780879082219,0.106465980411373,"lnVIOLENT1","D_MED"
-4,"Average",0.00577463156908764,0.0208912503713877,-0.033800628375471,0.0483970710456229,"lnVIOLENT1","D_MED"
-3,"Average",-0.00670960415423416,0.021245659577023,-0.0444745591718256,0.037205940569612,"lnVIOLENT1","D_MED"
-2,"Average",-0.00736523508863287,0.0321269046707582,-0.0684193431145211,0.0541082988232,"lnVIOLENT1","D_MED"
-1,"Average",-0.00760510358093026,0.0330804575299351,-0.06917656728821,0.0581921365959696,"lnVIOLENT1","D_MED"
0,"Average",-0.00278307757260777,0.0461578432555458,-0.0817656563480159,0.0886676340352727,"lnVIOLENT1","D_MED"
1,"Average",-0.0316110039670301,0.0766605120916362,-0.156340680388298,0.125394871811691,"lnVIOLENT1","D_MED"
2,"Average",-0.0280183387529481,0.0885800516554595,-0.179100246790753,0.146211981439198,"lnVIOLENT1","D_MED"
3,"Average",-0.0163833034138781,0.0940888519856634,-0.176718771148161,0.168754247663097,"lnVIOLENT1","D_MED"
4,"Average",0.0442545458927393,0.0904291702902817,-0.108596890932947,0.233535505748552,"lnVIOLENT1","D_MED"
5,"Average",0.0830507203934079,0.0859369011698133,-0.073779164341007,0.261901652891929,"lnVIOLENT1","D_MED"
6,"Average",0.077341558491745,0.0844972201195755,-0.0799394444033226,0.252934731569637,"lnVIOLENT1","D_MED"
7,"Average",0.0631029029713283,0.0901037085594686,-0.111062047916395,0.245527804565576,"lnVIOLENT1","D_MED"
8,"Average",0.0626137239318287,0.0904879086476016,-0.109038954383566,0.239604484317273,"lnVIOLENT1","D_MED"
9,"Average",0.0391821836048923,0.0851417751912771,-0.118421337217282,0.219614511595703,"lnVIOLENT1","D_MED"
10,"Average",0.0552209145028122,0.0857597352731668,-0.102069405423278,0.233935034591358,"lnVIOLENT1","D_MED"
11,"Average",0.0979310658189151,0.0989370092794125,-0.100546553874685,0.302319902415708,"lnVIOLENT1","D_MED"
12,"Average",0.0858128909701506,0.108304949255849,-0.12827245010553,0.305120677152672,"lnVIOLENT1","D_MED"
13,"Average",0.124142474207493,0.115679450503755,-0.109732822234144,0.356166016174183,"lnVIOLENT1","D_MED"
14,"Average",0.131817466225893,0.123022461471153,-0.120785850011962,0.376911492430384,"lnVIOLENT1","D_MED"
15,"Average",0.131987453569474,0.137904659007492,-0.154641689077056,0.391918864465672,"lnVIOLENT1","D_MED"
NA,"Average",0.0573538860546385,0.0845408705151458,-0.101246210026748,0.223876363800978,"lnVIOLENT1","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_MED"
-4,"ALASKA",0.0547173362511932,0.044383831919554,-0.0357517559605304,0.127208863933669,"lnVIOLENT1","D_MED"
-3,"ALASKA",0.0127504511697829,0.0266243257028164,-0.0414897391203632,0.0562261421616462,"lnVIOLENT1","D_MED"
-2,"ALASKA",-0.0244530540215555,0.0247174751403705,-0.0627361886046593,0.027474805420394,"lnVIOLENT1","D_MED"
-1,"ALASKA",-0.0430147333994197,0.0434715817791103,-0.115695193667119,0.0499603390699395,"lnVIOLENT1","D_MED"
0,"ALASKA",-0.00480552165551718,0.0320447222410475,-0.0609900098178151,0.0554408099576252,"lnVIOLENT1","D_MED"
1,"ALASKA",-0.188761226162196,0.179464328699047,-0.486202086489395,0.198326160053239,"lnVIOLENT1","D_MED"
2,"ALASKA",-0.130727809293527,0.14587572133891,-0.351897971897743,0.168315644315737,"lnVIOLENT1","D_MED"
3,"ALASKA",-0.195637910046785,0.201437500739376,-0.517018669145968,0.235011424716342,"lnVIOLENT1","D_MED"
4,"ALASKA",-0.110980491876529,0.171527045329597,-0.347419549904513,0.243580246372467,"lnVIOLENT1","D_MED"
5,"ALASKA",0.0553436039001181,0.144075097447343,-0.202910393083623,0.315368713559641,"lnVIOLENT1","D_MED"
6,"ALASKA",0.0532195672025173,0.118286248414527,-0.164649413404802,0.27918119649718,"lnVIOLENT1","D_MED"
7,"ALASKA",0.103333918720762,0.185517463641925,-0.251878548544996,0.42416949733894,"lnVIOLENT1","D_MED"
8,"ALASKA",0.04905389660395,0.125822878446765,-0.178494371747501,0.278859385050903,"lnVIOLENT1","D_MED"
9,"ALASKA",0.062117235189409,0.12381707481416,-0.165991766508325,0.286103941479285,"lnVIOLENT1","D_MED"
10,"ALASKA",0.0682803140315729,0.165921964938803,-0.231614961975906,0.365450074080504,"lnVIOLENT1","D_MED"
11,"ALASKA",0.200260528369078,0.199947090687221,-0.204544712819204,0.513769386537239,"lnVIOLENT1","D_MED"
12,"ALASKA",0.0805691864922888,0.209509771221255,-0.295357772546402,0.44817372743909,"lnVIOLENT1","D_MED"
13,"ALASKA",0.126512201971527,0.149107687968801,-0.180710548974244,0.371273303146171,"lnVIOLENT1","D_MED"
14,"ALASKA",0.177765911175886,0.225075322483764,-0.299196721040298,0.523788338600778,"lnVIOLENT1","D_MED"
15,"ALASKA",0.194896387911617,0.202816881754551,-0.243667330682733,0.500013425525964,"lnVIOLENT1","D_MED"
