"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.0788828083027262,0.0948575817545066,-0.125563780850851,0.229298790259318,"lnPROPERTY","D_MED"
-8,"Average",-0.0243173175896789,0.0454316662839086,-0.0990212760475203,0.0686760548553936,"lnPROPERTY","D_MED"
-7,"Average",0.00791086228217353,0.0787966311123104,-0.143567653372025,0.147900079846986,"lnPROPERTY","D_MED"
-6,"Average",0.0486188355859675,0.0509296417501278,-0.049608467499338,0.145889499568025,"lnPROPERTY","D_MED"
-5,"Average",0.0512508106497302,0.0412041037251101,-0.0329718601388022,0.132496965587495,"lnPROPERTY","D_MED"
-4,"Average",0.0278617198761834,0.0230401510685786,-0.019894248329792,0.0704177326122845,"lnPROPERTY","D_MED"
-3,"Average",-0.0153400505095244,0.0121855016389383,-0.0394863351251101,0.00644275249935038,"lnPROPERTY","D_MED"
-2,"Average",-0.017035744857997,0.0210751324870992,-0.0588638925713975,0.0219285321605584,"lnPROPERTY","D_MED"
-1,"Average",-0.046594380721695,0.0352508251430388,-0.117348439070959,0.0178270919699767,"lnPROPERTY","D_MED"
0,"Average",-0.0370250521404978,0.0330886504522814,-0.103790977223651,0.0248776296104758,"lnPROPERTY","D_MED"
1,"Average",-0.0172577715223931,0.032794517935566,-0.0760911526110132,0.0471829130325093,"lnPROPERTY","D_MED"
2,"Average",-0.0111923442920697,0.0383160566694802,-0.0809964700672982,0.0647589500808693,"lnPROPERTY","D_MED"
3,"Average",-0.0118573713317217,0.0366356361872163,-0.0761699562746848,0.0667098159318419,"lnPROPERTY","D_MED"
4,"Average",0.00930972136261992,0.0362441896299871,-0.0575395122011867,0.0834617205927565,"lnPROPERTY","D_MED"
5,"Average",-0.00858707670624131,0.0343477667494947,-0.0750147001347259,0.0593970702023945,"lnPROPERTY","D_MED"
6,"Average",-0.00741917643767367,0.0370838689078311,-0.0820676730522836,0.0638184607505524,"lnPROPERTY","D_MED"
7,"Average",-0.0384476544531722,0.0476091209095787,-0.138340712109517,0.0501691877366952,"lnPROPERTY","D_MED"
8,"Average",-0.0692111718493982,0.0637281957181882,-0.198253618868826,0.0465258089639057,"lnPROPERTY","D_MED"
9,"Average",-0.0747741208273904,0.074012048487239,-0.232330456854339,0.0596586254839258,"lnPROPERTY","D_MED"
10,"Average",-0.0987631128466697,0.0813625314939503,-0.261727547489596,0.0524714559390431,"lnPROPERTY","D_MED"
11,"Average",-0.0671826484507873,0.0786433732373312,-0.227533824676789,0.0777879007642927,"lnPROPERTY","D_MED"
12,"Average",-0.054857751185349,0.0835365472417937,-0.22998632403452,0.0891120643366413,"lnPROPERTY","D_MED"
13,"Average",-0.0450580221765944,0.0766810600169302,-0.206143759186675,0.0859041835846048,"lnPROPERTY","D_MED"
14,"Average",-0.0223185693637055,0.0710310537502667,-0.172108340456354,0.102251113029569,"lnPROPERTY","D_MED"
15,"Average",0.0585065090915574,0.0737842055027344,-0.0876492573656556,0.197906194742742,"lnPROPERTY","D_MED"
NA,"Average",-0.0310084758205929,0.045631988529189,-0.122565389464747,0.0502763050911622,"lnPROPERTY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_MED"
-4,"ALASKA",0.0404166353117681,0.0528154133284523,-0.0683334311898831,0.11909250932671,"lnPROPERTY","D_MED"
-3,"ALASKA",-0.00183965628914962,0.0179619770678819,-0.0363249263269759,0.0346554538853096,"lnPROPERTY","D_MED"
-2,"ALASKA",-0.0104696481707016,0.0109294403963744,-0.0276597784612308,0.0127111496524205,"lnPROPERTY","D_MED"
-1,"ALASKA",-0.0281073308519204,0.0594056608610286,-0.1230317946225,0.090527306818102,"lnPROPERTY","D_MED"
0,"ALASKA",-0.033056387086507,0.101059206822753,-0.198839668960762,0.164033510247422,"lnPROPERTY","D_MED"
1,"ALASKA",0.00490166982398144,0.105872962228688,-0.174852322314858,0.184547568824484,"lnPROPERTY","D_MED"
2,"ALASKA",-0.0565311168802349,0.107615687937686,-0.218379010414463,0.164932559095856,"lnPROPERTY","D_MED"
3,"ALASKA",-0.0336956554911474,0.074144257302357,-0.144394545832237,0.120612238242722,"lnPROPERTY","D_MED"
