"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0615618789418226,0.134544976848561,-0.299796387951047,0.210730512573438,"lnASSAULT","D_MED"
-8,"Average",-0.00687737309974334,0.068333124782566,-0.136868275145851,0.126623780023311,"lnASSAULT","D_MED"
-7,"Average",0.10564080735065,0.165917341014487,-0.233188146144711,0.344125297244058,"lnASSAULT","D_MED"
-6,"Average",-0.00173023349829737,0.0940329557685437,-0.198036343914296,0.204706331890688,"lnASSAULT","D_MED"
-5,"Average",0.0171649279067166,0.0415290927466427,-0.0670902880202774,0.0998375018856897,"lnASSAULT","D_MED"
-4,"Average",-0.0290318560664358,0.0241988164399806,-0.0760608173858302,0.0189339180516346,"lnASSAULT","D_MED"
-3,"Average",-0.00819519505869792,0.0297788098813342,-0.0548469568491605,0.0535875774531284,"lnASSAULT","D_MED"
-2,"Average",-0.0113461600274055,0.0409691431584806,-0.0848956202650498,0.0774763958684827,"lnASSAULT","D_MED"
-1,"Average",0.0196061719499214,0.03261710011284,-0.0485778535768347,0.079649096117892,"lnASSAULT","D_MED"
0,"Average",0.0255722722727179,0.0462441911155622,-0.0683636253521157,0.109226745800613,"lnASSAULT","D_MED"
1,"Average",0.0227810933994632,0.0669725968003011,-0.109056366065345,0.15210952312993,"lnASSAULT","D_MED"
2,"Average",0.0248529392709489,0.086009305582957,-0.144483635075913,0.185609740357104,"lnASSAULT","D_MED"
3,"Average",0.0484982239379689,0.101174406231419,-0.149076191015145,0.240305985196868,"lnASSAULT","D_MED"
4,"Average",0.115989559921605,0.116680157796354,-0.107076147226431,0.337787418412686,"lnASSAULT","D_MED"
5,"Average",0.144976018856601,0.117384115257369,-0.0741723903795354,0.371579771979336,"lnASSAULT","D_MED"
6,"Average",0.137998269042357,0.117755865061217,-0.0963890364019723,0.360446576651826,"lnASSAULT","D_MED"
7,"Average",0.14871737555724,0.125763267843031,-0.0991940965634093,0.384702249149458,"lnASSAULT","D_MED"
8,"Average",0.151911611943416,0.12435875251162,-0.0834443827238157,0.388132826252237,"lnASSAULT","D_MED"
9,"Average",0.116143012334281,0.116984133992123,-0.109175089178947,0.347088574396128,"lnASSAULT","D_MED"
10,"Average",0.11210804664237,0.110042618025029,-0.0969674439383496,0.341773840155815,"lnASSAULT","D_MED"
11,"Average",0.152397670332385,0.127904126300375,-0.0907898850136159,0.409397137274643,"lnASSAULT","D_MED"
12,"Average",0.14178113464967,0.119827723448568,-0.0774505784741562,0.386807658344074,"lnASSAULT","D_MED"
13,"Average",0.16818799636334,0.13010863323832,-0.0669498980077863,0.435778216163656,"lnASSAULT","D_MED"
14,"Average",0.148028992308984,0.129534507081705,-0.0839287343199111,0.414498336325517,"lnASSAULT","D_MED"
15,"Average",0.165419587451634,0.146229723574825,-0.10149330521915,0.462882590246865,"lnASSAULT","D_MED"
NA,"Average",0.114085237767811,0.102926492647948,-0.0823012509227107,0.315469114561211,"lnASSAULT","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_MED"
-4,"ALASKA",-0.00372828049820928,0.0635205670131891,-0.110381448997777,0.106075996306456,"lnASSAULT","D_MED"
-3,"ALASKA",0.0191549485403311,0.0455526654795335,-0.0708314021463274,0.0996346183464331,"lnASSAULT","D_MED"
-2,"ALASKA",-0.0143970154000268,0.0193653492833261,-0.0456991990033639,0.0250404036757973,"lnASSAULT","D_MED"
-1,"ALASKA",-0.00102965264209498,0.043838858608069,-0.0716150777538551,0.0770556052139495,"lnASSAULT","D_MED"
0,"ALASKA",-0.00597482307300545,0.0656141922321086,-0.128748011092037,0.119258643006701,"lnASSAULT","D_MED"
1,"ALASKA",-0.181969360965051,0.200163157564549,-0.530892038407074,0.230130474007222,"lnASSAULT","D_MED"
2,"ALASKA",-0.109108529380831,0.168905161127072,-0.34917307297501,0.237123993321125,"lnASSAULT","D_MED"
3,"ALASKA",-0.184773428637314,0.219234232120997,-0.539923028734203,0.238945591965896,"lnASSAULT","D_MED"
4,"ALASKA",-0.103864801558146,0.208786166662,-0.399790259922178,0.311800386403291,"lnASSAULT","D_MED"
5,"ALASKA",0.103486885457762,0.228581154160687,-0.331049607566106,0.529307134686042,"lnASSAULT","D_MED"
6,"ALASKA",0.106794628444479,0.193924866731324,-0.270818206348478,0.482374799858191,"lnASSAULT","D_MED"
7,"ALASKA",0.193311526853345,0.294862172472357,-0.389553250855159,0.72714659152745,"lnASSAULT","D_MED"
8,"ALASKA",0.153302856728438,0.213034915479306,-0.270249256871217,0.549976100443445,"lnASSAULT","D_MED"
9,"ALASKA",0.178822484893592,0.215961334831117,-0.268041873787063,0.563610262121515,"lnASSAULT","D_MED"
10,"ALASKA",0.137605101637167,0.216142821014076,-0.302136858205327,0.534743537663879,"lnASSAULT","D_MED"
11,"ALASKA",0.27098028039074,0.236622118443245,-0.256271532334294,0.661058820148963,"lnASSAULT","D_MED"
12,"ALASKA",0.151459615546004,0.271057822745381,-0.384677294929772,0.635022845987776,"lnASSAULT","D_MED"
