"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0363243951696335,0.134175037814147,-0.270644028907404,0.219631176382107,"lnAUTO","D_MED"
-8,"Average",0.0494585037225619,0.0590468544533945,-0.068648841142393,0.162211908876327,"lnAUTO","D_MED"
-7,"Average",-0.0337267655435225,0.0626537053133495,-0.146823662304551,0.0958403677464863,"lnAUTO","D_MED"
-6,"Average",-0.0119799899459743,0.0662026795207357,-0.140218946386238,0.133753126276237,"lnAUTO","D_MED"
-5,"Average",0.0549012078639814,0.0576361832153418,-0.0623891579606529,0.163758063470092,"lnAUTO","D_MED"
-4,"Average",0.0367580805138439,0.0335289658944993,-0.0231745529206331,0.107320502630254,"lnAUTO","D_MED"
-3,"Average",-0.0138947799275774,0.026416409508542,-0.0641745698536754,0.0370506699099739,"lnAUTO","D_MED"
-2,"Average",-0.00858832391156107,0.0158922424558493,-0.040849067468637,0.0223422936124168,"lnAUTO","D_MED"
-1,"Average",-0.032206459603771,0.0457579733878792,-0.126142695787575,0.0561619476854027,"lnAUTO","D_MED"
0,"Average",-0.0135576536662292,0.0641792951206918,-0.142490383278884,0.108912401656027,"lnAUTO","D_MED"
1,"Average",0.0235683521549264,0.0722657934429119,-0.122748540925842,0.156080330994853,"lnAUTO","D_MED"
2,"Average",0.0336926616988412,0.102414513995444,-0.172305910365346,0.225053186265504,"lnAUTO","D_MED"
3,"Average",0.0838715901373411,0.107088300364386,-0.13004281861404,0.281822132557478,"lnAUTO","D_MED"
4,"Average",0.0773351714861476,0.111206694397038,-0.133463702562812,0.288445317510409,"lnAUTO","D_MED"
5,"Average",0.0496161500752618,0.0963404471426409,-0.131111688371984,0.236207107973856,"lnAUTO","D_MED"
6,"Average",0.032489438204547,0.0783768272823414,-0.120296023689296,0.188169763874329,"lnAUTO","D_MED"
7,"Average",-0.0178273916938197,0.0801892306159346,-0.182165870869078,0.141547406342252,"lnAUTO","D_MED"
8,"Average",-0.0479654555705583,0.068295850713927,-0.190234418372977,0.0855990882312252,"lnAUTO","D_MED"
9,"Average",-0.133891498428356,0.106911115468483,-0.357390531329364,0.0643186158150548,"lnAUTO","D_MED"
10,"Average",-0.150184035266909,0.129264829164433,-0.399532162588681,0.102673998303935,"lnAUTO","D_MED"
11,"Average",-0.143702726435288,0.144714245856949,-0.410572313221507,0.159446233870619,"lnAUTO","D_MED"
12,"Average",-0.134854510090396,0.12393938397564,-0.390218421991704,0.105258791304954,"lnAUTO","D_MED"
13,"Average",-0.126484746311901,0.152026754804976,-0.403050184890956,0.196012239428338,"lnAUTO","D_MED"
14,"Average",-0.0677741090563128,0.133898669111519,-0.323385762595155,0.21352386096838,"lnAUTO","D_MED"
15,"Average",0.0183441703960776,0.129985639491145,-0.220222319900054,0.276029582798621,"lnAUTO","D_MED"
NA,"Average",-0.0323327870229142,0.080454794905222,-0.186428898187529,0.124173552161046,"lnAUTO","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_MED"
-4,"ALASKA",-0.020068840201148,0.065784460143276,-0.134308907017397,0.106124595124972,"lnAUTO","D_MED"
-3,"ALASKA",0.0540823367425256,0.0492940458725138,-0.0519840556747807,0.141375837904659,"lnAUTO","D_MED"
-2,"ALASKA",0.00564336795479026,0.054171874714044,-0.0915139439052067,0.0958501960808153,"lnAUTO","D_MED"
-1,"ALASKA",-0.039656864496167,0.0469272619200424,-0.120319315141613,0.0608001865209199,"lnAUTO","D_MED"
0,"ALASKA",0.0658811395353114,0.0433994112396932,-0.021198188447748,0.152652507867309,"lnAUTO","D_MED"
1,"ALASKA",-0.0170072346882284,0.0844562399340436,-0.149502247469086,0.147211470786443,"lnAUTO","D_MED"
2,"ALASKA",-0.0364061919483243,0.0699809404342525,-0.163329475278641,0.112346130256581,"lnAUTO","D_MED"
3,"ALASKA",-0.128247992883416,0.147486871166856,-0.393155362610902,0.188330550945496,"lnAUTO","D_MED"
4,"ALASKA",-0.209682816008813,0.191540232399879,-0.543477742705055,0.196904300991936,"lnAUTO","D_MED"
5,"ALASKA",-0.305228586130278,0.256606616309543,-0.783082769125768,0.237723510901403,"lnAUTO","D_MED"
6,"ALASKA",-0.120162704832407,0.110230984734549,-0.308286948496056,0.123047432510986,"lnAUTO","D_MED"
7,"ALASKA",-0.168723391784152,0.153250632387448,-0.432900467323215,0.154958444261989,"lnAUTO","D_MED"
8,"ALASKA",-0.209937305257772,0.194895774017349,-0.538985025437478,0.210099111928713,"lnAUTO","D_MED"
9,"ALASKA",-0.483769357492495,0.426976716033879,-1.24114429585199,0.396739663538127,"lnAUTO","D_MED"
10,"ALASKA",-0.424323942283228,0.371830734352979,-1.08863239892456,0.376655645205851,"lnAUTO","D_MED"
11,"ALASKA",-0.269292077639633,0.241028367144252,-0.695057688531511,0.24996214899985,"lnAUTO","D_MED"
12,"ALASKA",-0.407870143630475,0.399260198943484,-1.0464192523038,0.430733753015775,"lnAUTO","D_MED"
13,"ALASKA",-0.332144497341162,0.297085884209607,-0.852138080496073,0.314799959327191,"lnAUTO","D_MED"
14,"ALASKA",-0.212155597177087,0.196566782946566,-0.556593864240583,0.211328048188066,"lnAUTO","D_MED"
15,"ALASKA",-0.205990677860477,0.204556084300838,-0.553132686772228,0.228948630047076,"lnAUTO","D_MED"
NA,"ALASKA",-0.216566336088915,0.194782314099621,-0.555616780615655,0.183439148161972,"lnAUTO","D_MED"
-9,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-8,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-7,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-6,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-5,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-4,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-3,"CALIFORNIA",NA,NA,NA,NA,"lnAUTO","D_MED"
-2,"CALIFORNIA",0.062707701162549,0.0579733554022275,-0.0609470457165692,0.160636323786472,"lnAUTO","D_MED"
-1,"CALIFORNIA",-0.062707701162549,0.0579733554022268,-0.160636323786472,0.0609470457165674,"lnAUTO","D_MED"
0,"CALIFORNIA",-0.1261937242019,0.12133043196412,-0.318594740990279,0.125944656564236,"lnAUTO","D_MED"
1,"CALIFORNIA",-0.253259747014125,0.230701248286354,-0.612055374102656,0.235944459324257,"lnAUTO","D_MED"
2,"CALIFORNIA",-0.35070357439214,0.359153777777029,-0.899859520245165,0.379844189958752,"lnAUTO","D_MED"
3,"CALIFORNIA",-0.276600641669006,0.25182754010875,-0.674629511696459,0.243818430805361,"lnAUTO","D_MED"
4,"CALIFORNIA",-0.220374707918467,0.211907574312651,-0.564057107114139,0.20739468423568,"lnAUTO","D_MED"
5,"CALIFORNIA",-0.155874942401444,0.138428256125896,-0.38552607173199,0.129419078696536,"lnAUTO","D_MED"
6,"CALIFORNIA",-0.0323581518869727,0.0657968038762295,-0.145930692863954,0.100394896974737,"lnAUTO","D_MED"
7,"CALIFORNIA",0.0378671377974511,0.0389385083331652,-0.0399924670272744,0.112062184262773,"lnAUTO","D_MED"
8,"CALIFORNIA",0.101083944114326,0.0846289138773796,-0.0662865886196119,0.255106925781389,"lnAUTO","D_MED"
9,"CALIFORNIA",0.0944724278736278,0.104222530737685,-0.126087729030732,0.261337657333141,"lnAUTO","D_MED"
10,"CALIFORNIA",0.0353288208257627,0.132755020343753,-0.220413624375846,0.278276839461481,"lnAUTO","D_MED"
11,"CALIFORNIA",-0.02263314481878,0.14095688952655,-0.286948250533221,0.284397630829934,"lnAUTO","D_MED"
12,"CALIFORNIA",-0.0131223096912221,0.116012278737227,-0.229373234884939,0.229974629090941,"lnAUTO","D_MED"
13,"CALIFORNIA",0.000988642684335517,0.138618748916545,-0.246682025444828,0.295729283170683,"lnAUTO","D_MED"
14,"CALIFORNIA",0.0180394074605239,0.212551804370144,-0.380260389009134,0.445445279057778,"lnAUTO","D_MED"
15,"CALIFORNIA",0.192699363101086,0.179293289147997,-0.202807612537223,0.494462166423555,"lnAUTO","D_MED"
NA,"CALIFORNIA",-0.060665075008559,0.124921034812306,-0.271380013552343,0.186222407855487,"lnAUTO","D_MED"
-9,"COLORADO",NA,NA,NA,NA,"lnAUTO","D_MED"
