"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.108194848688888,0.122018577733842,-0.144161155783688,0.303361178145907,"lnBURGLARY","D_MED"
-8,"Average",0.0320943039676678,0.0349920636473546,-0.0371266029999881,0.096887045858266,"lnBURGLARY","D_MED"
-7,"Average",-0.00141324502173834,0.0701296462907473,-0.143701901268942,0.121722328279883,"lnBURGLARY","D_MED"
-6,"Average",0.0425921113154111,0.0463211076569259,-0.0530988171471972,0.127474435265009,"lnBURGLARY","D_MED"
-5,"Average",0.053684865451299,0.0386176775622153,-0.0195318387666988,0.124997702160996,"lnBURGLARY","D_MED"
-4,"Average",0.0178724199440147,0.0186808073502862,-0.0192262391624313,0.0542860734613961,"lnBURGLARY","D_MED"
-3,"Average",-0.0150711193630524,0.0205235215656787,-0.0570985393248124,0.0205151783539548,"lnBURGLARY","D_MED"
-2,"Average",-0.0128616745910193,0.019991070130097,-0.049083332711031,0.0283990201236248,"lnBURGLARY","D_MED"
-1,"Average",-0.0489242952382598,0.0380949003230592,-0.123727542088827,0.0241277934381332,"lnBURGLARY","D_MED"
0,"Average",-0.0239434842309095,0.0349494792340902,-0.0945856856689547,0.041981042637031,"lnBURGLARY","D_MED"
1,"Average",-0.0237370550909816,0.0330714946332577,-0.0885954220242832,0.0448046785765638,"lnBURGLARY","D_MED"
2,"Average",-0.0201084584660745,0.0465810193794602,-0.108393019107667,0.0722951075353344,"lnBURGLARY","D_MED"
3,"Average",-0.0277646886806808,0.0514877618715891,-0.130335132272472,0.0720801530333139,"lnBURGLARY","D_MED"
4,"Average",-0.00993841530135153,0.049241045611965,-0.101458843703557,0.0866670216141029,"lnBURGLARY","D_MED"
5,"Average",-0.0182388400720676,0.0497417230248736,-0.110605208251881,0.0818440874958699,"lnBURGLARY","D_MED"
6,"Average",-0.0248057256534362,0.0571264202933488,-0.134300768562887,0.085488974709691,"lnBURGLARY","D_MED"
7,"Average",-0.0482009433870002,0.0655652770675116,-0.183430171404769,0.0713659651816475,"lnBURGLARY","D_MED"
