"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0178151534387739,0.0688231444505682,-0.157900848147862,0.128547542414956,"lnMURDER","D_MED"
-8,"Average",0.0037546336859845,0.192654856337999,-0.325187142956175,0.343549558212933,"lnMURDER","D_MED"
-7,"Average",-0.169832936115366,0.202366073103584,-0.524899472720698,0.24996070670542,"lnMURDER","D_MED"
-6,"Average",0.150797250476901,0.132351057201645,-0.122804373731879,0.413684874102968,"lnMURDER","D_MED"
-5,"Average",0.0597781623459348,0.125437970070632,-0.202519384966483,0.288392234441827,"lnMURDER","D_MED"
-4,"Average",-0.0420414701100856,0.0500803143022076,-0.144888980788389,0.0473522818460651,"lnMURDER","D_MED"
-3,"Average",-0.00963869111583045,0.0566539316169778,-0.107211499400874,0.102293056374672,"lnMURDER","D_MED"
-2,"Average",-0.0340448784348542,0.0875784711050951,-0.193198265962147,0.147103271297664,"lnMURDER","D_MED"
-1,"Average",0.0358098916160177,0.0676848717494445,-0.0936988680870856,0.167076799876841,"lnMURDER","D_MED"
0,"Average",-0.036410225542303,0.0923388123555882,-0.223822917512722,0.135967630182965,"lnMURDER","D_MED"
1,"Average",-0.0896653085779787,0.131757132708993,-0.363431411250088,0.135125150699863,"lnMURDER","D_MED"
2,"Average",-0.0869290460042787,0.086905448547932,-0.251988059499741,0.0872223376904808,"lnMURDER","D_MED"
3,"Average",-0.185253259159342,0.103197234059375,-0.379407954729725,0.0162354999482955,"lnMURDER","D_MED"
4,"Average",-0.090764338474356,0.116009269244091,-0.314970479636795,0.149292795354129,"lnMURDER","D_MED"
5,"Average",-0.210512983495455,0.110173976124144,-0.425888211727052,0.00388789880339407,"lnMURDER","D_MED"
6,"Average",-0.248093879335926,0.136237196253584,-0.512069345870078,0.00579803563480719,"lnMURDER","D_MED"
7,"Average",-0.198625637946123,0.124488797973458,-0.439617160185495,0.0400776041023767,"lnMURDER","D_MED"
