"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.109728978121385,0.176027732079635,-0.239308795304516,0.393408661483824,"lnRAPE","D_MED"
-8,"Average",0.0561360587667803,0.134862888770169,-0.216183202189388,0.261023989197053,"lnRAPE","D_MED"
-7,"Average",0.0743165186768926,0.0946735877849886,-0.10640133962995,0.250137737776484,"lnRAPE","D_MED"
-6,"Average",0.0290906375485342,0.0814824253134433,-0.136171500076518,0.189162659748066,"lnRAPE","D_MED"
-5,"Average",-0.012107793525012,0.0376833118608286,-0.0898190735393604,0.0542667326780556,"lnRAPE","D_MED"
-4,"Average",0.00495551270418532,0.0344880579763546,-0.0642233029476204,0.0755956461763315,"lnRAPE","D_MED"
-3,"Average",-0.0103380782924515,0.0357545903976321,-0.0712193659605786,0.0622578891261499,"lnRAPE","D_MED"
-2,"Average",-0.0203973698793313,0.0328024345176935,-0.0868553808940552,0.037699911282302,"lnRAPE","D_MED"
-1,"Average",-0.0127326850713758,0.0324983012316493,-0.0739533171750748,0.0515157180632388,"lnRAPE","D_MED"
0,"Average",0.0647674908674762,0.0625603076939906,-0.0508393973329307,0.194123576650958,"lnRAPE","D_MED"
1,"Average",0.0585785814986969,0.0761685715605767,-0.0755529743169146,0.220584253266612,"lnRAPE","D_MED"
2,"Average",0.0310345642623965,0.0716444258915379,-0.105955816405957,0.180788877639498,"lnRAPE","D_MED"
3,"Average",0.0331601149023325,0.0749659994108605,-0.11880859159208,0.175022839124879,"lnRAPE","D_MED"
4,"Average",0.0657149483103734,0.0790154934942235,-0.0852721531637318,0.227378038835738,"lnRAPE","D_MED"
5,"Average",0.0731117557372063,0.0930335117486998,-0.117961486157668,0.252146884215086,"lnRAPE","D_MED"
6,"Average",0.0784667664234558,0.0877833495064864,-0.101655673268197,0.252397456518256,"lnRAPE","D_MED"
7,"Average",0.0189865763376114,0.091836331632183,-0.170457939350163,0.195028619334406,"lnRAPE","D_MED"
8,"Average",0.0215122031574911,0.0985018009036027,-0.175940892724811,0.218937934472583,"lnRAPE","D_MED"
9,"Average",-0.0303970915081018,0.116534593012815,-0.25144510796027,0.193360348786878,"lnRAPE","D_MED"
10,"Average",-0.0352376289304002,0.124942225063426,-0.275135909720225,0.204418338914953,"lnRAPE","D_MED"
11,"Average",0.0707484854586387,0.118516650949509,-0.167066854127001,0.316666478354751,"lnRAPE","D_MED"
12,"Average",0.0291827478324929,0.114851642525362,-0.194501187801162,0.260073058469934,"lnRAPE","D_MED"
13,"Average",0.0755371424461521,0.121709067918575,-0.161207373111986,0.325477657472777,"lnRAPE","D_MED"
14,"Average",0.184268664221535,0.150973782192579,-0.0967505583477092,0.516016073684086,"lnRAPE","D_MED"
15,"Average",0.14693260281365,0.138654960046365,-0.105400625364031,0.446581238525593,"lnRAPE","D_MED"
NA,"Average",0.055397995239438,0.088921212727024,-0.124035182810014,0.237492357724818,"lnRAPE","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_MED"
-4,"ALASKA",0.0264004000596065,0.165925995744158,-0.270041509522225,0.294062539473307,"lnRAPE","D_MED"
-3,"ALASKA",-0.0508303137777935,0.0648378239586904,-0.148871125311788,0.0803869684588389,"lnRAPE","D_MED"
