"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.240506486166481,0.33744120531445,-0.713050915019921,0.426979705900077,"lnROBBERY","D_MED"
-8,"Average",0.144045489526214,0.116279759579711,-0.0824166884486083,0.368339536872896,"lnROBBERY","D_MED"
-7,"Average",0.0396530222209051,0.0525639507838976,-0.0530938099253623,0.148712379285034,"lnROBBERY","D_MED"
-6,"Average",-0.068139742874456,0.111274176564357,-0.235258458565329,0.156439670866375,"lnROBBERY","D_MED"
-5,"Average",0.0308308563837383,0.0360054267908161,-0.0363467204499036,0.106879360404805,"lnROBBERY","D_MED"
-4,"Average",0.103714278183781,0.0788491357543603,-0.0544726995231367,0.247491105090799,"lnROBBERY","D_MED"
-3,"Average",0.0194622082992113,0.0497191422075313,-0.0826556827448215,0.0946329614512281,"lnROBBERY","D_MED"
-2,"Average",-0.0252096706600555,0.0207592843484533,-0.0662528026572249,0.0138955567952104,"lnROBBERY","D_MED"
-1,"Average",-0.0767894396689229,0.0419752347856441,-0.169222241135356,-0.00100322929625786,"lnROBBERY","D_MED"
0,"Average",-0.0466895850264233,0.0388552070606042,-0.124732873396453,0.0293600167077189,"lnROBBERY","D_MED"
1,"Average",-0.0853614258763473,0.0544388320085006,-0.193296314124518,0.0165110730371855,"lnROBBERY","D_MED"
2,"Average",-0.0613834338830662,0.0745342981312819,-0.218797560323251,0.0760783874934333,"lnROBBERY","D_MED"
3,"Average",-0.0830530923236955,0.0764854406041548,-0.237469510339077,0.0589328611558555,"lnROBBERY","D_MED"
4,"Average",-0.0520978523398879,0.0770163518496993,-0.202764833380288,0.0977151205045843,"lnROBBERY","D_MED"
5,"Average",0.000390897386576346,0.0908286684040117,-0.183922786737177,0.165843889741813,"lnROBBERY","D_MED"
6,"Average",-0.0387960330295476,0.0877442948118296,-0.214774012733065,0.117620233839963,"lnROBBERY","D_MED"
7,"Average",-0.00869794930246092,0.0907491395435704,-0.190434842383821,0.157115442723556,"lnROBBERY","D_MED"
