"Time","Estimate","lower_bound","upper_bound","p_val","Outcome","Treatment","Cohort"
1995,0.0653479055389781,NA,NA,NA,"lnPROPERTY","D_REC",2017
1996,0.00578850556722799,NA,NA,NA,"lnPROPERTY","D_REC",2017
1997,-0.00384710916783781,NA,NA,NA,"lnPROPERTY","D_REC",2017
1998,-0.0142212477201813,NA,NA,NA,"lnPROPERTY","D_REC",2017
1999,-0.0331333506133316,NA,NA,NA,"lnPROPERTY","D_REC",2017
2000,-0.0413161436612697,NA,NA,NA,"lnPROPERTY","D_REC",2017
2001,-0.0461204529722554,NA,NA,NA,"lnPROPERTY","D_REC",2017
2002,-0.0275119034691862,NA,NA,NA,"lnPROPERTY","D_REC",2017
2003,0.0252467986787259,NA,NA,NA,"lnPROPERTY","D_REC",2017
2004,0.00156412343621781,NA,NA,NA,"lnPROPERTY","D_REC",2017
2005,0.00551671161940881,NA,NA,NA,"lnPROPERTY","D_REC",2017
2006,0.0405551526104695,NA,NA,NA,"lnPROPERTY","D_REC",2017
2007,0.0224058855153322,NA,NA,NA,"lnPROPERTY","D_REC",2017
2008,0.0251899980371721,NA,NA,NA,"lnPROPERTY","D_REC",2017
2009,-0.0195173150823322,NA,NA,NA,"lnPROPERTY","D_REC",2017
2010,-0.0125795856221051,NA,NA,NA,"lnPROPERTY","D_REC",2017
2011,-0.0222243280133894,NA,NA,NA,"lnPROPERTY","D_REC",2017
2012,0.00659043736991016,NA,NA,NA,"lnPROPERTY","D_REC",2017
2013,0.0166952693118576,NA,NA,NA,"lnPROPERTY","D_REC",2017
2014,0.0060219064848539,NA,NA,NA,"lnPROPERTY","D_REC",2017
2015,0.0177482290749422,NA,NA,NA,"lnPROPERTY","D_REC",2017
2016,-0.0235903484688302,NA,NA,NA,"lnPROPERTY","D_REC",2017
2017,-0.00463755062424376,-0.0623578585140565,0.0530827572655689,0.959,"lnPROPERTY","D_REC",2017
2018,-0.0495031139142057,-0.107223421804018,0.008217193975607,0.359,"lnPROPERTY","D_REC",2017
2019,-0.00516336074430512,-0.0628836686341178,0.0525569471455076,0.972,"lnPROPERTY","D_REC",2017
1995,0.0521067232469967,NA,NA,NA,"lnVIOLENT1","D_REC",2017
1996,0.00590719123187888,NA,NA,NA,"lnVIOLENT1","D_REC",2017
1997,0.0338959976386439,NA,NA,NA,"lnVIOLENT1","D_REC",2017
1998,0.00307763030051067,NA,NA,NA,"lnVIOLENT1","D_REC",2017
1999,-0.0338083346643776,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2000,-0.0601794829802937,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2001,-0.0253488896685132,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2002,0.0173909652658271,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2003,0.0024882572964664,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2004,-0.00311777274671066,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2005,0.00391624984557204,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2006,-0.00240286188574412,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2007,-0.0402250029775635,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2008,0.00602644749354386,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2009,0.0211682210440571,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2010,0.0654362501918717,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2011,-0.0402772279725365,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2012,0.0212264426803923,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2013,0.00317689289786305,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2014,0.0074686254688503,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2015,0.020727905644363,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2016,-0.0244391205621346,NA,NA,NA,"lnVIOLENT1","D_REC",2017
2017,-0.0925383677581424,-0.322625287911132,0.109374643804685,0.133,"lnVIOLENT1","D_REC",2017
2018,-0.0950594446318256,-0.231233336150942,0.106853566931002,0.151,"lnVIOLENT1","D_REC",2017
2019,-0.14867866557803,-0.266069951370372,0.0438430431214098,0.045,"lnVIOLENT1","D_REC",2017
1995,0.0776425658789979,NA,NA,NA,"lnBURGLARY","D_REC",2017
1996,0.0221186329652969,NA,NA,NA,"lnBURGLARY","D_REC",2017
1997,0.0117967864786737,NA,NA,NA,"lnBURGLARY","D_REC",2017
1998,-0.0179940082362213,NA,NA,NA,"lnBURGLARY","D_REC",2017
1999,-0.0371905120913274,NA,NA,NA,"lnBURGLARY","D_REC",2017
2000,-0.0554944106491009,NA,NA,NA,"lnBURGLARY","D_REC",2017
2001,-0.0114950447736453,NA,NA,NA,"lnBURGLARY","D_REC",2017
2002,-0.0321367440972002,NA,NA,NA,"lnBURGLARY","D_REC",2017
2003,0.0137201759790377,NA,NA,NA,"lnBURGLARY","D_REC",2017
2004,0.0104747632667772,NA,NA,NA,"lnBURGLARY","D_REC",2017
2005,0.00736352797339457,NA,NA,NA,"lnBURGLARY","D_REC",2017
2006,0.0316475984170799,NA,NA,NA,"lnBURGLARY","D_REC",2017
2007,0.00932808841125077,NA,NA,NA,"lnBURGLARY","D_REC",2017
2008,0.0110935275099546,NA,NA,NA,"lnBURGLARY","D_REC",2017
2009,-0.0304462150016134,NA,NA,NA,"lnBURGLARY","D_REC",2017
2010,0.019081417416162,NA,NA,NA,"lnBURGLARY","D_REC",2017
2011,-0.0440275962909986,NA,NA,NA,"lnBURGLARY","D_REC",2017
2012,0.00575311073915419,NA,NA,NA,"lnBURGLARY","D_REC",2017
2013,0.035353748821775,NA,NA,NA,"lnBURGLARY","D_REC",2017
2014,0.00557553146683354,NA,NA,NA,"lnBURGLARY","D_REC",2017
2015,0.0420969855649602,NA,NA,NA,"lnBURGLARY","D_REC",2017
2016,-0.0502910857093557,NA,NA,NA,"lnBURGLARY","D_REC",2017
2017,-0.0374733071049285,-0.143377266504744,0.0684306522948869,0.482,"lnBURGLARY","D_REC",2017
2018,-0.0381969238732012,-0.144100883273017,0.0677070355266142,0.703,"lnBURGLARY","D_REC",2017
2019,-0.0744881381406657,-0.180392097540481,0.0314158212591497,0.55,"lnBURGLARY","D_REC",2017
1995,0.0570693522399708,NA,NA,NA,"lnLARCENY","D_REC",2017
1996,0.0160675125655141,NA,NA,NA,"lnLARCENY","D_REC",2017
1997,0.00834332599992127,NA,NA,NA,"lnLARCENY","D_REC",2017
1998,-0.0318061842069017,NA,NA,NA,"lnLARCENY","D_REC",2017
1999,-0.0374282242173472,NA,NA,NA,"lnLARCENY","D_REC",2017
2000,-0.0600329830293829,NA,NA,NA,"lnLARCENY","D_REC",2017
2001,-0.0380466131423978,NA,NA,NA,"lnLARCENY","D_REC",2017
2002,-0.00602917900953504,NA,NA,NA,"lnLARCENY","D_REC",2017
