"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",-0.00629030891199989,0.335617484298439,-0.539168594236669,0.653433284835774,"lnASSAULT","D_REC"
-21,"Average",-0.00533426603119791,0.3241150931748,-0.495006763226497,0.650496709592567,"lnASSAULT","D_REC"
-20,"Average",0.0163120801885364,0.252128699342575,-0.371397839052269,0.53890149191282,"lnASSAULT","D_REC"
-19,"Average",-0.00674705658571391,0.246778408635603,-0.416137268291594,0.4828609132259,"lnASSAULT","D_REC"
-18,"Average",-0.012908350358407,0.18371218873456,-0.34039689406239,0.371570664025332,"lnASSAULT","D_REC"
-17,"Average",-0.023836686940449,0.137397890828609,-0.291362370114671,0.249964754849574,"lnASSAULT","D_REC"
-16,"Average",-0.0120917490508774,0.100772355819257,-0.21263519029408,0.192216940594386,"lnASSAULT","D_REC"
-15,"Average",-0.0134290819977112,0.0727007688710625,-0.140142359105788,0.142707419769142,"lnASSAULT","D_REC"
-14,"Average",-0.0075747451067883,0.0594860069386079,-0.131469796311731,0.096406468159659,"lnASSAULT","D_REC"
-13,"Average",0.0144454672449517,0.0817209310043054,-0.149550373021355,0.142641879679735,"lnASSAULT","D_REC"
-12,"Average",-0.0105026528795732,0.0404131298569926,-0.0967658040477214,0.0471559098800345,"lnASSAULT","D_REC"
-11,"Average",-0.0111220014776843,0.0382602691073934,-0.085400656977756,0.0590018378311977,"lnASSAULT","D_REC"
-10,"Average",0.00340347120178855,0.046625136565589,-0.091946570857705,0.0836166936148716,"lnASSAULT","D_REC"
-9,"Average",0.0214120978936924,0.0553115799126674,-0.0926206299510711,0.125059288206743,"lnASSAULT","D_REC"
-8,"Average",0.0313972206716336,0.0745885508104399,-0.1183719079919,0.16933079842268,"lnASSAULT","D_REC"
-7,"Average",0.0357644269700427,0.103081010314064,-0.182107086853949,0.216451762979581,"lnASSAULT","D_REC"
-6,"Average",-0.0134385654329668,0.119702763330107,-0.258767709366443,0.167462475426388,"lnASSAULT","D_REC"
-5,"Average",0.00979042682624939,0.136208675471583,-0.269154788442123,0.224214140793542,"lnASSAULT","D_REC"
-4,"Average",0.00502165170249569,0.167910294819548,-0.336204700340456,0.262773532499719,"lnASSAULT","D_REC"
-3,"Average",-0.0138072789249967,0.163545320164132,-0.339160786489123,0.225012219863504,"lnASSAULT","D_REC"
-2,"Average",0.0196487068608831,0.157790387131889,-0.292215960616964,0.277009265688276,"lnASSAULT","D_REC"
-1,"Average",-0.0232605182241871,0.143115459358693,-0.31163852307683,0.197395420224824,"lnASSAULT","D_REC"
0,"Average",-0.0643456016903294,0.154980207016779,-0.382971111038236,0.188922852610597,"lnASSAULT","D_REC"
1,"Average",-0.0477484067935092,0.153989741464941,-0.372540245109274,0.198394013413053,"lnASSAULT","D_REC"
2,"Average",-0.0701016515975591,0.161282220857136,-0.414729675741995,0.208119119679172,"lnASSAULT","D_REC"
NA,"Average",-0.0607318866937992,0.155867570201207,-0.38686792918463,0.198174444336165,"lnASSAULT","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnASSAULT","D_REC"
