"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0227167246749733,0.189691694609584,-0.360991057924921,0.411976670316822,"lnAUTO","D_REC"
-21,"Average",0.0304544105547386,0.13861252837341,-0.243472409096267,0.30334656227117,"lnAUTO","D_REC"
-20,"Average",0.0272625397549529,0.0904974699515494,-0.148225971339194,0.204091455896195,"lnAUTO","D_REC"
-19,"Average",0.0545775477935699,0.0969750628238176,-0.109097622576176,0.262692569113257,"lnAUTO","D_REC"
-18,"Average",-0.0691939175962471,0.113675762767869,-0.277891152344261,0.14663954874728,"lnAUTO","D_REC"
-17,"Average",-0.0576601301841033,0.0952603699899255,-0.251535164635154,0.120791508718791,"lnAUTO","D_REC"
-16,"Average",-0.031890082499033,0.0693711006516038,-0.173534500033455,0.0944476477374456,"lnAUTO","D_REC"
-15,"Average",-0.0242533375934312,0.0527481679153801,-0.141351351803167,0.0687596307666692,"lnAUTO","D_REC"
-14,"Average",0.00667607543976535,0.0700382730744056,-0.134878381557221,0.135849940812764,"lnAUTO","D_REC"
-13,"Average",0.0213827048535523,0.0835211946508161,-0.151150198894637,0.18579522467562,"lnAUTO","D_REC"
-12,"Average",0.0571156556032883,0.106891056812625,-0.163636146304075,0.266583794591492,"lnAUTO","D_REC"
-11,"Average",0.0701937523795896,0.105389225687781,-0.133749669448868,0.286947908282436,"lnAUTO","D_REC"
-10,"Average",0.0194569001590192,0.0592374023708315,-0.0933438454212307,0.136778166016412,"lnAUTO","D_REC"
-9,"Average",0.00444374087417617,0.0697718101820332,-0.140222719124685,0.139063767579628,"lnAUTO","D_REC"
-8,"Average",0.00598093722933259,0.0903675873333828,-0.1803487480043,0.163165621873456,"lnAUTO","D_REC"
-7,"Average",-0.0483287623705585,0.0918673227677351,-0.227395106015495,0.128536443215976,"lnAUTO","D_REC"
-6,"Average",-0.0498494525605992,0.0779134459139298,-0.197026032329148,0.104722621753949,"lnAUTO","D_REC"
-5,"Average",-0.0394354824181568,0.0720398956566056,-0.18676826821866,0.0981386029674275,"lnAUTO","D_REC"
-4,"Average",-0.0141471167322232,0.0675103787647637,-0.144556006453119,0.117161001897543,"lnAUTO","D_REC"
-3,"Average",-0.00287364408133493,0.0755751779527147,-0.147321980460973,0.146379516337078,"lnAUTO","D_REC"
-2,"Average",0.0362519879957676,0.0955113768223155,-0.137777115367393,0.247647723215773,"lnAUTO","D_REC"
-1,"Average",0.0305347066459862,0.110787131646341,-0.167479217582714,0.261052214809694,"lnAUTO","D_REC"
0,"Average",0.0878340848347906,0.159356532930136,-0.195507890882368,0.408252410627569,"lnAUTO","D_REC"
1,"Average",0.149904685861242,0.218000250882545,-0.24742605020329,0.585063093682342,"lnAUTO","D_REC"
2,"Average",0.180382058207312,0.259702492578644,-0.303986331611313,0.717092966203108,"lnAUTO","D_REC"
NA,"Average",0.139373609634449,0.20846181963949,-0.229042254776818,0.572194165447287,"lnAUTO","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_REC"
-20,"ALASKA",0.237746228977417,0.268039813084899,-0.274406161378632,0.735237126298371,"lnAUTO","D_REC"
-19,"ALASKA",0.215051572035021,0.255467690339666,-0.266882852222742,0.692084572066758,"lnAUTO","D_REC"
-18,"ALASKA",0.0915628437404319,0.108112342847966,-0.113861196080205,0.294681326425078,"lnAUTO","D_REC"
-17,"ALASKA",0.105136125928593,0.118665700011562,-0.126156781784307,0.33834321435635,"lnAUTO","D_REC"
-16,"ALASKA",0.190833875677325,0.207175763697899,-0.226179080992649,0.593242744349698,"lnAUTO","D_REC"
-15,"ALASKA",-0.077187350309182,0.095817509388682,-0.250040792713615,0.118384313512082,"lnAUTO","D_REC"
-14,"ALASKA",-0.0708401231074385,0.10739201383652,-0.286901750675336,0.147986747750478,"lnAUTO","D_REC"
-13,"ALASKA",-0.10923573440947,0.117545786278844,-0.35152920316999,0.108967018809498,"lnAUTO","D_REC"
-12,"ALASKA",-0.138434425810693,0.154134727736337,-0.445500012843787,0.162378346807708,"lnAUTO","D_REC"
-11,"ALASKA",-0.151895326997382,0.164655898601299,-0.488824739354632,0.171200466071495,"lnAUTO","D_REC"
-10,"ALASKA",0.0775498780592407,0.102331512336247,-0.137233448254618,0.267345282696823,"lnAUTO","D_REC"
-9,"ALASKA",0.0435106361925577,0.0789731350453551,-0.112158653891138,0.191517520449709,"lnAUTO","D_REC"
-8,"ALASKA",0.0558323491669519,0.0881159136159399,-0.119402230856165,0.217573743810114,"lnAUTO","D_REC"
-7,"ALASKA",-0.24126633487951,0.301481110686402,-0.776473379735851,0.353392395134502,"lnAUTO","D_REC"
-6,"ALASKA",-0.0362521514493208,0.0398428797385965,-0.115148563596131,0.0454521114269549,"lnAUTO","D_REC"
-5,"ALASKA",0.00272294939172557,0.0115275507313212,-0.0195598348071727,0.0223018623006735,"lnAUTO","D_REC"
-4,"ALASKA",-0.163183415549051,0.237752157421344,-0.577363853176809,0.319900765294109,"lnAUTO","D_REC"
-3,"ALASKA",-0.107903707181674,0.119484248182276,-0.328740156350523,0.124186964469891,"lnAUTO","D_REC"
-2,"ALASKA",0.0156065131738394,0.105834169886318,-0.170285595482662,0.193692525129563,"lnAUTO","D_REC"
-1,"ALASKA",0.0606455973506241,0.138249277590296,-0.220038732310544,0.308820549487916,"lnAUTO","D_REC"
0,"ALASKA",0.185538848789422,0.298838923780811,-0.420295151878131,0.715650460545436,"lnAUTO","D_REC"
1,"ALASKA",0.531679294351842,0.711265289285844,-0.96135094777942,1.83598338826798,"lnAUTO","D_REC"
2,"ALASKA",0.792461243396204,1.09495561644773,-1.47578523890583,2.77939422491257,"lnAUTO","D_REC"
NA,"ALASKA",0.503226462179156,0.699738965859033,-0.966385973419105,1.78025260030891,"lnAUTO","D_REC"
-22,"CALIFORNIA",-0.00154328329889974,0.131093391276912,-0.231675064200231,0.253342208689786,"lnAUTO","D_REC"
-21,"CALIFORNIA",-0.0712509073718515,0.12956772448088,-0.320043769042347,0.199300198935436,"lnAUTO","D_REC"
-20,"CALIFORNIA",-0.118436619380136,0.167269401844781,-0.448590631039993,0.197388191320378,"lnAUTO","D_REC"
-19,"CALIFORNIA",-0.229985500480202,0.273441879126485,-0.750796913431798,0.327668890202916,"lnAUTO","D_REC"
-18,"CALIFORNIA",-0.291381025507246,0.376320654676911,-0.993193539146858,0.486612685801458,"lnAUTO","D_REC"
-17,"CALIFORNIA",-0.21918322991066,0.283137736252524,-0.740037913891541,0.369729924633547,"lnAUTO","D_REC"
-16,"CALIFORNIA",-0.179567242159075,0.21353673899371,-0.582629056753444,0.255942390893707,"lnAUTO","D_REC"
-15,"CALIFORNIA",-0.133818996200445,0.142063826103989,-0.422891743816278,0.139289787940954,"lnAUTO","D_REC"
-14,"CALIFORNIA",-0.0754676709934134,0.0726256776299207,-0.225728608803723,0.0580614734196876,"lnAUTO","D_REC"
-13,"CALIFORNIA",-0.0163485720341257,0.10098552431128,-0.224150882668098,0.12797017299114,"lnAUTO","D_REC"
-12,"CALIFORNIA",0.0203984024883539,0.124487659255444,-0.233710403284281,0.221069175106677,"lnAUTO","D_REC"
-11,"CALIFORNIA",0.0181625649767625,0.0897845410119663,-0.157792470590346,0.17869251062843,"lnAUTO","D_REC"
-10,"CALIFORNIA",-0.000367117972530195,0.0664379905247529,-0.139525052956502,0.124971417376418,"lnAUTO","D_REC"
-9,"CALIFORNIA",0.0154661920596677,0.0717526753306031,-0.120233046935975,0.167031337144164,"lnAUTO","D_REC"
-8,"CALIFORNIA",0.0265746741304262,0.0807415994018803,-0.109587135976337,0.192038931550294,"lnAUTO","D_REC"
-7,"CALIFORNIA",0.0673733296138126,0.0792111746106339,-0.0803326579444587,0.229282568853615,"lnAUTO","D_REC"
-6,"CALIFORNIA",0.0808518453433429,0.081100808640116,-0.0751782785355959,0.238998584842071,"lnAUTO","D_REC"
-5,"CALIFORNIA",0.235759442898648,0.252283909636331,-0.253456188967327,0.739740066583754,"lnAUTO","D_REC"
-4,"CALIFORNIA",0.242674029542665,0.262951181927887,-0.269175558875947,0.769345911546583,"lnAUTO","D_REC"
-3,"CALIFORNIA",0.15860965117106,0.165694621228915,-0.160613613932581,0.50091551676791,"lnAUTO","D_REC"
-2,"CALIFORNIA",0.26649211415485,0.28170180161194,-0.26946981980698,0.842839438668075,"lnAUTO","D_REC"
-1,"CALIFORNIA",0.204987918928994,0.223855205794471,-0.213633179788418,0.660895057785971,"lnAUTO","D_REC"
0,"CALIFORNIA",0.132656581506098,0.164581724079964,-0.191293463774544,0.473895732178138,"lnAUTO","D_REC"
1,"CALIFORNIA",0.0545245114290172,0.140739360396171,-0.228108833656841,0.334253695333429,"lnAUTO","D_REC"
2,"CALIFORNIA",0.0475562751988532,0.165368480872494,-0.251059559141437,0.392445650386278,"lnAUTO","D_REC"
NA,"CALIFORNIA",0.0782457893779895,0.143892392903697,-0.210334184180364,0.363675191284741,"lnAUTO","D_REC"
-22,"COLORADO",NA,NA,NA,NA,"lnAUTO","D_REC"
-21,"COLORADO",NA,NA,NA,NA,"lnAUTO","D_REC"
-20,"COLORADO",NA,NA,NA,NA,"lnAUTO","D_REC"
-19,"COLORADO",NA,NA,NA,NA,"lnAUTO","D_REC"
-18,"COLORADO",-0.298234357301665,0.371520376936067,-0.989807693506676,0.41732897989842,"lnAUTO","D_REC"
-17,"COLORADO",-0.155905646459206,0.253754945242596,-0.602069359627107,0.374436911548259,"lnAUTO","D_REC"
-16,"COLORADO",-0.0940762326962155,0.178847316314284,-0.406505078548463,0.260574653983344,"lnAUTO","D_REC"
