"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0412249492250352,0.13519773337737,-0.206513423682832,0.321580129094694,"lnBURGLARY","D_REC"
-21,"Average",-0.0228245237694689,0.114215769045516,-0.239078328590196,0.209902561807772,"lnBURGLARY","D_REC"
-20,"Average",0.00777839393138038,0.0842992130525726,-0.143209148262737,0.188112850894539,"lnBURGLARY","D_REC"
-19,"Average",0.0071522251909963,0.0858157866159832,-0.155006955331186,0.188535701387921,"lnBURGLARY","D_REC"
-18,"Average",-0.0371618713222471,0.0670758182346964,-0.162236686862736,0.0946809857978599,"lnBURGLARY","D_REC"
-17,"Average",-0.0288975500408525,0.0531426414223371,-0.134871663564444,0.0816999234803996,"lnBURGLARY","D_REC"
-16,"Average",-0.0215290949632097,0.0385895830367942,-0.0997626844211282,0.0490384338045237,"lnBURGLARY","D_REC"
-15,"Average",-0.0025230758765267,0.0378674943336124,-0.0836753621308395,0.0672295320826739,"lnBURGLARY","D_REC"
-14,"Average",0.0160261550495679,0.0303419238620637,-0.0384790489456936,0.0788166708127651,"lnBURGLARY","D_REC"
-13,"Average",0.0205988935615968,0.0471037477080838,-0.0624263888662241,0.123042235949607,"lnBURGLARY","D_REC"
-12,"Average",0.0213259781868615,0.0496981746916126,-0.0746738164694357,0.123697942448626,"lnBURGLARY","D_REC"
-11,"Average",0.0387778899776226,0.0442998074717327,-0.0424846813544915,0.130269119046828,"lnBURGLARY","D_REC"
-10,"Average",0.049171324101209,0.0528109274231107,-0.0523628088044808,0.157816829371919,"lnBURGLARY","D_REC"
-9,"Average",0.0308158268400959,0.0447535938721927,-0.0574409254284181,0.11965306671527,"lnBURGLARY","D_REC"
-8,"Average",-0.00706395966712137,0.0493955598508205,-0.107819904535743,0.0943670054038906,"lnBURGLARY","D_REC"
-7,"Average",-0.0331796451612675,0.0622636609072982,-0.152517941416994,0.0967856451378029,"lnBURGLARY","D_REC"
-6,"Average",-0.050678472662294,0.0764567931489361,-0.210394355549387,0.0911423466360978,"lnBURGLARY","D_REC"
-5,"Average",-0.0253306585548131,0.0693056167341348,-0.163327785896031,0.0990357575868287,"lnBURGLARY","D_REC"
-4,"Average",-0.00742743842834059,0.0820884216535705,-0.172514839280567,0.147406247521741,"lnBURGLARY","D_REC"
-3,"Average",0.0170249932161403,0.0878237765469697,-0.15581249935594,0.172878140290042,"lnBURGLARY","D_REC"
-2,"Average",0.00937808493951195,0.0882674819072208,-0.176635125793897,0.170337336221808,"lnBURGLARY","D_REC"
-1,"Average",-0.00461735751152112,0.0624297238218886,-0.127513865982391,0.122739148548817,"lnBURGLARY","D_REC"
