"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.059672651424246,0.123562650733915,-0.199668013474277,0.271254723265458,"lnLARCENY","D_REC"
-21,"Average",0.000349950280187805,0.0764078314521414,-0.163027715750027,0.136082303787709,"lnLARCENY","D_REC"
-20,"Average",0.0109146031169523,0.0605751297518995,-0.110640829829685,0.127731807934531,"lnLARCENY","D_REC"
-19,"Average",-0.0148861812162322,0.0553161078239581,-0.12071866122482,0.0969027431460987,"lnLARCENY","D_REC"
-18,"Average",0.0078047579657892,0.0525467230379532,-0.0844459443730718,0.122811389320306,"lnLARCENY","D_REC"
-17,"Average",-0.0283484464504008,0.0432116787886473,-0.109002146687981,0.0603056432053998,"lnLARCENY","D_REC"
-16,"Average",-0.0237724799722896,0.0319931835714379,-0.0834446331302767,0.0411038722798858,"lnLARCENY","D_REC"
-15,"Average",-0.000708588333631712,0.0258151226713455,-0.0489468380538916,0.0529694141938693,"lnLARCENY","D_REC"
-14,"Average",0.00332333000771458,0.027129555258362,-0.0521929859583708,0.0542975717698554,"lnLARCENY","D_REC"
-13,"Average",0.0182182484898412,0.0305567871740284,-0.0427821600496903,0.0763080712931964,"lnLARCENY","D_REC"
-12,"Average",0.0135437691455311,0.0244836638197379,-0.0320440982453431,0.0629989981252653,"lnLARCENY","D_REC"
-11,"Average",0.00835464339466479,0.0204889120542337,-0.0311795755052013,0.048324829048784,"lnLARCENY","D_REC"
-10,"Average",-0.000906348246476745,0.0200197437796119,-0.0408403753767943,0.039657594936916,"lnLARCENY","D_REC"
-9,"Average",0.0189755289774918,0.0327413176500847,-0.0424856690611576,0.0834804187985928,"lnLARCENY","D_REC"
-8,"Average",0.0193555769824021,0.0388205062573259,-0.0554843464934085,0.0970805555994892,"lnLARCENY","D_REC"
-7,"Average",-0.0201864555857962,0.0459766340546069,-0.106980213620384,0.0708553895537585,"lnLARCENY","D_REC"
-6,"Average",-0.0438698025367933,0.058857602493582,-0.163632301083471,0.075842370943545,"lnLARCENY","D_REC"
-5,"Average",-0.0261896463034917,0.0432354317843836,-0.112667451271659,0.0580396611803078,"lnLARCENY","D_REC"
-4,"Average",-0.00219865041173785,0.0434003706490678,-0.0922719927091307,0.0771147867063312,"lnLARCENY","D_REC"
-3,"Average",0.00898735124047167,0.0489206412146889,-0.0919246137472643,0.0937588251019796,"lnLARCENY","D_REC"
-2,"Average",0.0135752747643328,0.0634504325695072,-0.116742019338986,0.124633079678934,"lnLARCENY","D_REC"
-1,"Average",0.0111048133156516,0.0496746336603308,-0.0931465452841385,0.093582628223409,"lnLARCENY","D_REC"
0,"Average",0.0298883379465389,0.04970269482734,-0.068788849699702,0.12159426916738,"lnLARCENY","D_REC"
1,"Average",0.0488952546641952,0.0634788664515494,-0.0700606490050152,0.172499548549542,"lnLARCENY","D_REC"
2,"Average",0.0627148161021208,0.0707227735160126,-0.0747349468095629,0.20138098878708,"lnLARCENY","D_REC"
NA,"Average",0.0471661362376183,0.0577076692852794,-0.0640659694276341,0.159258585886902,"lnLARCENY","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_REC"
