"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0311603888204995,0.142468519579141,-0.254442991241238,0.28904337367881,"lnMURDER","D_REC"
-21,"Average",0.032732182699566,0.147569681888522,-0.265382553372768,0.317976783797061,"lnMURDER","D_REC"
-20,"Average",0.0131167092282489,0.131999833846523,-0.232919690113787,0.300639383545807,"lnMURDER","D_REC"
-19,"Average",-0.0710674185944528,0.0959445244593205,-0.25555254289165,0.106449310267699,"lnMURDER","D_REC"
-18,"Average",0.053284258626276,0.106920450992145,-0.13987652890929,0.274531639376436,"lnMURDER","D_REC"
-17,"Average",-0.0703074352017842,0.0890300703193904,-0.2330439385569,0.108539534235593,"lnMURDER","D_REC"
-16,"Average",-0.0130532929870309,0.0922839511892231,-0.184068012831019,0.169470956215474,"lnMURDER","D_REC"
-15,"Average",0.00189409575551066,0.0825773824219304,-0.145240029747242,0.177741400954943,"lnMURDER","D_REC"
-14,"Average",-0.00516597897084692,0.0589958853989346,-0.127079324435482,0.107518176356523,"lnMURDER","D_REC"
-13,"Average",0.0137164136409393,0.0536929306087949,-0.0833927089900444,0.124836103862329,"lnMURDER","D_REC"
-12,"Average",0.0577731059823166,0.0592398427115513,-0.0599651042799864,0.172580722510779,"lnMURDER","D_REC"
-11,"Average",0.0518664864031811,0.065438152150118,-0.0841092039248746,0.177485505435534,"lnMURDER","D_REC"
-10,"Average",0.00110331243188569,0.0602014974469224,-0.13071961072422,0.0998979983438163,"lnMURDER","D_REC"
-9,"Average",0.0154738361763649,0.0647195223510801,-0.109624402233336,0.146377280127209,"lnMURDER","D_REC"
-8,"Average",0.0238346602479737,0.0581279809456041,-0.087116550322534,0.136997046850625,"lnMURDER","D_REC"
-7,"Average",0.0028388903099921,0.0946959708100957,-0.187898209200088,0.172641817044667,"lnMURDER","D_REC"
-6,"Average",-0.0324643267128386,0.110989178615658,-0.24020375976343,0.190442452002075,"lnMURDER","D_REC"
-5,"Average",-0.0473848167501158,0.0880244123029969,-0.219842187442966,0.129815083882915,"lnMURDER","D_REC"
-4,"Average",0.0209956912921392,0.0567048311573068,-0.0835395196730689,0.135226227413164,"lnMURDER","D_REC"
-3,"Average",-0.0464435774257954,0.0928197751646512,-0.237252490128256,0.120734883232771,"lnMURDER","D_REC"
-2,"Average",-0.0286241608420028,0.0822840811022789,-0.201037341955606,0.104822209676617,"lnMURDER","D_REC"
-1,"Average",0.00999764510544286,0.0688846121616366,-0.125067053383897,0.147005001070416,"lnMURDER","D_REC"
0,"Average",0.0831419650306549,0.102269819945192,-0.118264257840878,0.27591643346746,"lnMURDER","D_REC"
1,"Average",-0.0258488941497433,0.0528124764544044,-0.141416171624971,0.0721744536993402,"lnMURDER","D_REC"
2,"Average",-0.0398947619446098,0.098585039144591,-0.24065742618079,0.150017771906063,"lnMURDER","D_REC"
NA,"Average",0.00579943631210059,0.0571899834571619,-0.115343484840211,0.10290079713483,"lnMURDER","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_REC"
-20,"ALASKA",0.195611050055452,0.265186812859146,-0.363136636752367,0.643651801408828,"lnMURDER","D_REC"
-19,"ALASKA",0.0733940914089506,0.109147376388086,-0.129651402411804,0.274576163429389,"lnMURDER","D_REC"
-18,"ALASKA",0.323698720830118,0.406343124525028,-0.545498589245181,1.04383907983876,"lnMURDER","D_REC"
-17,"ALASKA",0.103115422218745,0.127876169281272,-0.140154080508578,0.342814162940849,"lnMURDER","D_REC"
-16,"ALASKA",0.447430839215626,0.528669915475702,-0.684049681983415,1.35916110869369,"lnMURDER","D_REC"
-15,"ALASKA",-0.223849720530826,0.282790747802038,-0.729756631215021,0.363200024655528,"lnMURDER","D_REC"
-14,"ALASKA",0.0877009864953728,0.166052662492136,-0.263848879504973,0.343789502449123,"lnMURDER","D_REC"
-13,"ALASKA",-0.0328316427938817,0.0705893688925259,-0.176874429324353,0.0852356405625711,"lnMURDER","D_REC"
-12,"ALASKA",0.0781053219664567,0.118607140969118,-0.172782787709184,0.283865445723868,"lnMURDER","D_REC"
-11,"ALASKA",0.0311046627145806,0.0767477630630067,-0.132512271094982,0.157598609624091,"lnMURDER","D_REC"
-10,"ALASKA",-0.202912300604857,0.214547578798483,-0.63070511827576,0.222553490746391,"lnMURDER","D_REC"
-9,"ALASKA",0.00084288888884565,0.0675627779401313,-0.134650607350021,0.129469554513533,"lnMURDER","D_REC"
