"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0207399204721939,0.110398409383304,-0.205863020949712,0.204103649438845,"lnRAPE","D_REC"
-21,"Average",0.0381979252832521,0.0630466186517441,-0.0812205778349492,0.155214698043012,"lnRAPE","D_REC"
-20,"Average",0.014400772493185,0.0663948114437129,-0.124129782665884,0.134036392058213,"lnRAPE","D_REC"
-19,"Average",-0.0131902209321997,0.0683175770277908,-0.146075682198393,0.127708284828609,"lnRAPE","D_REC"
-18,"Average",-0.0312077624606988,0.0663027086735721,-0.164204900818733,0.0943624764921269,"lnRAPE","D_REC"
-17,"Average",-0.0121297103791503,0.0464003454903412,-0.105886417871721,0.0734532114945279,"lnRAPE","D_REC"
-16,"Average",0.0144376117906889,0.0483672852490838,-0.0768727486816652,0.109736339508306,"lnRAPE","D_REC"
-15,"Average",0.00174342274895542,0.033079444195491,-0.0639156444911011,0.0656122665830078,"lnRAPE","D_REC"
-14,"Average",-0.00548036247532486,0.0466544230185213,-0.0909721374563103,0.0846763935013266,"lnRAPE","D_REC"
-13,"Average",-0.0122425699408806,0.0339415052935705,-0.0821828264621117,0.0484395547013832,"lnRAPE","D_REC"
-12,"Average",0.00247763433485509,0.0340227607376188,-0.0633205685658787,0.0701219839466464,"lnRAPE","D_REC"
-11,"Average",-0.00192354740572747,0.030492099580133,-0.0550579850722426,0.0616260008632232,"lnRAPE","D_REC"
-10,"Average",-0.011975983105026,0.0387220386698605,-0.0805873602031777,0.0615344561857956,"lnRAPE","D_REC"
-9,"Average",0.0133311782436139,0.0297631757251963,-0.0432957396924578,0.0730588204023645,"lnRAPE","D_REC"
-8,"Average",-0.00206734057480234,0.0306079701506815,-0.0612774671159704,0.0547589128430211,"lnRAPE","D_REC"
-7,"Average",0.00715165617421995,0.0414420304723252,-0.0679366585223154,0.0907594094788686,"lnRAPE","D_REC"
-6,"Average",-0.0100500435157955,0.041268728476143,-0.0850969945655971,0.0730987742390634,"lnRAPE","D_REC"
-5,"Average",0.00992811747228631,0.0461887930017299,-0.0778976315033805,0.100986102098228,"lnRAPE","D_REC"
-4,"Average",-0.0123851582866054,0.0665861471500274,-0.146663390450951,0.111454646833202,"lnRAPE","D_REC"
