"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",-0.0195292329215683,0.19198166245162,-0.330358416426586,0.345692771296585,"lnROBBERY","D_REC"
-21,"Average",0.0314399027748991,0.156583701416037,-0.227566785742947,0.348427031542085,"lnROBBERY","D_REC"
-20,"Average",0.0404026242742727,0.140124457277571,-0.198058408460669,0.335168414451232,"lnROBBERY","D_REC"
-19,"Average",-0.0234619779163225,0.126201873499049,-0.250468912212539,0.227968522434529,"lnROBBERY","D_REC"
-18,"Average",-0.022986780199856,0.108021905682963,-0.235999459071458,0.195119537896164,"lnROBBERY","D_REC"
-17,"Average",-0.0318938775839809,0.0905546011716844,-0.220428135361951,0.142037229014684,"lnROBBERY","D_REC"
-16,"Average",0.0139991378416757,0.0638880609324624,-0.116895226511105,0.127033965000793,"lnROBBERY","D_REC"
-15,"Average",-0.00598061935049797,0.0408968854166588,-0.0839582470178279,0.080613790972852,"lnROBBERY","D_REC"
-14,"Average",0.0274987574433969,0.0453086173297576,-0.05674853719839,0.118814404999319,"lnROBBERY","D_REC"
-13,"Average",-0.00836185740663988,0.0403358537148266,-0.0926845500113245,0.071942977599308,"lnROBBERY","D_REC"
-12,"Average",-0.0314499415755056,0.0565142157284713,-0.138012537642421,0.0838281219564455,"lnROBBERY","D_REC"
-11,"Average",-6.15456389971212e-05,0.0473901782866821,-0.0895392774639118,0.0966967474236971,"lnROBBERY","D_REC"
-10,"Average",0.0139754907258476,0.0445385915200749,-0.0767316230679762,0.0974791069500079,"lnROBBERY","D_REC"
-9,"Average",0.018240089899135,0.0403115669093843,-0.0612037195606718,0.0967516923545735,"lnROBBERY","D_REC"
-8,"Average",0.0169538687049283,0.0398165880921337,-0.0577042199643475,0.0968011002079168,"lnROBBERY","D_REC"
-7,"Average",0.0118429225207402,0.038281136029836,-0.0640203948916407,0.0843705644685665,"lnROBBERY","D_REC"
-6,"Average",-0.0342199739738057,0.056145455082329,-0.14344460270418,0.0753894772197048,"lnROBBERY","D_REC"
-5,"Average",-0.0433247157697493,0.0573207537400894,-0.159879559924662,0.0598413186087757,"lnROBBERY","D_REC"
