"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",-0.00155904008097559,0.269940482702506,-0.43538765514427,0.520381501960495,"lnVIOLENT1","D_REC"
-21,"Average",0.00846572153725522,0.259516325919399,-0.39418512191025,0.517385319447615,"lnVIOLENT1","D_REC"
-20,"Average",0.016227418832306,0.188972778290145,-0.263300863642995,0.396433116728093,"lnVIOLENT1","D_REC"
-19,"Average",-0.0209559882169392,0.179921639007827,-0.296645284274025,0.355880291536481,"lnVIOLENT1","D_REC"
-18,"Average",-0.0124600907970828,0.126917899955301,-0.227431909985961,0.270945620803807,"lnVIOLENT1","D_REC"
-17,"Average",-0.0201069979100329,0.0979192742759338,-0.196112737177812,0.20180225988804,"lnVIOLENT1","D_REC"
-16,"Average",-0.00150799396575823,0.0725040956700615,-0.131155729111501,0.151427911018417,"lnVIOLENT1","D_REC"
-15,"Average",-0.00429596263065272,0.0505352496010917,-0.0957777594369255,0.106864871329367,"lnVIOLENT1","D_REC"
-14,"Average",-0.0121940684797431,0.041680858911668,-0.0923237891624728,0.0656482417683922,"lnVIOLENT1","D_REC"
-13,"Average",-0.000948489801755389,0.0453254651869263,-0.0997370895129263,0.0806333941775955,"lnVIOLENT1","D_REC"
-12,"Average",-0.0159065669637577,0.0236454117781295,-0.0655523627649078,0.026460975072513,"lnVIOLENT1","D_REC"
-11,"Average",0.00401315072786293,0.0302295886415251,-0.0559635708959029,0.0573774263483206,"lnVIOLENT1","D_REC"
-10,"Average",0.000932570439492686,0.0385746146223586,-0.0866467037297682,0.0720046711307619,"lnVIOLENT1","D_REC"
-9,"Average",0.0166044716365922,0.0427152707254786,-0.0717641453958652,0.100994273893948,"lnVIOLENT1","D_REC"
-8,"Average",0.0289211386822732,0.0569980359678605,-0.0772360264414376,0.144226010028756,"lnVIOLENT1","D_REC"
-7,"Average",0.0243145826457357,0.0700036302444278,-0.115908719091955,0.144104272276428,"lnVIOLENT1","D_REC"
-6,"Average",-0.0136209201789557,0.077877461511311,-0.171006516024989,0.106302675590718,"lnVIOLENT1","D_REC"
-5,"Average",-0.00987016212760431,0.0871208419471416,-0.188850692205059,0.11246909376632,"lnVIOLENT1","D_REC"
-4,"Average",0.00469851218739681,0.112004586100521,-0.222725722972374,0.156936923779302,"lnVIOLENT1","D_REC"
-3,"Average",0.00517200863975744,0.128951554545977,-0.258499612976551,0.188700162030987,"lnVIOLENT1","D_REC"
-2,"Average",0.0218710961935037,0.140944225892537,-0.277517912139915,0.237936570770693,"lnVIOLENT1","D_REC"
-1,"Average",-0.0164081238662635,0.116858644872951,-0.260464277597942,0.16864357658508,"lnVIOLENT1","D_REC"
0,"Average",-0.0557393965435179,0.125889351994753,-0.329375055531081,0.160598302500388,"lnVIOLENT1","D_REC"
1,"Average",-0.0178689715975048,0.120642609246681,-0.271262380216512,0.178302631090417,"lnVIOLENT1","D_REC"
2,"Average",-0.0383440559277822,0.136329526962943,-0.343846069412503,0.190843936432784,"lnVIOLENT1","D_REC"
