"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.049805822071155,0.251772225081544,-0.360447125182661,0.567619517266192,"lnASSAULT","D_REC"
-21,"Average",0.0280999322638162,0.214871318714295,-0.342009783453875,0.498347359921791,"lnASSAULT","D_REC"
-20,"Average",0.0105603476277194,0.169736592138679,-0.274180697574119,0.380174899122965,"lnASSAULT","D_REC"
-19,"Average",-0.0110902975009997,0.169880414309463,-0.310448933907308,0.337742092232228,"lnASSAULT","D_REC"
-18,"Average",-0.0141612990126047,0.130278189019326,-0.248746981311974,0.249424529195354,"lnASSAULT","D_REC"
-17,"Average",-0.0421679029094254,0.112840355100056,-0.257246970272587,0.178113256336835,"lnASSAULT","D_REC"
-16,"Average",-0.0244655934729607,0.086392698774936,-0.189830546091931,0.143543836356561,"lnASSAULT","D_REC"
-15,"Average",-0.00828633707626355,0.060345778796843,-0.121277864826032,0.111384208861723,"lnASSAULT","D_REC"
-14,"Average",0.0013968182841344,0.046761617834263,-0.0936372901707611,0.0861834666588495,"lnASSAULT","D_REC"
-13,"Average",0.00275543654807705,0.0465213672233328,-0.0900883241152774,0.0905963176275505,"lnASSAULT","D_REC"
-12,"Average",-0.0101087165873617,0.0308809530070357,-0.0735212589606367,0.049963160632345,"lnASSAULT","D_REC"
-11,"Average",-0.00450846618586834,0.0375146081279863,-0.077991993720209,0.0630182876311721,"lnASSAULT","D_REC"
-10,"Average",0.00488338764822682,0.0422706222701003,-0.079087913100931,0.0832422538447713,"lnASSAULT","D_REC"
-9,"Average",0.0120025948671388,0.048897152153128,-0.0830299137227361,0.10576386246249,"lnASSAULT","D_REC"
-8,"Average",0.00986806753191262,0.0611229712032888,-0.111052428784594,0.128455152871512,"lnASSAULT","D_REC"
-7,"Average",0.0305036825939948,0.0787268608989629,-0.12703207323561,0.181860084194832,"lnASSAULT","D_REC"
-6,"Average",-0.0146520408216979,0.080332869514171,-0.17935595788426,0.113720829004284,"lnASSAULT","D_REC"
-5,"Average",0.00282406214708608,0.0916532735139998,-0.180878873254444,0.145223531368424,"lnASSAULT","D_REC"
-4,"Average",0.011599513146821,0.110514008083173,-0.211218204366363,0.187088221093319,"lnASSAULT","D_REC"
-3,"Average",-0.00859296182520529,0.110529319175886,-0.233837439851952,0.162487058603507,"lnASSAULT","D_REC"
-2,"Average",0.0256985149886502,0.115979058274902,-0.209636421046473,0.230326317686467,"lnASSAULT","D_REC"
