"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.00638280522673333,0.191272333893868,-0.394404500964031,0.318937148077318,"lnAUTO","D_REC"
-21,"Average",0.0287241176871529,0.145602668019398,-0.262533971651233,0.317707236070372,"lnAUTO","D_REC"
-20,"Average",0.0174660620428039,0.0961602958779841,-0.171860524579481,0.198877029573944,"lnAUTO","D_REC"
-19,"Average",0.0296451848609442,0.0882366282738605,-0.134546348292904,0.213662582735591,"lnAUTO","D_REC"
-18,"Average",-0.0437498393075531,0.101541736190552,-0.247387009640331,0.163577287242425,"lnAUTO","D_REC"
-17,"Average",-0.0812414303173105,0.108222920676314,-0.297476020812619,0.131537320231191,"lnAUTO","D_REC"
-16,"Average",-0.0370917109477358,0.0744026592242804,-0.195834641264328,0.0996781966697579,"lnAUTO","D_REC"
-15,"Average",-0.0381679052674807,0.0578620401874001,-0.163824356159805,0.061544756969107,"lnAUTO","D_REC"
-14,"Average",0.0266833286990022,0.0652365217637044,-0.108014094503759,0.151599495728464,"lnAUTO","D_REC"
-13,"Average",0.0274853713547945,0.0757751568453114,-0.133529695298455,0.159668953008862,"lnAUTO","D_REC"
-12,"Average",0.0722023585451095,0.107877130205052,-0.140657697330461,0.270922716535604,"lnAUTO","D_REC"
-11,"Average",0.0817577156949716,0.10567963596528,-0.122148633300837,0.282256624911769,"lnAUTO","D_REC"
-10,"Average",0.0106228615867119,0.0538239420821017,-0.0979739777658368,0.11221343608854,"lnAUTO","D_REC"
-9,"Average",-0.00292399365370599,0.0666820777293036,-0.132541442488316,0.127300810482872,"lnAUTO","D_REC"
-8,"Average",0.0307030473924277,0.0915009319691642,-0.134923152067811,0.216813669273745,"lnAUTO","D_REC"
-7,"Average",-0.0481364300134067,0.093136480459008,-0.226939798304748,0.13748763391575,"lnAUTO","D_REC"
-6,"Average",-0.0518444928617114,0.0810228934265191,-0.199289422219867,0.116489155664067,"lnAUTO","D_REC"
-5,"Average",-0.050676246472991,0.0773394634596126,-0.208742232819977,0.0935848280370478,"lnAUTO","D_REC"
-4,"Average",-0.0233924726405773,0.0660744367305832,-0.152525408216097,0.0970140814741229,"lnAUTO","D_REC"
