"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0704266971600254,0.126371860907641,-0.178189699588265,0.311376483276827,"lnBURGLARY","D_REC"
-21,"Average",0.00664618080428592,0.085642230521922,-0.163459403568427,0.16483359084879,"lnBURGLARY","D_REC"
-20,"Average",0.0158370677699715,0.0674775468097621,-0.113368223616064,0.148569412133529,"lnBURGLARY","D_REC"
-19,"Average",0.00222202995795442,0.0726888459505375,-0.140330373874032,0.142918376877196,"lnBURGLARY","D_REC"
-18,"Average",-0.0401003754454066,0.0537910912977885,-0.143344215394674,0.0662211331465635,"lnBURGLARY","D_REC"
-17,"Average",-0.0409547572713735,0.0522722474892177,-0.141937537600012,0.0659190652993487,"lnBURGLARY","D_REC"
-16,"Average",-0.0252510123840839,0.0381366268752022,-0.101714403954812,0.0447257052270294,"lnBURGLARY","D_REC"
-15,"Average",0.00390008951180576,0.0330772121980321,-0.0587383875763851,0.0661284091615376,"lnBURGLARY","D_REC"
-14,"Average",0.0152084728456233,0.0253964834328631,-0.0308623019806868,0.0689193285179981,"lnBURGLARY","D_REC"
-13,"Average",0.0232146892453134,0.0374066744197511,-0.0506171234284492,0.0995212605162825,"lnBURGLARY","D_REC"
-12,"Average",0.0265117982888403,0.0495388934060509,-0.0750578065439874,0.124529378639031,"lnBURGLARY","D_REC"
-11,"Average",0.0359408071081396,0.0461909213546562,-0.0479549625070276,0.130678547885867,"lnBURGLARY","D_REC"
-10,"Average",0.0358139042837625,0.0458378524268103,-0.0473442447541,0.12085268053122,"lnBURGLARY","D_REC"
-9,"Average",0.0280378831959725,0.042911049881663,-0.0551300670193172,0.111361578974466,"lnBURGLARY","D_REC"
-8,"Average",-0.00562536292272104,0.0468249832228622,-0.0927640899442766,0.0844609794752557,"lnBURGLARY","D_REC"
-7,"Average",-0.0229851964522635,0.0567499602288983,-0.129955853434017,0.0931150728492037,"lnBURGLARY","D_REC"
-6,"Average",-0.0641878454436477,0.0769842859455195,-0.21161049804887,0.088893646158888,"lnBURGLARY","D_REC"
-5,"Average",-0.0433020304916096,0.0668032049050199,-0.178002337255859,0.0815515919823489,"lnBURGLARY","D_REC"
-4,"Average",-0.0157688927877634,0.067860268433197,-0.143927614397916,0.121443070461844,"lnBURGLARY","D_REC"
-3,"Average",0.000773074368826851,0.0625240242906386,-0.122789352981386,0.115537806081848,"lnBURGLARY","D_REC"
