"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0695903501873796,0.129358068863953,-0.198983370682249,0.304765718384321,"lnLARCENY","D_REC"
-21,"Average",0.0107379794340738,0.0729536684840764,-0.141683453565468,0.139968901590783,"lnLARCENY","D_REC"
-20,"Average",0.0217229933025296,0.0569220610541906,-0.0939269454607727,0.130495663214194,"lnLARCENY","D_REC"
-19,"Average",-0.00441635143474883,0.0456262699324649,-0.0938659466343793,0.0839540338910416,"lnLARCENY","D_REC"
-18,"Average",0.00613236944567433,0.0367411908546549,-0.066915399379002,0.0761974423895881,"lnLARCENY","D_REC"
-17,"Average",-0.0277256203763121,0.0396166325032252,-0.104396744862413,0.0469541601530853,"lnLARCENY","D_REC"
-16,"Average",-0.0275406488135733,0.036700098627752,-0.1034673172071,0.0392045742151681,"lnLARCENY","D_REC"
-15,"Average",-0.00268677901867154,0.0273505626903399,-0.055972387748534,0.0478535685888286,"lnLARCENY","D_REC"
-14,"Average",9.29220961054205e-05,0.0262687527470644,-0.0543882899589045,0.0507746092917591,"lnLARCENY","D_REC"
-13,"Average",0.00969264699944183,0.0253444718285053,-0.0405617853324744,0.0566980394089672,"lnLARCENY","D_REC"
-12,"Average",0.0123468079018187,0.0234807486519436,-0.0348228072864152,0.0563958847642654,"lnLARCENY","D_REC"
-11,"Average",0.00709989803717408,0.0189420530162586,-0.0293808294100902,0.0424136024012052,"lnLARCENY","D_REC"
-10,"Average",0.00212437504340812,0.0195145508496729,-0.0369647265914063,0.0385009695311533,"lnLARCENY","D_REC"
-9,"Average",0.0150924417964286,0.0309322357356247,-0.0416913311328562,0.077704711891159,"lnLARCENY","D_REC"
-8,"Average",0.013689051979543,0.0384526007444996,-0.0616353074516053,0.0878315109893316,"lnLARCENY","D_REC"
-7,"Average",-0.0274423452777075,0.0484129555245293,-0.123243277108917,0.0706607399165399,"lnLARCENY","D_REC"
-6,"Average",-0.0454560742463228,0.0577443515740476,-0.153309767075935,0.0646335093079682,"lnLARCENY","D_REC"
-5,"Average",-0.0247317734248227,0.0409226869349799,-0.104861649412294,0.049853927058793,"lnLARCENY","D_REC"
-4,"Average",-0.0031171897392139,0.0369921068346386,-0.0740312653872954,0.0687128040734609,"lnLARCENY","D_REC"
-3,"Average",0.0086469487167823,0.0342932101616457,-0.0654946256392004,0.0694949807434466,"lnLARCENY","D_REC"
-2,"Average",0.0156834197389584,0.0434498016938502,-0.0710220052906212,0.0996305819076438,"lnLARCENY","D_REC"
-1,"Average",0.0197772380502401,0.0419711799405926,-0.0648784165116834,0.0965368473163909,"lnLARCENY","D_REC"
0,"Average",0.0519093506887571,0.0610720537762812,-0.0695884660284574,0.174439873412807,"lnLARCENY","D_REC"
1,"Average",0.0859172791031332,0.0883581848593944,-0.0761081313071564,0.261605428520372,"lnLARCENY","D_REC"
2,"Average",0.107084901358591,0.103880391261379,-0.0837733813644354,0.308702647679267,"lnLARCENY","D_REC"
NA,"Average",0.0816371770501605,0.0826651964993108,-0.0708921397163968,0.248050912896768,"lnLARCENY","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_REC"
-20,"ALASKA",0.0700548724697327,0.103518462157482,-0.143347621125887,0.252510783681208,"lnLARCENY","D_REC"
-19,"ALASKA",0.0117647518165125,0.0519427800107112,-0.0877721417808001,0.110967160268792,"lnLARCENY","D_REC"
-18,"ALASKA",0.0451319702451176,0.0789502640656094,-0.112067250997345,0.189561700430872,"lnLARCENY","D_REC"
-17,"ALASKA",-0.0203830424259781,0.0381292123317835,-0.0857888993332045,0.0614851338263681,"lnLARCENY","D_REC"
-16,"ALASKA",-0.0678603080135316,0.0894935581425743,-0.234807745236662,0.100527229717615,"lnLARCENY","D_REC"
-15,"ALASKA",-0.0462613999609784,0.0558880069687281,-0.154960351583527,0.0589978053066674,"lnLARCENY","D_REC"
-14,"ALASKA",-0.0361209298121938,0.0615181499817301,-0.145748257677578,0.091776809902822,"lnLARCENY","D_REC"
-13,"ALASKA",0.0141398400053969,0.0205617822421364,-0.0268872232560495,0.0546637411566648,"lnLARCENY","D_REC"
-12,"ALASKA",0.0391824460339132,0.0500317364737243,-0.0614991769795825,0.129321297509896,"lnLARCENY","D_REC"
-11,"ALASKA",-0.0637886028030632,0.0756855532079078,-0.196972499540165,0.0855514804708712,"lnLARCENY","D_REC"
-10,"ALASKA",0.0216916265665841,0.0359145140276122,-0.0516488129093325,0.0849913552807439,"lnLARCENY","D_REC"
-9,"ALASKA",0.0449482579772562,0.0788237469831728,-0.116682875693887,0.178460536420739,"lnLARCENY","D_REC"
-8,"ALASKA",0.0153585909752447,0.0370982487977433,-0.0601378976297608,0.0787490752929464,"lnLARCENY","D_REC"
-7,"ALASKA",-0.0821229048734526,0.096905874040077,-0.254886231478395,0.109228462566547,"lnLARCENY","D_REC"
-6,"ALASKA",-0.0334712153559655,0.0511004516356203,-0.124536150848196,0.0719512030849716,"lnLARCENY","D_REC"
-5,"ALASKA",-0.0119973469876653,0.0255546817705646,-0.0624086074781248,0.0378085954047466,"lnLARCENY","D_REC"
-4,"ALASKA",-0.0740098225997805,0.0955854243187835,-0.245004749984374,0.117588580963936,"lnLARCENY","D_REC"
-3,"ALASKA",-0.0227718518839408,0.0466177169341413,-0.109978590249058,0.068817350798268,"lnLARCENY","D_REC"
-2,"ALASKA",0.107027675706845,0.11868481071468,-0.124969876771128,0.342873551109449,"lnLARCENY","D_REC"
-1,"ALASKA",0.0894873929199465,0.104620717392804,-0.122326016961316,0.287993807850184,"lnLARCENY","D_REC"
0,"ALASKA",0.10019715829625,0.117244556492448,-0.137442105544419,0.322460511374982,"lnLARCENY","D_REC"
1,"ALASKA",0.252845253800344,0.289723659991972,-0.299439556568471,0.77842091855215,"lnLARCENY","D_REC"
2,"ALASKA",0.274910570047378,0.322976862424116,-0.362222873880952,0.884734939546989,"lnLARCENY","D_REC"
NA,"ALASKA",0.209317660714657,0.2365756186638,-0.227860581203602,0.635696995371061,"lnLARCENY","D_REC"
-22,"CALIFORNIA",0.0609957004878279,0.153871532877961,-0.260499122830703,0.312305656442078,"lnLARCENY","D_REC"
-21,"CALIFORNIA",0.00910891674509173,0.0739070123528046,-0.139707935218488,0.14889913375486,"lnLARCENY","D_REC"
-20,"CALIFORNIA",-0.0088072445742915,0.0346951363781354,-0.0781746390483829,0.0563512635700733,"lnLARCENY","D_REC"
-19,"CALIFORNIA",-0.0327005881788809,0.052069579424394,-0.129897079227429,0.0796756942659825,"lnLARCENY","D_REC"
-18,"CALIFORNIA",-0.0789028326879349,0.105454712431794,-0.255651641718531,0.147815517656044,"lnLARCENY","D_REC"
-17,"CALIFORNIA",-0.103314705357825,0.121237016079055,-0.323137521094456,0.158941155461274,"lnLARCENY","D_REC"
-16,"CALIFORNIA",-0.0333242527176019,0.0528084278355356,-0.130463759162133,0.0755030414819498,"lnLARCENY","D_REC"
-15,"CALIFORNIA",-0.0350475104375318,0.06177946589209,-0.141523233102546,0.0922452530201388,"lnLARCENY","D_REC"
-14,"CALIFORNIA",0.0146509467031555,0.0429210623263892,-0.0713146169004075,0.098205977986457,"lnLARCENY","D_REC"
-13,"CALIFORNIA",0.0257468043578593,0.0384926009069252,-0.0531509699675338,0.0923565200680718,"lnLARCENY","D_REC"
-12,"CALIFORNIA",-0.0153418708082231,0.0299347872877085,-0.07001794528457,0.0445905800250544,"lnLARCENY","D_REC"
-11,"CALIFORNIA",-0.0143232457949187,0.0217146346378921,-0.0557559562810054,0.0256738765263074,"lnLARCENY","D_REC"
-10,"CALIFORNIA",-0.0296824015964212,0.0370789629826571,-0.0996383375993689,0.0440266573096188,"lnLARCENY","D_REC"
-9,"CALIFORNIA",0.0133464800076979,0.0560405130064514,-0.0994044884651753,0.108259975920112,"lnLARCENY","D_REC"
-8,"CALIFORNIA",-0.0298011575119519,0.0507807795639914,-0.122872226848784,0.073873621923849,"lnLARCENY","D_REC"
-7,"CALIFORNIA",-0.0141939415798324,0.0636583691005807,-0.136427349913368,0.100806050208403,"lnLARCENY","D_REC"
-6,"CALIFORNIA",-0.0270783131314083,0.076472025795373,-0.16819898862115,0.118017872024886,"lnLARCENY","D_REC"
-5,"CALIFORNIA",0.0288581001794999,0.0590272895689701,-0.0927412983394226,0.129354418692755,"lnLARCENY","D_REC"
-4,"CALIFORNIA",0.0422711322913356,0.0599743839226597,-0.0793233132077575,0.155242286690721,"lnLARCENY","D_REC"
-3,"CALIFORNIA",0.0232315398035503,0.0540267265017626,-0.0894187804166805,0.120214257833019,"lnLARCENY","D_REC"
-2,"CALIFORNIA",0.0752041948980997,0.14088309593085,-0.221884736496168,0.319926115071266,"lnLARCENY","D_REC"
-1,"CALIFORNIA",0.129104248902713,0.143784376287855,-0.17097826433401,0.400025496202248,"lnLARCENY","D_REC"
0,"CALIFORNIA",0.153363211540736,0.178571463504446,-0.232561517100436,0.469678578851602,"lnLARCENY","D_REC"
1,"CALIFORNIA",0.16022505441396,0.210438887877994,-0.296871706855181,0.513128681531207,"lnLARCENY","D_REC"
2,"CALIFORNIA",0.183946870108776,0.261306396529731,-0.371532558229603,0.604429117891469,"lnLARCENY","D_REC"
NA,"CALIFORNIA",0.165845045354491,0.215448275760282,-0.296851281250651,0.533801918461444,"lnLARCENY","D_REC"
-22,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_REC"
-21,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_REC"
-20,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_REC"
-19,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_REC"
-18,"COLORADO",0.0511625983449431,0.16565821357725,-0.283200572025374,0.303238341335132,"lnLARCENY","D_REC"
-17,"COLORADO",0.0269087895752094,0.11312343376878,-0.201022592948433,0.198456326539535,"lnLARCENY","D_REC"
-16,"COLORADO",-0.0250089456772162,0.0603507332981016,-0.137611702796676,0.0958777955155984,"lnLARCENY","D_REC"
-15,"COLORADO",-0.00199160427003875,0.0263665464640983,-0.0537493292896459,0.0564021134185543,"lnLARCENY","D_REC"
-14,"COLORADO",-0.00763304186056679,0.0176435656054861,-0.0388844059788727,0.0282265604061136,"lnLARCENY","D_REC"
-13,"COLORADO",-0.00583619143487102,0.0173920904497677,-0.0412289352940597,0.0256923848455185,"lnLARCENY","D_REC"
-12,"COLORADO",0.0389806565225692,0.0579102195428923,-0.0739055991563478,0.142619734713816,"lnLARCENY","D_REC"
-11,"COLORADO",0.0474430154569099,0.0832791970423221,-0.121036190885997,0.187718360270684,"lnLARCENY","D_REC"
-10,"COLORADO",0.0356693240470118,0.0845271044631771,-0.139361880139349,0.160171797972291,"lnLARCENY","D_REC"
-9,"COLORADO",0.056763619262143,0.0901736679206407,-0.132969538466742,0.204822915603839,"lnLARCENY","D_REC"
-8,"COLORADO",0.104705101763776,0.157465448112207,-0.223408090766438,0.370837709631132,"lnLARCENY","D_REC"
-7,"COLORADO",-0.00487608950237295,0.0149968249297279,-0.0318382807321941,0.0269619523718575,"lnLARCENY","D_REC"
-6,"COLORADO",-0.100411824528854,0.130375206360142,-0.328861773847388,0.161713986320926,"lnLARCENY","D_REC"
-5,"COLORADO",-0.0885656666270309,0.148401141667938,-0.323332018164119,0.223565681806847,"lnLARCENY","D_REC"
-4,"COLORADO",-0.0949589041752867,0.162311996795344,-0.342783128547773,0.249707924109645,"lnLARCENY","D_REC"
-3,"COLORADO",-0.00886825464558605,0.0993211981613845,-0.157835440110515,0.184039685005031,"lnLARCENY","D_REC"
-2,"COLORADO",-0.0160656272133775,0.131298662299346,-0.210790945285311,0.235338515876455,"lnLARCENY","D_REC"
-1,"COLORADO",-0.00741695503736128,0.0863520674235452,-0.132952845500479,0.163741752923922,"lnLARCENY","D_REC"
0,"COLORADO",0.0267142222193595,0.0581122829755351,-0.0714460294057981,0.144513174639832,"lnLARCENY","D_REC"
1,"COLORADO",0.0508211510343681,0.0858925733554001,-0.103836621188546,0.225888859220633,"lnLARCENY","D_REC"
2,"COLORADO",0.0633282460322766,0.0732447019968197,-0.0731404885112996,0.214943215080775,"lnLARCENY","D_REC"
NA,"COLORADO",0.0469545397620014,0.062164896069463,-0.0730099905120118,0.169963970450368,"lnLARCENY","D_REC"
-22,"MASSACHUSETTS",0.0196133801322764,0.105252189365891,-0.203374692191131,0.226189857993392,"lnLARCENY","D_REC"
-21,"MASSACHUSETTS",-0.0644544025846674,0.0970929575879038,-0.254338517126605,0.127024182320982,"lnLARCENY","D_REC"
-20,"MASSACHUSETTS",-0.0649633457144629,0.108601376995416,-0.271952306807412,0.154288108674903,"lnLARCENY","D_REC"
-19,"MASSACHUSETTS",-0.0977998400699311,0.129024224519861,-0.336117809705558,0.164443283276132,"lnLARCENY","D_REC"
-18,"MASSACHUSETTS",-0.0342028935213126,0.050959502996548,-0.133979673813969,0.0698064284961832,"lnLARCENY","D_REC"
-17,"MASSACHUSETTS",-0.0470455108034047,0.0760807940032741,-0.172312345468299,0.113995796426563,"lnLARCENY","D_REC"
-16,"MASSACHUSETTS",-0.00723734891098804,0.0607892680520492,-0.108536721268903,0.115005654696249,"lnLARCENY","D_REC"
-15,"MASSACHUSETTS",0.0328028242973062,0.058112009859428,-0.0788521376172267,0.152539813429804,"lnLARCENY","D_REC"
-14,"MASSACHUSETTS",-0.00419647470043394,0.0585846603985758,-0.096839973819744,0.112669020811765,"lnLARCENY","D_REC"
-13,"MASSACHUSETTS",-0.0393383479762077,0.0629898533372996,-0.145469684344131,0.0932682916268458,"lnLARCENY","D_REC"
-12,"MASSACHUSETTS",-0.0570300172389437,0.0739287988297757,-0.187375778447537,0.0942961118896883,"lnLARCENY","D_REC"
-11,"MASSACHUSETTS",-0.020178123844369,0.0339738259104568,-0.0826868044291028,0.0555927616386131,"lnLARCENY","D_REC"
-10,"MASSACHUSETTS",0.0416003432805594,0.0597921057722502,-0.0829718324335179,0.152808989444817,"lnLARCENY","D_REC"
-9,"MASSACHUSETTS",0.0210700046608627,0.0861252582606319,-0.153862821684753,0.163974410630589,"lnLARCENY","D_REC"
-8,"MASSACHUSETTS",0.035046589425777,0.103485538752115,-0.179514327490122,0.200521542146396,"lnLARCENY","D_REC"
-7,"MASSACHUSETTS",0.0973843653676054,0.143627807841511,-0.208518340369773,0.339501614567609,"lnLARCENY","D_REC"
-6,"MASSACHUSETTS",0.0702616935807665,0.104632748544291,-0.146215708158849,0.256313829266553,"lnLARCENY","D_REC"
-5,"MASSACHUSETTS",0.0328961668234333,0.0737439467173042,-0.122873517866715,0.166531740785506,"lnLARCENY","D_REC"
-4,"MASSACHUSETTS",0.0778823085455782,0.101449085441712,-0.126900872026209,0.265292440635837,"lnLARCENY","D_REC"
-3,"MASSACHUSETTS",0.0434524958423781,0.0615810688365162,-0.0852504385941665,0.156734855587498,"lnLARCENY","D_REC"
-2,"MASSACHUSETTS",0.00458838264060457,0.0419573762486605,-0.0759932836919664,0.0834310640787012,"lnLARCENY","D_REC"
-1,"MASSACHUSETTS",-0.0401522492324311,0.0876842438206574,-0.200231289109389,0.140313794901175,"lnLARCENY","D_REC"
0,"MASSACHUSETTS",-0.0883935637031517,0.133979846154316,-0.321655502194809,0.19145010902292,"lnLARCENY","D_REC"
1,"MASSACHUSETTS",-0.11632842123018,0.173438639773008,-0.408139769489855,0.253866430356956,"lnLARCENY","D_REC"
2,"MASSACHUSETTS",-0.0894177745662388,0.195566671204,-0.424335405012622,0.312951350776576,"lnLARCENY","D_REC"
NA,"MASSACHUSETTS",-0.0980465864998568,0.165132306365639,-0.369879006069363,0.252755806047123,"lnLARCENY","D_REC"
-22,"NEVADA",0.128161969942035,0.299202038673888,-0.51834038896778,0.561530200377304,"lnLARCENY","D_REC"
-21,"NEVADA",0.104642953810417,0.222314426783428,-0.375317668761672,0.436413467033807,"lnLARCENY","D_REC"
-20,"NEVADA",0.10387314291249,0.213514857253091,-0.356115425744181,0.423066977217719,"lnLARCENY","D_REC"
-19,"NEVADA",0.0191547507298324,0.0944680329586994,-0.180244795465975,0.162762377770301,"lnLARCENY","D_REC"
-18,"NEVADA",-0.0516315231290001,0.0616373661027763,-0.168654537677308,0.0695722858734313,"lnLARCENY","D_REC"
-17,"NEVADA",-0.0603969204974417,0.0633095773458554,-0.181305787218291,0.0689390276916368,"lnLARCENY","D_REC"
-16,"NEVADA",-0.0882179471081939,0.0939808998246657,-0.258674578426744,0.0962930533186312,"lnLARCENY","D_REC"
-15,"NEVADA",-0.065455865540959,0.063314341885595,-0.184982761036855,0.0614021503064392,"lnLARCENY","D_REC"
-14,"NEVADA",0.0588844751155708,0.102178339880816,-0.156287228290743,0.222792370231216,"lnLARCENY","D_REC"
-13,"NEVADA",0.041574619432347,0.0636818078190503,-0.0904903753806533,0.152978924962196,"lnLARCENY","D_REC"
-12,"NEVADA",0.0273566803584355,0.0502367260712429,-0.0815274146913125,0.108624572953721,"lnLARCENY","D_REC"
-11,"NEVADA",0.0287419934944326,0.0321001268582075,-0.0323233731797528,0.0904857536201073,"lnLARCENY","D_REC"
-10,"NEVADA",-0.00345047792744158,0.020198196559997,-0.0390806829840956,0.0377231260191105,"lnLARCENY","D_REC"
-9,"NEVADA",0.0186235370206074,0.0404920918304328,-0.0595005987127244,0.100926034309955,"lnLARCENY","D_REC"
-8,"NEVADA",0.00508740435162469,0.0701138676393134,-0.105538861749108,0.14402444219756,"lnLARCENY","D_REC"
-7,"NEVADA",-0.0846133798865152,0.16111165029609,-0.330954373071634,0.260523186425848,"lnLARCENY","D_REC"
-6,"NEVADA",-0.126367822915816,0.239386560372852,-0.495018680167461,0.383468469431576,"lnLARCENY","D_REC"
-5,"NEVADA",-0.0271129194367798,0.0981778630322285,-0.165717379899865,0.182628659579635,"lnLARCENY","D_REC"
-4,"NEVADA",0.0337523746848269,0.0684631666613865,-0.0930597711371959,0.174475075263092,"lnLARCENY","D_REC"
-3,"NEVADA",-0.0207807972414331,0.130300463408983,-0.22632228555367,0.243972462997447,"lnLARCENY","D_REC"
-2,"NEVADA",-0.0310457384632139,0.101762043460262,-0.218405532649166,0.167257332478111,"lnLARCENY","D_REC"
-1,"NEVADA",-0.0107805097058353,0.0776865958451737,-0.147920632577943,0.142763125055641,"lnLARCENY","D_REC"
0,"NEVADA",0.0230661862062407,0.0471655179591915,-0.0728529319742905,0.115753543422417,"lnLARCENY","D_REC"
1,"NEVADA",0.0225983329314001,0.0405471710793867,-0.0480856612552819,0.105567190284417,"lnLARCENY","D_REC"
2,"NEVADA",0.0793063593994692,0.0862830480445616,-0.0960307429950739,0.234684804876297,"lnLARCENY","D_REC"
NA,"NEVADA",0.04165695951237,0.0474635083702726,-0.0481946897859695,0.135024182938836,"lnLARCENY","D_REC"
-22,"OREGON",NA,NA,NA,NA,"lnLARCENY","D_REC"
-21,"OREGON",-0.00634555023454553,0.126239610356386,-0.247768672352895,0.229384976650715,"lnLARCENY","D_REC"
-20,"OREGON",0.00845754141917965,0.0707286879053749,-0.132201484101271,0.129276030004604,"lnLARCENY","D_REC"
-19,"OREGON",0.077499168528723,0.142639929267206,-0.23102279798288,0.300261481366656,"lnLARCENY","D_REC"
-18,"OREGON",0.0404552650713477,0.0805436580836726,-0.132706184191723,0.162172595315843,"lnLARCENY","D_REC"
-17,"OREGON",0.00781195643279098,0.0348477921515575,-0.0617359011985541,0.0648551572180154,"lnLARCENY","D_REC"
-16,"OREGON",0.00613393542243301,0.0433678833887784,-0.0827304330911601,0.0691361142519466,"lnLARCENY","D_REC"
-15,"OREGON",0.0554875044473011,0.112068524038813,-0.186081435159517,0.224274348193488,"lnLARCENY","D_REC"
-14,"OREGON",-0.0022538191604955,0.0855291342844398,-0.161340303253042,0.152457514194785,"lnLARCENY","D_REC"
-13,"OREGON",0.0504187454975078,0.123759154933477,-0.213841889502916,0.23669153119153,"lnLARCENY","D_REC"
-12,"OREGON",0.0509157517755465,0.094500393591811,-0.153330934593175,0.196220915515019,"lnLARCENY","D_REC"
-11,"OREGON",0.0654312557983703,0.0831985622828713,-0.103508257062107,0.210574935787119,"lnLARCENY","D_REC"
-10,"OREGON",-0.0637011378388515,0.0834668267323515,-0.205007170570154,0.117816075194111,"lnLARCENY","D_REC"
-9,"OREGON",-0.0972779068278076,0.123382548806156,-0.300531142176561,0.164815765430048,"lnLARCENY","D_REC"
-8,"OREGON",-0.111877789217805,0.155058970366959,-0.369541799811333,0.21568641735446,"lnLARCENY","D_REC"
