"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.018498217294642,0.140452998894728,-0.267724639393426,0.287991953638103,"lnMURDER","D_REC"
-21,"Average",0.0501011899576654,0.148539986575279,-0.245761838278869,0.327977726780063,"lnMURDER","D_REC"
-20,"Average",0.0111491630735152,0.132956251468131,-0.229051751430977,0.280644209294636,"lnMURDER","D_REC"
-19,"Average",-0.0794003662114696,0.108517386924277,-0.285667792132675,0.130014424730169,"lnMURDER","D_REC"
-18,"Average",0.0607220638925539,0.109818874352885,-0.155870096976177,0.280714550381485,"lnMURDER","D_REC"
-17,"Average",-0.054532883530863,0.0775597086679939,-0.202622151738878,0.101487248497706,"lnMURDER","D_REC"
-16,"Average",0.00417397614400421,0.0818584576814558,-0.158225200645765,0.15995329124963,"lnMURDER","D_REC"
-15,"Average",0.0127059292245158,0.0776482196693665,-0.13297301879765,0.172149363572731,"lnMURDER","D_REC"
-14,"Average",-0.0164431521219308,0.0651209674841628,-0.143274460137199,0.115637393679277,"lnMURDER","D_REC"
-13,"Average",-0.0259589889619683,0.0616067913064752,-0.146602155695192,0.0879646793213144,"lnMURDER","D_REC"
-12,"Average",0.0480819175765871,0.054999001428188,-0.0585190623989547,0.157909364082025,"lnMURDER","D_REC"
-11,"Average",0.0560418594484665,0.0727042441221241,-0.084539312694785,0.206113394690753,"lnMURDER","D_REC"
-10,"Average",0.00932125442800218,0.0538041284620805,-0.105149776993458,0.106585656893571,"lnMURDER","D_REC"
-9,"Average",0.0203165908306435,0.0668922778872034,-0.104860797741347,0.156572180025117,"lnMURDER","D_REC"
-8,"Average",0.0337133291759495,0.0681758003105225,-0.108240008514026,0.155307538138339,"lnMURDER","D_REC"
-7,"Average",0.0219390740990047,0.0940365141748406,-0.16801561690479,0.185258805474318,"lnMURDER","D_REC"
-6,"Average",-0.0521218697627342,0.110006152430119,-0.266609899425576,0.161476498152283,"lnMURDER","D_REC"
-5,"Average",-0.0462259537387229,0.0944590624932219,-0.231154792706476,0.142552670515374,"lnMURDER","D_REC"
-4,"Average",0.0145043652562016,0.05839337855375,-0.096832155459227,0.132483108041742,"lnMURDER","D_REC"
-3,"Average",-0.05193051624793,0.0951899211793109,-0.238051123858086,0.132457606418754,"lnMURDER","D_REC"
-2,"Average",-0.0463680148884633,0.0888672175100475,-0.238692847090243,0.123825518220711,"lnMURDER","D_REC"
-1,"Average",0.0242548197445662,0.0724655852520859,-0.107925127266556,0.174308935742445,"lnMURDER","D_REC"
