"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0620737589221824,0.114887683220602,-0.15349269362961,0.301994848809071,"lnPROPERTY","D_REC"
-21,"Average",0.00420518516801272,0.0629013826915299,-0.120041577053536,0.133841672738705,"lnPROPERTY","D_REC"
-20,"Average",0.0176074533627514,0.0491620034014586,-0.0774079801229828,0.114378044120617,"lnPROPERTY","D_REC"
-19,"Average",0.00129121646068491,0.0439056805750365,-0.0921729809023272,0.0806757963984148,"lnPROPERTY","D_REC"
-18,"Average",-0.00317411691285065,0.0354954624710541,-0.0763966437577891,0.0654122767633936,"lnPROPERTY","D_REC"
-17,"Average",-0.034654546876977,0.0407403199785632,-0.119085029268534,0.0380153620787838,"lnPROPERTY","D_REC"
-16,"Average",-0.0264795031237012,0.0335189978964012,-0.0977169453213075,0.0313354229786812,"lnPROPERTY","D_REC"
-15,"Average",-0.00857775849879465,0.0246022403092561,-0.0562583065600737,0.0360664505945383,"lnPROPERTY","D_REC"
-14,"Average",-0.000323920293412756,0.0273880329983635,-0.0578340265842126,0.0505009613663962,"lnPROPERTY","D_REC"
-13,"Average",0.00925801103916069,0.0338858941409769,-0.0638274903255966,0.0733086727235858,"lnPROPERTY","D_REC"
-12,"Average",0.0256901345138663,0.0418003513696569,-0.0591423589684206,0.106164126094467,"lnPROPERTY","D_REC"
-11,"Average",0.0232796439714255,0.0370622162124973,-0.0493842080122056,0.097134526320358,"lnPROPERTY","D_REC"
-10,"Average",0.0151373078235822,0.0268668277489703,-0.038009712065782,0.0688466044348108,"lnPROPERTY","D_REC"
-9,"Average",0.0183594481059099,0.03274582883373,-0.0414923837628161,0.0874924692539032,"lnPROPERTY","D_REC"
-8,"Average",0.00726322462306252,0.0433067601759793,-0.0739580328163088,0.0984579630393524,"lnPROPERTY","D_REC"
-7,"Average",-0.0268149702114377,0.0533170928635611,-0.12753056043031,0.0851923734354501,"lnPROPERTY","D_REC"
-6,"Average",-0.0491277359725477,0.0643417122330226,-0.172112433474016,0.0770354536127226,"lnPROPERTY","D_REC"
-5,"Average",-0.0309062621886148,0.0502017540091715,-0.132045566051873,0.0621296338114809,"lnPROPERTY","D_REC"
-4,"Average",-0.00717883852618773,0.0422775869020325,-0.0912591191577546,0.0770142278521948,"lnPROPERTY","D_REC"
-3,"Average",0.00362872657246235,0.0355546677974197,-0.066468498481647,0.0737459060510206,"lnPROPERTY","D_REC"
-2,"Average",0.0170516571995378,0.0426810919089438,-0.058533845111618,0.108363206078019,"lnPROPERTY","D_REC"
-1,"Average",0.0250644463904061,0.0455914189922593,-0.056525389294055,0.121593726860578,"lnPROPERTY","D_REC"
0,"Average",0.0626828305987332,0.0711970546565738,-0.062013858009867,0.219212501615742,"lnPROPERTY","D_REC"
1,"Average",0.103245307861557,0.109295260401113,-0.0959582379957241,0.334855111405808,"lnPROPERTY","D_REC"
2,"Average",0.118248141107724,0.126477955047577,-0.124242605903207,0.37689752466924,"lnPROPERTY","D_REC"
NA,"Average",0.0947254265226712,0.10062744287712,-0.0877980075591034,0.312604751692261,"lnPROPERTY","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_REC"
-20,"ALASKA",0.050625459748284,0.111718790459272,-0.178690318588967,0.229141079682841,"lnPROPERTY","D_REC"
-19,"ALASKA",0.0243392345405145,0.076225700575311,-0.132109256618193,0.14624662429097,"lnPROPERTY","D_REC"
-18,"ALASKA",0.0255297081728418,0.0647138303031794,-0.107946975201263,0.132774759386708,"lnPROPERTY","D_REC"
-17,"ALASKA",-0.0210236189893678,0.0327257847950822,-0.0848120298617963,0.0431980093511492,"lnPROPERTY","D_REC"
-16,"ALASKA",-0.041712368991444,0.0510009540547275,-0.139318938594455,0.0585182337926233,"lnPROPERTY","D_REC"
-15,"ALASKA",-0.0288987554309319,0.0333254013308755,-0.101013260584491,0.0361228585692263,"lnPROPERTY","D_REC"
-14,"ALASKA",-0.0268716887869846,0.0366606964376781,-0.101117618074699,0.0395873139799959,"lnPROPERTY","D_REC"
-13,"ALASKA",-0.00483806884276561,0.0267355419645274,-0.059533333188759,0.0456217748209952,"lnPROPERTY","D_REC"
-12,"ALASKA",0.0177552752574304,0.0454227586304379,-0.0761688404954655,0.091070674696717,"lnPROPERTY","D_REC"
-11,"ALASKA",-0.0574549981075769,0.0651012582292964,-0.181222067827898,0.0695411779480485,"lnPROPERTY","D_REC"
-10,"ALASKA",0.0404636649525472,0.0676158734774052,-0.101471072634302,0.156101972723253,"lnPROPERTY","D_REC"
-9,"ALASKA",0.0702828297200959,0.100961762380143,-0.135864013682144,0.252056291527354,"lnPROPERTY","D_REC"
-8,"ALASKA",0.0312860804697621,0.0449191006167293,-0.061146180241858,0.11526517788839,"lnPROPERTY","D_REC"
-7,"ALASKA",-0.0910430324650893,0.127048049703696,-0.309504790150196,0.172981235862453,"lnPROPERTY","D_REC"
-6,"ALASKA",-0.0153149256941401,0.0513641734330844,-0.0949837239554268,0.0885665946723213,"lnPROPERTY","D_REC"
-5,"ALASKA",-0.0271669932180858,0.0573750608711729,-0.119859121791725,0.0911221616514709,"lnPROPERTY","D_REC"
-4,"ALASKA",-0.0991552276063814,0.159313781867948,-0.359294411916773,0.230757548946689,"lnPROPERTY","D_REC"
