"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0552631676639678,0.13631777966979,-0.1933999324798,0.329918812695563,"lnROBBERY","D_REC"
-21,"Average",0.0378384252382404,0.122029581461065,-0.20987107912443,0.289216533414517,"lnROBBERY","D_REC"
-20,"Average",0.0353139036998387,0.11219008691518,-0.166785775626119,0.274927025752659,"lnROBBERY","D_REC"
-19,"Average",-0.0149935919330629,0.0935707657497375,-0.190748012280218,0.175841865502918,"lnROBBERY","D_REC"
-18,"Average",-0.0294997692591389,0.0901952202780659,-0.187697092569454,0.154527053703742,"lnROBBERY","D_REC"
-17,"Average",-0.042727923056796,0.0698596130001481,-0.177235600276514,0.0919336608687185,"lnROBBERY","D_REC"
-16,"Average",-0.0101412014335259,0.0531025519739668,-0.113711163154133,0.0936727218380598,"lnROBBERY","D_REC"
-15,"Average",-0.00829122042141403,0.0481095017986695,-0.103753042806803,0.0788906445594371,"lnROBBERY","D_REC"
-14,"Average",0.0180849961474775,0.0431043596949726,-0.0648918076111174,0.097989041354439,"lnROBBERY","D_REC"
-13,"Average",-0.0238302562099199,0.0464552052691572,-0.116712911904674,0.0642342366812428,"lnROBBERY","D_REC"
-12,"Average",-0.0147525345276252,0.0507379849941227,-0.107284216262669,0.0866726233244507,"lnROBBERY","D_REC"
-11,"Average",0.00955285178581734,0.0455786829394417,-0.0779155168435425,0.102395818841336,"lnROBBERY","D_REC"
-10,"Average",0.0155862381793236,0.0402340999389692,-0.0594855955693305,0.094456884425609,"lnROBBERY","D_REC"
-9,"Average",0.0197867635361271,0.0395379721898933,-0.0539506293363012,0.0983113522682124,"lnROBBERY","D_REC"
-8,"Average",0.0107356000986829,0.0393854945561145,-0.066846724955204,0.0872905488231575,"lnROBBERY","D_REC"
-7,"Average",0.00504427441497463,0.0396955931111935,-0.0771593461539355,0.0796409324193674,"lnROBBERY","D_REC"
-6,"Average",-0.0386304946819495,0.060674395347079,-0.156789612634258,0.0787220979969378,"lnROBBERY","D_REC"
