"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0401300086540646,0.206014356111871,-0.331477359345935,0.460658613994681,"lnVIOLENT1","D_REC"
-21,"Average",0.0389070176478539,0.177450073335352,-0.264600621838034,0.405523029487523,"lnVIOLENT1","D_REC"
-20,"Average",0.0140482608042676,0.135037302509234,-0.194770687853705,0.298162833850617,"lnVIOLENT1","D_REC"
-19,"Average",-0.00743610153893464,0.125606050526393,-0.215147852650772,0.251467251155308,"lnVIOLENT1","D_REC"
-18,"Average",-0.0141734820996516,0.087359990710752,-0.170068694001587,0.17108868915637,"lnVIOLENT1","D_REC"
-17,"Average",-0.0327173802907062,0.0738724078151092,-0.169651277343682,0.119840617608122,"lnVIOLENT1","D_REC"
-16,"Average",-0.0150063438244609,0.0554576825790402,-0.123217309360338,0.0912610013619425,"lnVIOLENT1","D_REC"
-15,"Average",-0.00903376730252603,0.0445613942443453,-0.0936445476458134,0.0778757663904832,"lnVIOLENT1","D_REC"
-14,"Average",-0.00233198054398682,0.0368576790096017,-0.0792203037464413,0.0638453251616565,"lnVIOLENT1","D_REC"
-13,"Average",-0.01319697543069,0.0373423522681879,-0.0840272174774327,0.0601276987459504,"lnVIOLENT1","D_REC"
-12,"Average",-0.0141354737135241,0.0249053404901851,-0.0654085249257492,0.0292097991406209,"lnVIOLENT1","D_REC"
-11,"Average",0.00544572317417621,0.0274263023285716,-0.0516794936590246,0.0539531874101263,"lnVIOLENT1","D_REC"
-10,"Average",0.00512856425896947,0.034435011827769,-0.0628631715688081,0.0689071179363712,"lnVIOLENT1","D_REC"
-9,"Average",0.00873898490471868,0.0377969617388444,-0.0631082958416238,0.0807696899611667,"lnVIOLENT1","D_REC"
-8,"Average",0.0107797231514916,0.0454938694488197,-0.0724042484666588,0.101504737120614,"lnVIOLENT1","D_REC"
-7,"Average",0.0191449851767229,0.0497538652152731,-0.083741387639573,0.115290901091148,"lnVIOLENT1","D_REC"
-6,"Average",-0.0209553554313502,0.0555146198128036,-0.142027909758834,0.0689556799728433,"lnVIOLENT1","D_REC"
-5,"Average",-0.0135393291144486,0.0606195591663244,-0.144627256816569,0.0773910010294682,"lnVIOLENT1","D_REC"
-4,"Average",0.00729892117880482,0.0720499068660861,-0.140639416861353,0.116881460538686,"lnVIOLENT1","D_REC"
-3,"Average",0.00869990126211206,0.0856596276375648,-0.16605935847007,0.145827729536922,"lnVIOLENT1","D_REC"
-2,"Average",0.0291457412770178,0.100171394685655,-0.180413417131479,0.207070954365849,"lnVIOLENT1","D_REC"
-1,"Average",-0.00344658418699531,0.0874751418702745,-0.18606719564738,0.147490743649935,"lnVIOLENT1","D_REC"
0,"Average",-0.0339078054308208,0.1009565300862,-0.249769018512054,0.139421337018633,"lnVIOLENT1","D_REC"
1,"Average",0.0134680913374463,0.0973417015944974,-0.18282155580389,0.185774216187079,"lnVIOLENT1","D_REC"
2,"Average",-0.0154930582407145,0.110814759917697,-0.243103585384861,0.180230759753312,"lnVIOLENT1","D_REC"
NA,"Average",-0.0119775907780297,0.100738140664726,-0.220847284041994,0.163343966270792,"lnVIOLENT1","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_REC"
-20,"ALASKA",0.0109089226347745,0.108939288585314,-0.219050633139918,0.229881926540641,"lnVIOLENT1","D_REC"
-19,"ALASKA",0.0470316111665836,0.122458908960561,-0.196144073972408,0.286029718547874,"lnVIOLENT1","D_REC"
-18,"ALASKA",-0.0205726022152524,0.0962582144122704,-0.217421754476809,0.180013243960476,"lnVIOLENT1","D_REC"
-17,"ALASKA",-0.00564043915304602,0.110652712532522,-0.235907790920741,0.240508195862783,"lnVIOLENT1","D_REC"
-16,"ALASKA",0.00724288720072241,0.0880718268194737,-0.171746938050128,0.209273348699255,"lnVIOLENT1","D_REC"
-15,"ALASKA",-0.122935508890303,0.192060939509596,-0.456190703282621,0.280729204938588,"lnVIOLENT1","D_REC"
-14,"ALASKA",-0.0673621301347094,0.139216508359033,-0.319778866104157,0.213408313019123,"lnVIOLENT1","D_REC"
-13,"ALASKA",-0.0812962794608776,0.172878395606564,-0.374579524071501,0.272487528210602,"lnVIOLENT1","D_REC"
-12,"ALASKA",0.0151196112394958,0.0933515464779725,-0.148210038517776,0.170921499928093,"lnVIOLENT1","D_REC"
-11,"ALASKA",0.100782509216225,0.12552133894205,-0.156247194107623,0.342901232594806,"lnVIOLENT1","D_REC"
-10,"ALASKA",0.0353336063145226,0.0370992453089552,-0.0344246427754522,0.113713007230166,"lnVIOLENT1","D_REC"
-9,"ALASKA",0.0290105022376821,0.107216540204286,-0.172132976492856,0.225035799738647,"lnVIOLENT1","D_REC"
-8,"ALASKA",-0.0168770364161714,0.089273692393521,-0.159516988524867,0.160269239075674,"lnVIOLENT1","D_REC"
-7,"ALASKA",-0.0101836993366211,0.0619891028279683,-0.129035202158531,0.106650470701854,"lnVIOLENT1","D_REC"
-6,"ALASKA",0.00993999225536601,0.0614855676233287,-0.112604073069746,0.122634752154217,"lnVIOLENT1","D_REC"
-5,"ALASKA",0.065139369605208,0.117958270740412,-0.171797696444888,0.274092611972023,"lnVIOLENT1","D_REC"
-4,"ALASKA",0.0338479744610058,0.0848637280842829,-0.134473010631765,0.185989370323501,"lnVIOLENT1","D_REC"
-3,"ALASKA",-0.0549235764245504,0.145357672733363,-0.332375077697038,0.235388818760868,"lnVIOLENT1","D_REC"
-2,"ALASKA",0.0206402306260642,0.184620794935863,-0.351672887168022,0.390676528458267,"lnVIOLENT1","D_REC"
-1,"ALASKA",0.00479405507388542,0.201721325736047,-0.39513783629795,0.41187370782021,"lnVIOLENT1","D_REC"
0,"ALASKA",0.100458790107554,0.291524111350275,-0.463919606389496,0.625768983373682,"lnVIOLENT1","D_REC"
1,"ALASKA",0.167042099223008,0.34268783686825,-0.544053482912585,0.748646696831527,"lnVIOLENT1","D_REC"
2,"ALASKA",0.172611365317431,0.384279369243365,-0.620356652000242,0.823192968536204,"lnVIOLENT1","D_REC"
NA,"ALASKA",0.146704084882664,0.338027636884836,-0.535307055567565,0.733879820628344,"lnVIOLENT1","D_REC"
-22,"CALIFORNIA",0.017685975009619,0.457156235028689,-0.770766962311055,0.782909591478821,"lnVIOLENT1","D_REC"
-21,"CALIFORNIA",0.0039645172670264,0.385587894915624,-0.658440674342716,0.661161797147229,"lnVIOLENT1","D_REC"
-20,"CALIFORNIA",-0.0430895133431921,0.329478079232167,-0.62818108993412,0.526415087901844,"lnVIOLENT1","D_REC"
-19,"CALIFORNIA",-0.0913127619988847,0.281541890120211,-0.620623130131356,0.441272534745116,"lnVIOLENT1","D_REC"
