"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0745774203339629,0.20052069482601,-0.322174006523414,0.464666702848684,"lnASSAULT","D_REC"
-21,"Average",0.0399771424474695,0.168229980455435,-0.283552764555063,0.364369036926511,"lnASSAULT","D_REC"
-20,"Average",0.0143908616881744,0.131010369011106,-0.237155934107007,0.286714380287094,"lnASSAULT","D_REC"
-19,"Average",0.00756974341694541,0.128034904484184,-0.247178683648339,0.258707473816474,"lnASSAULT","D_REC"
-18,"Average",0.0038641692479827,0.100158066298986,-0.176560655927622,0.21172539441818,"lnASSAULT","D_REC"
-17,"Average",-0.0407556583270298,0.0961041650762787,-0.211936356422428,0.148832673078637,"lnASSAULT","D_REC"
-16,"Average",-0.0253487691279366,0.0694518952896931,-0.161814910759837,0.106437849022333,"lnASSAULT","D_REC"
-15,"Average",-0.0151054681207973,0.0545695094242809,-0.12465641998373,0.0862364796347988,"lnASSAULT","D_REC"
-14,"Average",-0.0245160002378314,0.0492164219705456,-0.128278205857826,0.0657684324240055,"lnASSAULT","D_REC"
-13,"Average",-0.00135050758260594,0.041170559970593,-0.0827186494051907,0.078066965467076,"lnASSAULT","D_REC"
-12,"Average",-0.00263763689905527,0.0258370050228917,-0.0522576654670656,0.0466148672367612,"lnASSAULT","D_REC"
-11,"Average",0.010117333025371,0.036362813651597,-0.0602464868301139,0.0817328352594242,"lnASSAULT","D_REC"
-10,"Average",0.0120960391937665,0.0408144492909699,-0.0680161892877092,0.092917031336665,"lnASSAULT","D_REC"
-9,"Average",0.0204726644635514,0.0474734815555127,-0.0638172464514556,0.11708482073899,"lnASSAULT","D_REC"
-8,"Average",-0.00340937188651212,0.0577711833183873,-0.11615306713202,0.110405917729612,"lnASSAULT","D_REC"
-7,"Average",0.0113153790415821,0.0627388818434275,-0.105310197416287,0.138682599451077,"lnASSAULT","D_REC"
-6,"Average",-0.0310620428482888,0.0673490375924968,-0.166178985755088,0.101590062224957,"lnASSAULT","D_REC"
-5,"Average",-0.00317971704459945,0.0668481959799744,-0.139945141316389,0.125063134457932,"lnASSAULT","D_REC"
-4,"Average",0.00069836383288597,0.0768449849596761,-0.156522478001994,0.146870573716729,"lnASSAULT","D_REC"
-3,"Average",-0.00711139786966733,0.0821378029460908,-0.182189344181162,0.143096135455136,"lnASSAULT","D_REC"
-2,"Average",0.0241108740667827,0.0871218542044011,-0.151447273140466,0.189260773165132,"lnASSAULT","D_REC"
-1,"Average",0.00130976759849106,0.082983819409654,-0.164585978908478,0.150477813128735,"lnASSAULT","D_REC"
