"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",-0.00256492275587602,0.18477054114065,-0.384165202073406,0.324439170520364,"lnAUTO","D_REC"
-21,"Average",0.0143499279028769,0.144396202725563,-0.286665171921725,0.295627935325552,"lnAUTO","D_REC"
-20,"Average",-0.0103045862081471,0.0855144765426916,-0.177733970183216,0.146153629125162,"lnAUTO","D_REC"
-19,"Average",0.00866970314221547,0.0795138376945986,-0.144657106926515,0.177619929660573,"lnAUTO","D_REC"
-18,"Average",-0.0408441507928711,0.0952471835585007,-0.218600978982986,0.141855564609938,"lnAUTO","D_REC"
-17,"Average",-0.0812002959206898,0.103781926758079,-0.282436794325924,0.111861316028472,"lnAUTO","D_REC"
-16,"Average",-0.0400987924899133,0.0774456169781579,-0.188825784516785,0.0885147203305146,"lnAUTO","D_REC"
-15,"Average",-0.0328487073131923,0.0557863924996274,-0.150222854137156,0.0593076286892556,"lnAUTO","D_REC"
-14,"Average",0.0302854368061387,0.0614157754009494,-0.0978500958945356,0.143795945777575,"lnAUTO","D_REC"
-13,"Average",0.0427019079068018,0.0774373695905875,-0.115220338573541,0.195353219325026,"lnAUTO","D_REC"
-12,"Average",0.100744194105385,0.121498850833398,-0.14498106949006,0.341715439735715,"lnAUTO","D_REC"
-11,"Average",0.0972522025531788,0.116093268096234,-0.13697430168248,0.327241675018551,"lnAUTO","D_REC"
-10,"Average",0.0215663710374282,0.0578335764761055,-0.087900084405385,0.126560368058408,"lnAUTO","D_REC"
-9,"Average",0.00490385792605735,0.0633929004152857,-0.123826533610802,0.126684079133575,"lnAUTO","D_REC"
-8,"Average",0.0293663499016696,0.0864044163174796,-0.14170513426488,0.190424940983371,"lnAUTO","D_REC"
-7,"Average",-0.048681224475361,0.0907995458371817,-0.219704648589772,0.136695899316984,"lnAUTO","D_REC"
-6,"Average",-0.0690430342880628,0.0890039236854901,-0.238254643678137,0.110394939582246,"lnAUTO","D_REC"
-5,"Average",-0.0701253075235924,0.0871017148262016,-0.243257583194452,0.0931824879578798,"lnAUTO","D_REC"
-4,"Average",-0.0373766129357495,0.0697715170086556,-0.17409196588136,0.0995668892274335,"lnAUTO","D_REC"
-3,"Average",0.00165367528752939,0.0652923634602965,-0.106646512428438,0.143206670748687,"lnAUTO","D_REC"
-2,"Average",0.0353097297321862,0.082849873101614,-0.102389928745119,0.213291996431289,"lnAUTO","D_REC"
-1,"Average",0.050501467909598,0.103778706332007,-0.118855165251467,0.267936082568582,"lnAUTO","D_REC"
0,"Average",0.0667152983300615,0.128660330891236,-0.138693803098649,0.326435402530106,"lnAUTO","D_REC"
1,"Average",0.12986318833744,0.190997076271481,-0.209981580621198,0.52274219232931,"lnAUTO","D_REC"
2,"Average",0.165016079670797,0.232458381251654,-0.278994647598871,0.629048182864967,"lnAUTO","D_REC"
NA,"Average",0.120531522112766,0.180211671048278,-0.203915309430257,0.492007708589334,"lnAUTO","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnAUTO","D_REC"
