"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0538341361612472,0.13828640753694,-0.210484741846041,0.327635345770717,"lnBURGLARY","D_REC"
-21,"Average",0.011096812770433,0.101848034899173,-0.189591373587058,0.2197145317899,"lnBURGLARY","D_REC"
-20,"Average",0.015700093757388,0.0740007562588173,-0.128272243366944,0.16899753262566,"lnBURGLARY","D_REC"
-19,"Average",0.00862307355536771,0.0729001383088197,-0.14242228589214,0.145947699069021,"lnBURGLARY","D_REC"
-18,"Average",-0.0340726434371192,0.0521554922158013,-0.142832775732647,0.0628226796820847,"lnBURGLARY","D_REC"
-17,"Average",-0.0421729624798264,0.0551097427293735,-0.155445841521314,0.0550479556660798,"lnBURGLARY","D_REC"
-16,"Average",-0.0236706353842242,0.0391875094726677,-0.103961425787104,0.0516979470292814,"lnBURGLARY","D_REC"
-15,"Average",0.0135556219099097,0.0324831830554792,-0.0506365723753176,0.0781683690398332,"lnBURGLARY","D_REC"
-14,"Average",0.0226690215849894,0.0263161233781952,-0.0266119249689524,0.0724310190139342,"lnBURGLARY","D_REC"
-13,"Average",0.040534351062993,0.043378668151583,-0.0468472131359876,0.122231052735726,"lnBURGLARY","D_REC"
-12,"Average",0.0320048355468654,0.0498191321478658,-0.0661529854737398,0.125294324445977,"lnBURGLARY","D_REC"
-11,"Average",0.0400412986408038,0.0492206629579967,-0.050352721422213,0.137386346857574,"lnBURGLARY","D_REC"
-10,"Average",0.0366066876727316,0.0496460873584814,-0.0562250175160439,0.132683434104394,"lnBURGLARY","D_REC"
-9,"Average",0.0375855232877046,0.0527305060844709,-0.0545857186254064,0.140896975346591,"lnBURGLARY","D_REC"
-8,"Average",0.000623651812642884,0.050726253514547,-0.0939362471672816,0.0981790608047112,"lnBURGLARY","D_REC"
-7,"Average",-0.01699318780033,0.0582024913365154,-0.120314564712153,0.102792930246362,"lnBURGLARY","D_REC"
-6,"Average",-0.0667109222345733,0.0769999545239667,-0.21821829854673,0.0882122930756768,"lnBURGLARY","D_REC"
-5,"Average",-0.0512258313551732,0.0703925141776202,-0.196439302174395,0.0855696452785229,"lnBURGLARY","D_REC"
-4,"Average",-0.0310691355510845,0.0706374236717705,-0.168843384734969,0.106302372951719,"lnBURGLARY","D_REC"
-3,"Average",-0.0228223407523453,0.060640837620807,-0.136684615252025,0.0926401411974003,"lnBURGLARY","D_REC"
-2,"Average",0.00173515781326168,0.0785945475269359,-0.154117082407469,0.152142920106664,"lnBURGLARY","D_REC"
-1,"Average",0.016595010215738,0.063131339711086,-0.0946242509875991,0.145942555251452,"lnBURGLARY","D_REC"
0,"Average",0.058133343228886,0.0876179807598432,-0.0987727441603434,0.241332397330173,"lnBURGLARY","D_REC"
1,"Average",0.122197862163068,0.134255697016774,-0.130474248646266,0.390756947712056,"lnBURGLARY","D_REC"
2,"Average",0.126829656587686,0.144059189144619,-0.152084532888902,0.406680808997423,"lnBURGLARY","D_REC"
NA,"Average",0.102386953993213,0.119211884464724,-0.126427303785196,0.341488212387908,"lnBURGLARY","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnBURGLARY","D_REC"
-20,"ALASKA",0.0329313250124335,0.156258210909913,-0.274860698959509,0.266869079482929,"lnBURGLARY","D_REC"
-19,"ALASKA",0.0402202284382511,0.212997999787689,-0.374923794653993,0.366403769851079,"lnBURGLARY","D_REC"
-18,"ALASKA",-0.109727722880691,0.110583861486353,-0.316511345229716,0.0975689756673546,"lnBURGLARY","D_REC"
-17,"ALASKA",-0.0737733193028092,0.0846162142409551,-0.2384100231226,0.0789802396903229,"lnBURGLARY","D_REC"
-16,"ALASKA",-0.0238072701084624,0.0621270170414646,-0.155801323831649,0.0757836939010187,"lnBURGLARY","D_REC"
-15,"ALASKA",0.0993006499698996,0.139823545116521,-0.181629093458698,0.345158904673138,"lnBURGLARY","D_REC"
-14,"ALASKA",0.0273771103723899,0.0860279354519723,-0.144426549601831,0.166262573110909,"lnBURGLARY","D_REC"
-13,"ALASKA",0.0400813978126049,0.0791944380338171,-0.124409338028654,0.170094029846184,"lnBURGLARY","D_REC"
-12,"ALASKA",0.00568489665802474,0.08602024222384,-0.148200245818213,0.155899158840894,"lnBURGLARY","D_REC"
-11,"ALASKA",-0.0147765966528688,0.0935495069494606,-0.167599973447073,0.162603413148528,"lnBURGLARY","D_REC"
-10,"ALASKA",0.103697922481297,0.173843485849663,-0.260256805086669,0.401109788715184,"lnBURGLARY","D_REC"
-9,"ALASKA",0.137377381465294,0.169452187700309,-0.201235170455345,0.445443769736158,"lnBURGLARY","D_REC"
-8,"ALASKA",0.0340886005400343,0.0379123294155051,-0.0389893884005388,0.111072569948296,"lnBURGLARY","D_REC"
-7,"ALASKA",-0.0664174318273076,0.148989976677856,-0.298337904677958,0.245015514535538,"lnBURGLARY","D_REC"
-6,"ALASKA",0.0366528390518228,0.0682552064237011,-0.0926611627462842,0.170394612134479,"lnBURGLARY","D_REC"
-5,"ALASKA",-0.089667573665495,0.208320288297252,-0.415177022704582,0.34194852312342,"lnBURGLARY","D_REC"
-4,"ALASKA",-0.162948867126335,0.361417180886725,-0.754782913372162,0.590843114003325,"lnBURGLARY","D_REC"
-3,"ALASKA",-0.150546328542569,0.273061396111274,-0.595337432766757,0.413603978544854,"lnBURGLARY","D_REC"
-2,"ALASKA",-0.0339633972772617,0.193791855755362,-0.344115626709837,0.352417822493145,"lnBURGLARY","D_REC"
-1,"ALASKA",0.168216155581751,0.167031072767294,-0.153335248258684,0.503866236979438,"lnBURGLARY","D_REC"
0,"ALASKA",0.307252227462198,0.326179612292241,-0.357711668680792,0.947945935988641,"lnBURGLARY","D_REC"
1,"ALASKA",0.436492308914223,0.511686777814113,-0.606355902699986,1.39871060304532,"lnBURGLARY","D_REC"
2,"ALASKA",0.574608234062158,0.669894028005629,-0.783321212798523,1.8340646702405,"lnBURGLARY","D_REC"
NA,"ALASKA",0.439450923479527,0.501147194937488,-0.564731244968425,1.39366789612396,"lnBURGLARY","D_REC"
-22,"CALIFORNIA",0.126619249532512,0.288945333016162,-0.509509155351885,0.665688957430053,"lnBURGLARY","D_REC"
-21,"CALIFORNIA",0.0487164632673203,0.199602446138479,-0.383122965869431,0.463105441924307,"lnBURGLARY","D_REC"
-20,"CALIFORNIA",0.0212405834505498,0.133989362832047,-0.274345967109749,0.309181910789925,"lnBURGLARY","D_REC"
-19,"CALIFORNIA",-0.0476728316620774,0.0895519031527001,-0.219930910923757,0.126282502922472,"lnBURGLARY","D_REC"
-18,"CALIFORNIA",-0.146076071631993,0.158486336854893,-0.479338976097388,0.158956102331387,"lnBURGLARY","D_REC"
-17,"CALIFORNIA",-0.0826093236233092,0.102095948948315,-0.285796496124807,0.120298727123987,"lnBURGLARY","D_REC"
-16,"CALIFORNIA",-0.0361484410325623,0.06730634940228,-0.171502145802112,0.0932118568149912,"lnBURGLARY","D_REC"
-15,"CALIFORNIA",-0.00908995233663124,0.0564729439967838,-0.104368464551853,0.0923194440257362,"lnBURGLARY","D_REC"
-14,"CALIFORNIA",0.0105149758693406,0.0332239004622243,-0.0527609352302252,0.0740552130886386,"lnBURGLARY","D_REC"
-13,"CALIFORNIA",0.0247869780040713,0.0335824195067945,-0.0378753226740657,0.0930503731788118,"lnBURGLARY","D_REC"
-12,"CALIFORNIA",0.0470489573989079,0.0647071201963261,-0.0776144892547793,0.186571034421962,"lnBURGLARY","D_REC"
-11,"CALIFORNIA",0.021746414384249,0.0531300644829227,-0.073661154206259,0.127495184558624,"lnBURGLARY","D_REC"
-10,"CALIFORNIA",0.00195915135422098,0.0496010349259255,-0.106479122089811,0.111223598777002,"lnBURGLARY","D_REC"
-9,"CALIFORNIA",0.00698917298276402,0.0607440768663811,-0.109691390081656,0.145391571749225,"lnBURGLARY","D_REC"
-8,"CALIFORNIA",-0.0602916840613013,0.108532435091289,-0.263988147130874,0.178205692233008,"lnBURGLARY","D_REC"
-7,"CALIFORNIA",-0.0484822805670939,0.08511233869369,-0.202736558501036,0.132948399142137,"lnBURGLARY","D_REC"
-6,"CALIFORNIA",-0.0775306168269045,0.117221670925573,-0.296335730206028,0.176019611716718,"lnBURGLARY","D_REC"
-5,"CALIFORNIA",0.0139450121964106,0.0530366760399185,-0.0795954657969399,0.122207720018213,"lnBURGLARY","D_REC"
-4,"CALIFORNIA",0.0878939751291199,0.093247002844974,-0.0864757756114527,0.277788238538135,"lnBURGLARY","D_REC"
-3,"CALIFORNIA",0.0163735738450779,0.055943136292625,-0.0944033183105827,0.122560865831281,"lnBURGLARY","D_REC"
-2,"CALIFORNIA",0.0506710564151494,0.117038619892918,-0.171627397254046,0.29054741029618,"lnBURGLARY","D_REC"
-1,"CALIFORNIA",0.0293956379121791,0.121588322493846,-0.203769172258978,0.273403457831071,"lnBURGLARY","D_REC"
0,"CALIFORNIA",0.0775965242638055,0.137814740012731,-0.196085328739003,0.358094822221443,"lnBURGLARY","D_REC"
1,"CALIFORNIA",0.200242894434906,0.220555869787176,-0.234989642198192,0.6412030914751,"lnBURGLARY","D_REC"
2,"CALIFORNIA",0.192845795642214,0.245027827184172,-0.302845849547523,0.682297723294902,"lnBURGLARY","D_REC"
NA,"CALIFORNIA",0.156895071446975,0.193315105709227,-0.231285436083937,0.55241584841761,"lnBURGLARY","D_REC"
-22,"COLORADO",NA,NA,NA,NA,"lnBURGLARY","D_REC"
-21,"COLORADO",NA,NA,NA,NA,"lnBURGLARY","D_REC"
-20,"COLORADO",NA,NA,NA,NA,"lnBURGLARY","D_REC"
-19,"COLORADO",NA,NA,NA,NA,"lnBURGLARY","D_REC"
-18,"COLORADO",0.0558459467646104,0.122064692604079,-0.191446384806328,0.245404183614051,"lnBURGLARY","D_REC"
-17,"COLORADO",0.0119454468726561,0.142355204135217,-0.243194087318456,0.236600882997064,"lnBURGLARY","D_REC"
-16,"COLORADO",-0.0747320119723822,0.0807544628197839,-0.223540099281943,0.0830643770569531,"lnBURGLARY","D_REC"
-15,"COLORADO",0.0175008012079365,0.0569039790871815,-0.0940691061927191,0.110995083647948,"lnBURGLARY","D_REC"
-14,"COLORADO",-0.00967093627733995,0.0206165325722835,-0.0490493414095898,0.0323600423013069,"lnBURGLARY","D_REC"
-13,"COLORADO",0.0264740906686436,0.059544533513636,-0.095367678939082,0.124478445908262,"lnBURGLARY","D_REC"
-12,"COLORADO",-0.0504804290938798,0.0616034597652946,-0.166081984278327,0.0745072443651311,"lnBURGLARY","D_REC"
-11,"COLORADO",0.023945519926472,0.0853800796765167,-0.144145011796091,0.168753162730364,"lnBURGLARY","D_REC"
-10,"COLORADO",0.0163798997900315,0.125368943388692,-0.209755428324616,0.220641199723691,"lnBURGLARY","D_REC"
-9,"COLORADO",0.0118581719876989,0.163749418779245,-0.267933468573631,0.268909088561972,"lnBURGLARY","D_REC"
-8,"COLORADO",0.126404987152159,0.21649498125311,-0.326655885905166,0.481904982374722,"lnBURGLARY","D_REC"
-7,"COLORADO",0.0856810557902605,0.113528227496302,-0.147078637853999,0.290040957170285,"lnBURGLARY","D_REC"
-6,"COLORADO",-0.0530957697401107,0.0635070873673629,-0.176155732394784,0.0745820082714532,"lnBURGLARY","D_REC"
-5,"COLORADO",-0.0272808302194933,0.099305364138625,-0.191050482513742,0.161357593326045,"lnBURGLARY","D_REC"
-4,"COLORADO",-0.0825046975516521,0.17501982893016,-0.359622645758665,0.277739460477362,"lnBURGLARY","D_REC"
-3,"COLORADO",-0.0362898887523686,0.178772572332912,-0.313416992239977,0.30675650796762,"lnBURGLARY","D_REC"
-2,"COLORADO",-0.00556873063618646,0.270891555119132,-0.419389697221726,0.449464388169282,"lnBURGLARY","D_REC"
-1,"COLORADO",-0.0364126259170536,0.186621620497228,-0.327080145974281,0.322520358329633,"lnBURGLARY","D_REC"
0,"COLORADO",-0.00766578688834141,0.165226136215844,-0.274424376268747,0.29248405748552,"lnBURGLARY","D_REC"
1,"COLORADO",0.0272556910577606,0.152099060631709,-0.227594726772422,0.296571460232726,"lnBURGLARY","D_REC"
2,"COLORADO",0.0275771480503382,0.0639875950149897,-0.086494874873416,0.158090016047943,"lnBURGLARY","D_REC"
NA,"COLORADO",0.0157223507399191,0.124059751294463,-0.187137999217696,0.244127151833114,"lnBURGLARY","D_REC"
-22,"MASSACHUSETTS",0.0245230120825557,0.228809815298225,-0.465108323667714,0.51740362347423,"lnBURGLARY","D_REC"
-21,"MASSACHUSETTS",-0.0616052429285423,0.168053266265806,-0.393808879623664,0.277471298980147,"lnBURGLARY","D_REC"
-20,"MASSACHUSETTS",-0.0754700770616754,0.125061128787992,-0.320776927067032,0.159616321469777,"lnBURGLARY","D_REC"
-19,"MASSACHUSETTS",-0.0551796680844356,0.108845442395994,-0.266047160163413,0.140444971785693,"lnBURGLARY","D_REC"
-18,"MASSACHUSETTS",-0.064045925920154,0.110138602955428,-0.27525125716036,0.139249321500174,"lnBURGLARY","D_REC"
-17,"MASSACHUSETTS",-0.079443030971972,0.140595413548867,-0.341296625071252,0.206051450263967,"lnBURGLARY","D_REC"
-16,"MASSACHUSETTS",-0.0445090568482689,0.0966970218595409,-0.227517310998376,0.142910509287156,"lnBURGLARY","D_REC"
-15,"MASSACHUSETTS",-0.00439278092099737,0.072461353227852,-0.120904178710747,0.1155750097788,"lnBURGLARY","D_REC"
-14,"MASSACHUSETTS",0.0622560442722673,0.0630664978082793,-0.056890467010425,0.180467345991538,"lnBURGLARY","D_REC"
-13,"MASSACHUSETTS",0.0325709340782483,0.050749091973886,-0.05977684898004,0.13209101768744,"lnBURGLARY","D_REC"
-12,"MASSACHUSETTS",0.0740207055002173,0.0899685462915887,-0.104204320168721,0.243446164956582,"lnBURGLARY","D_REC"
-11,"MASSACHUSETTS",0.0779342919625892,0.101644542787591,-0.114926890707985,0.275931186148029,"lnBURGLARY","D_REC"
-10,"MASSACHUSETTS",0.0916011380841528,0.121989511198969,-0.156924182915613,0.3255397116898,"lnBURGLARY","D_REC"
-9,"MASSACHUSETTS",0.0675896322536147,0.109520283708246,-0.154541682442685,0.273776969447301,"lnBURGLARY","D_REC"
-8,"MASSACHUSETTS",0.0322089645985466,0.0833349719519381,-0.116374352843765,0.201706415419239,"lnBURGLARY","D_REC"
-7,"MASSACHUSETTS",0.134590651856572,0.182431382020813,-0.234317427372386,0.447281846412649,"lnBURGLARY","D_REC"
-6,"MASSACHUSETTS",0.0336155993468523,0.0984547900076027,-0.160249668030982,0.205232118915805,"lnBURGLARY","D_REC"
-5,"MASSACHUSETTS",0.0249827841829777,0.0775810369326587,-0.129937114923765,0.168638019871227,"lnBURGLARY","D_REC"
-4,"MASSACHUSETTS",0.021416420009472,0.0725813097649378,-0.111966888472249,0.163977251803209,"lnBURGLARY","D_REC"
-3,"MASSACHUSETTS",-0.0598509703815049,0.109812524546511,-0.258263076834491,0.173757695440313,"lnBURGLARY","D_REC"
-2,"MASSACHUSETTS",-0.0634855408944537,0.167838012967003,-0.354597285852145,0.277439374043351,"lnBURGLARY","D_REC"
-1,"MASSACHUSETTS",-0.169327884216056,0.294488408929853,-0.664704824653822,0.46935238508184,"lnBURGLARY","D_REC"
0,"MASSACHUSETTS",-0.198655421207565,0.33924881411962,-0.774408494693786,0.507800250376,"lnBURGLARY","D_REC"
1,"MASSACHUSETTS",-0.253760255200434,0.414570732353217,-0.952312053283741,0.619605442803432,"lnBURGLARY","D_REC"
2,"MASSACHUSETTS",-0.225149382038869,0.426809568777423,-0.941037063917724,0.659814071906263,"lnBURGLARY","D_REC"
NA,"MASSACHUSETTS",-0.225855019482289,0.392982500565904,-0.890070766630493,0.602941031606929,"lnBURGLARY","D_REC"
-22,"NEVADA",0.010360146868674,0.0918150915922301,-0.17758440451027,0.193622319453093,"lnBURGLARY","D_REC"
-21,"NEVADA",-0.0292293381438924,0.0587042337169422,-0.138554004487471,0.0876355813572472,"lnBURGLARY","D_REC"
-20,"NEVADA",0.0619454038864706,0.126397065818099,-0.197359307376707,0.266403313564094,"lnBURGLARY","D_REC"
-19,"NEVADA",-0.00383852568274889,0.0422453562326822,-0.0827819312984903,0.0758763699270717,"lnBURGLARY","D_REC"
-18,"NEVADA",-0.00989996144080152,0.0298318199209328,-0.0682569763446652,0.0481823768580543,"lnBURGLARY","D_REC"
-17,"NEVADA",-0.0537849725926796,0.0926475580512184,-0.202590528726278,0.137332962079177,"lnBURGLARY","D_REC"
-16,"NEVADA",-0.0530969100763574,0.148931692161124,-0.289250071973109,0.250638974644956,"lnBURGLARY","D_REC"
-15,"NEVADA",-0.0948433033585205,0.132617119115495,-0.329375587164156,0.179678199778747,"lnBURGLARY","D_REC"
-14,"NEVADA",0.0176763778369322,0.0376662811268244,-0.0590944060157143,0.0817381566399976,"lnBURGLARY","D_REC"
-13,"NEVADA",0.0379571891522357,0.0705283879717263,-0.107162103138264,0.150109439507299,"lnBURGLARY","D_REC"
-12,"NEVADA",0.0130286485923987,0.0722874304168299,-0.125766632416769,0.128056404017944,"lnBURGLARY","D_REC"
-11,"NEVADA",0.0689752345173194,0.10663191633005,-0.154818064254122,0.262360423683517,"lnBURGLARY","D_REC"
-10,"NEVADA",0.0366460239868287,0.0834184892249761,-0.144768212191948,0.181823583127137,"lnBURGLARY","D_REC"
