"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0427160551789202,0.137161747680783,-0.235095999117013,0.295332052528382,"lnMURDER","D_REC"
-21,"Average",0.082453493532206,0.151452861194664,-0.21291206698052,0.386480117522657,"lnMURDER","D_REC"
-20,"Average",0.026097245947795,0.124380682482362,-0.198993458579941,0.278227183640894,"lnMURDER","D_REC"
-19,"Average",-0.087917815349402,0.102510650395218,-0.284731793007385,0.111038267675554,"lnMURDER","D_REC"
-18,"Average",0.0827531697374287,0.1151699299272,-0.140327737107446,0.306611435773936,"lnMURDER","D_REC"
-17,"Average",-0.0230453360883301,0.0539125223247689,-0.135254592583893,0.0708936649417769,"lnMURDER","D_REC"
-16,"Average",0.0347043704044759,0.0793015514844119,-0.127554819868212,0.176499434380455,"lnMURDER","D_REC"
-15,"Average",0.0216933717846197,0.066618503683805,-0.103463524719941,0.15588942411111,"lnMURDER","D_REC"
-14,"Average",-0.0156473124037034,0.0580285942065782,-0.135270217835216,0.0882810841507262,"lnMURDER","D_REC"
-13,"Average",-0.041023506417122,0.0665705926403735,-0.165925967026408,0.0850848736709512,"lnMURDER","D_REC"
-12,"Average",0.0562598976974978,0.0600472375162682,-0.0632435076373676,0.181423102907709,"lnMURDER","D_REC"
-11,"Average",0.0724608763340903,0.0827046811976655,-0.0777988872349499,0.247798417187386,"lnMURDER","D_REC"
-10,"Average",0.0146250002792716,0.0480003727688936,-0.080552550597111,0.106534342016553,"lnMURDER","D_REC"
-9,"Average",0.0139467464633085,0.0585535100994967,-0.0943106565289081,0.135675197542484,"lnMURDER","D_REC"
-8,"Average",0.0262260138485761,0.0578910437453626,-0.0836452190656091,0.137923130957514,"lnMURDER","D_REC"
-7,"Average",0.0213079984109369,0.0863923949148915,-0.14462283708755,0.186948580652738,"lnMURDER","D_REC"
-6,"Average",-0.0787166813187278,0.118207830649181,-0.30904718524561,0.155007343175855,"lnMURDER","D_REC"
-5,"Average",-0.0785037064070029,0.104412718489626,-0.287149857870379,0.1254946113118,"lnMURDER","D_REC"
-4,"Average",0.00308889313185777,0.0591094228287989,-0.105492006043428,0.121784885417779,"lnMURDER","D_REC"
-3,"Average",-0.0680056899550456,0.0995346344673334,-0.279503602807957,0.123692576965269,"lnMURDER","D_REC"
-2,"Average",-0.0868349610958576,0.103082722106743,-0.292286698521865,0.0986863053833859,"lnMURDER","D_REC"
-1,"Average",0.023445242356933,0.0766881182075167,-0.115569937409173,0.188484705862887,"lnMURDER","D_REC"
0,"Average",0.0860768033689268,0.119072655552193,-0.133573883200518,0.334712575311833,"lnMURDER","D_REC"
1,"Average",-0.0281520235219809,0.072877257415398,-0.178181757810685,0.105542304508286,"lnMURDER","D_REC"
2,"Average",-0.0496851056919832,0.123690759881178,-0.296602325135857,0.185539541069678,"lnMURDER","D_REC"
NA,"Average",0.00274655805165422,0.0820152485719298,-0.162703720748907,0.164678794891939,"lnMURDER","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnMURDER","D_REC"
