"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0352485359883725,0.109635187694667,-0.214940749210906,0.216672742589058,"lnRAPE","D_REC"
-21,"Average",0.022652550258568,0.0632352293637036,-0.105165648988878,0.141791567158349,"lnRAPE","D_REC"
-20,"Average",0.00101497014192331,0.0599565277988817,-0.12513243669732,0.103864450390547,"lnRAPE","D_REC"
-19,"Average",-0.0329782431918554,0.0706597863100798,-0.167541635708592,0.108326246879276,"lnRAPE","D_REC"
-18,"Average",-0.0103514459374993,0.0686726448818418,-0.146558661876395,0.125854347089085,"lnRAPE","D_REC"
-17,"Average",-0.00897217046887005,0.0396999215315175,-0.0795421885309819,0.073558252381927,"lnRAPE","D_REC"
-16,"Average",0.021704012358468,0.0414423506423088,-0.0520365504337703,0.103720181829981,"lnRAPE","D_REC"
-15,"Average",-0.0125269950141744,0.0265713807167567,-0.0671822657177866,0.0408267835606814,"lnRAPE","D_REC"
-14,"Average",-0.0220584539746487,0.0388227676579342,-0.0957801016986618,0.0581292356210225,"lnRAPE","D_REC"
-13,"Average",-0.0298456281428334,0.0349654829924803,-0.105137832648401,0.0314295823977654,"lnRAPE","D_REC"
-12,"Average",-0.00369385954310467,0.0299827638433223,-0.0674509088189944,0.0433723362802063,"lnRAPE","D_REC"
-11,"Average",0.0364786464357467,0.0372433953804449,-0.0310903129067234,0.113236339020796,"lnRAPE","D_REC"
-10,"Average",0.0101270020770499,0.0246955884963811,-0.0338315379865667,0.0580023914887859,"lnRAPE","D_REC"
-9,"Average",0.0223399516941278,0.0276051110789959,-0.0296086393411078,0.0794610310680233,"lnRAPE","D_REC"
-8,"Average",-0.000788800562940014,0.0273849504219452,-0.0522688080702894,0.0542198737024872,"lnRAPE","D_REC"
-7,"Average",-0.0118026012487826,0.0409276367619943,-0.0921991039283172,0.0682378700326687,"lnRAPE","D_REC"
-6,"Average",-0.0204590669224786,0.042518687966077,-0.102082666031888,0.064798688600963,"lnRAPE","D_REC"
-5,"Average",-0.0444178843007625,0.0609345740748136,-0.160748279294191,0.0741966914468656,"lnRAPE","D_REC"
-4,"Average",-0.00558359390441541,0.065233249835758,-0.136387281883272,0.115950539618733,"lnRAPE","D_REC"
-3,"Average",0.0494196578548561,0.0630165098101144,-0.0670746974944334,0.169465159196262,"lnRAPE","D_REC"
-2,"Average",0.0252673262861333,0.0761551416036225,-0.127121684379588,0.17479696347606,"lnRAPE","D_REC"
-1,"Average",-5.60172215475139e-05,0.0632822092549738,-0.118830718525494,0.122095249781925,"lnRAPE","D_REC"
0,"Average",0.0291438933816717,0.081581042366786,-0.118252929585636,0.196515503806104,"lnRAPE","D_REC"
1,"Average",0.12200055978698,0.146872583122647,-0.147616775199011,0.418773524312602,"lnRAPE","D_REC"
2,"Average",0.0344518853912154,0.0956988637216828,-0.146955287118466,0.239077338742037,"lnRAPE","D_REC"
NA,"Average",0.0618654461866222,0.102144040305757,-0.120024029171821,0.269091168721658,"lnRAPE","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnRAPE","D_REC"
-20,"ALASKA",0.0101690161958663,0.0751734227223856,-0.125976246840015,0.149715941372405,"lnRAPE","D_REC"
-19,"ALASKA",-0.116575704717478,0.280933117081936,-0.589794574121959,0.449995791738894,"lnRAPE","D_REC"
-18,"ALASKA",-0.118437607766741,0.283885299922853,-0.6028976717576,0.47189668591663,"lnRAPE","D_REC"
-17,"ALASKA",-0.0759810361682538,0.205627851299893,-0.438472475114292,0.34444538164459,"lnRAPE","D_REC"
-16,"ALASKA",0.103129520449495,0.115112370365888,-0.108496895141584,0.329983017863233,"lnRAPE","D_REC"
-15,"ALASKA",0.0134635351124972,0.0353406178277767,-0.0555529116197029,0.083163951459312,"lnRAPE","D_REC"
-14,"ALASKA",0.0184766871495698,0.0440175398556625,-0.072915915823569,0.0946996078012964,"lnRAPE","D_REC"
-13,"ALASKA",-0.0474508793322883,0.0494586811862753,-0.14886217402656,0.0484194784020494,"lnRAPE","D_REC"
-12,"ALASKA",0.110248668729961,0.202867485561987,-0.293655222079238,0.434357453068242,"lnRAPE","D_REC"
-11,"ALASKA",0.083403839395257,0.117981480381847,-0.152696985975689,0.315895700721656,"lnRAPE","D_REC"
-10,"ALASKA",0.037136327316353,0.0673029384454382,-0.0885231152775904,0.171390326282572,"lnRAPE","D_REC"
-9,"ALASKA",0.000930667067040147,0.0416893246756531,-0.0777089064607403,0.0797119077419204,"lnRAPE","D_REC"
-8,"ALASKA",-0.00714461268184419,0.0600756504811746,-0.125423300866948,0.126450937643762,"lnRAPE","D_REC"
-7,"ALASKA",-0.124401373396545,0.187273564061076,-0.453797849814925,0.273726833250535,"lnRAPE","D_REC"
-6,"ALASKA",0.012377251118239,0.0371599327576756,-0.063289966065526,0.0801187389222667,"lnRAPE","D_REC"
-5,"ALASKA",0.00291945841789243,0.076502498418343,-0.140756192499861,0.14175892813689,"lnRAPE","D_REC"
-4,"ALASKA",-0.208849693862953,0.26533323317758,-0.710692013077466,0.324519721042464,"lnRAPE","D_REC"
-3,"ALASKA",0.0654635721436838,0.139851121435956,-0.229425755385762,0.311087044208384,"lnRAPE","D_REC"
-2,"ALASKA",0.19970088296674,0.390782698857184,-0.604570672645731,0.866983953633863,"lnRAPE","D_REC"
-1,"ALASKA",0.0414214818635052,0.158996703212717,-0.27395545888703,0.326485099831945,"lnRAPE","D_REC"
0,"ALASKA",0.115423673593612,0.251292076142553,-0.409350297724127,0.545719918683732,"lnRAPE","D_REC"
1,"ALASKA",0.196319215808263,0.400793895359911,-0.639434507932142,0.892403646333571,"lnRAPE","D_REC"
2,"ALASKA",-0.0497956577289322,0.19320752833123,-0.382378831206077,0.328125049589454,"lnRAPE","D_REC"
NA,"ALASKA",0.0873157438909808,0.263984485909216,-0.449479302783315,0.551346493979759,"lnRAPE","D_REC"
-22,"CALIFORNIA",0.0280985001600351,0.157144684311729,-0.296752411532905,0.270224353404837,"lnRAPE","D_REC"
