"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0809083191365299,0.135573874318132,-0.198437391324649,0.332154590226996,"lnROBBERY","D_REC"
-21,"Average",0.0391692668581138,0.114339319645523,-0.1892132691424,0.239209930164356,"lnROBBERY","D_REC"
-20,"Average",0.0401174209933682,0.109258023572265,-0.152428013833716,0.251775514657027,"lnROBBERY","D_REC"
-19,"Average",-0.00696524876699183,0.0794282815552544,-0.161691560105484,0.150014222200859,"lnROBBERY","D_REC"
-18,"Average",-0.0235519410997402,0.0637661463967912,-0.150809348326708,0.102961913439145,"lnROBBERY","D_REC"
-17,"Average",-0.0613409436137422,0.0683145207360449,-0.197200399565079,0.073761634398117,"lnROBBERY","D_REC"
-16,"Average",-0.0218144052100436,0.0397103762553494,-0.101367360308881,0.0558349080168458,"lnROBBERY","D_REC"
-15,"Average",-0.0189428883023259,0.0373705501395054,-0.0933222553162807,0.0542673615203403,"lnROBBERY","D_REC"
-14,"Average",0.00271498936936165,0.0329265908911238,-0.060864694080625,0.0669990174098821,"lnROBBERY","D_REC"
-13,"Average",-0.0320243557671522,0.05039691468558,-0.133558727704293,0.0609702811953936,"lnROBBERY","D_REC"
-12,"Average",-0.01884594366103,0.0534768479150969,-0.11086087635719,0.0925167368350155,"lnROBBERY","D_REC"
-11,"Average",0.0107818413501625,0.0474331890638126,-0.0787147043063636,0.103744831481648,"lnROBBERY","D_REC"
-10,"Average",0.0156514528707902,0.036182243090496,-0.0535261215050572,0.0861620549311964,"lnROBBERY","D_REC"
-9,"Average",0.0247951546693201,0.0359779502472811,-0.0479328450031938,0.0972734111123837,"lnROBBERY","D_REC"
-8,"Average",0.0108341936964817,0.037883164664001,-0.0678878801975682,0.0871493097752398,"lnROBBERY","D_REC"
-7,"Average",0.0104150914466121,0.0349614322387036,-0.0531693709393515,0.0835329418251558,"lnROBBERY","D_REC"
-6,"Average",-0.0356029568870003,0.057654200030125,-0.146453246341341,0.0757604467035088,"lnROBBERY","D_REC"
-5,"Average",-0.0345856574869724,0.0490463257828428,-0.132465833377185,0.05760686380639,"lnROBBERY","D_REC"
-4,"Average",0.00478829908943292,0.0426932110786429,-0.075611336418895,0.0882106918320448,"lnROBBERY","D_REC"
-3,"Average",0.025123718214966,0.0617090311080974,-0.0978421612139295,0.146812924405042,"lnROBBERY","D_REC"
-2,"Average",0.0206375165256395,0.0699586458401584,-0.11963772805177,0.163106381705431,"lnROBBERY","D_REC"
-1,"Average",0.0402292796561065,0.0774531152880276,-0.11569118949882,0.195381522811726,"lnROBBERY","D_REC"
0,"Average",0.0295496768886145,0.0920892401931739,-0.154061725444967,0.206486383545248,"lnROBBERY","D_REC"
1,"Average",0.0710372661082467,0.119813597223028,-0.164404827115147,0.302392188499921,"lnROBBERY","D_REC"
2,"Average",0.120983764043475,0.166501348298456,-0.203207225476736,0.445865936784673,"lnROBBERY","D_REC"
NA,"Average",0.0738569023467788,0.122247192681783,-0.161377948538557,0.313294648580382,"lnROBBERY","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnROBBERY","D_REC"
-20,"ALASKA",0.221065492494665,0.36030503613742,-0.518578908606644,0.885774127533112,"lnROBBERY","D_REC"
-19,"ALASKA",0.0344709720319774,0.10050994608905,-0.148483286981334,0.239770347394806,"lnROBBERY","D_REC"
-18,"ALASKA",0.0414088480655188,0.152374545697338,-0.27415770635909,0.312736167611884,"lnROBBERY","D_REC"
