"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0641733020276609,0.172105439509772,-0.311145695109534,0.387203910859699,"lnVIOLENT1","D_REC"
-21,"Average",0.0527769057178895,0.148025444166655,-0.248854490919311,0.330533117919118,"lnVIOLENT1","D_REC"
-20,"Average",0.0260302991598017,0.10490127534186,-0.181793376569225,0.226232044645113,"lnVIOLENT1","D_REC"
-19,"Average",0.00655392364226675,0.0941611018760698,-0.1858345672328,0.190187002726558,"lnVIOLENT1","D_REC"
-18,"Average",-0.00444082521735112,0.0718296749130743,-0.136456947134254,0.140702805808048,"lnVIOLENT1","D_REC"
-17,"Average",-0.0283661128162055,0.0657353787844628,-0.152083313848665,0.105417487428772,"lnVIOLENT1","D_REC"
-16,"Average",-0.0200649169569141,0.0505971076469228,-0.118490117449236,0.0760461324827997,"lnVIOLENT1","D_REC"
-15,"Average",-0.0205646946278646,0.0463248775255551,-0.111131066565937,0.0686987815787319,"lnVIOLENT1","D_REC"
-14,"Average",-0.0181814969434731,0.037744345428465,-0.0933585188664185,0.0503863239347529,"lnVIOLENT1","D_REC"
-13,"Average",-0.0179629526455375,0.0350801608977212,-0.0903575883085891,0.0478290601686851,"lnVIOLENT1","D_REC"
-12,"Average",-0.0136715802108064,0.0236132743406292,-0.0601100287018919,0.029814694047392,"lnVIOLENT1","D_REC"
-11,"Average",0.00598717449706816,0.0248207857655469,-0.0453451787257559,0.0521005357772142,"lnVIOLENT1","D_REC"
-10,"Average",0.00891021796174523,0.0326746354630513,-0.0531800484135539,0.0747316052856428,"lnVIOLENT1","D_REC"
-9,"Average",0.0116249471382811,0.0337501284715647,-0.0532190735271152,0.0784211637500584,"lnVIOLENT1","D_REC"
-8,"Average",-0.00535993931843302,0.0422210146046821,-0.0860644276448672,0.0805677921538316,"lnVIOLENT1","D_REC"
-7,"Average",0.00352711357099622,0.042301955342828,-0.0757487299956499,0.0888917182089651,"lnVIOLENT1","D_REC"
-6,"Average",-0.0314312223479627,0.0522273192216841,-0.139540022176541,0.0677791690928071,"lnVIOLENT1","D_REC"
-5,"Average",-0.0159330323699081,0.0500095697941753,-0.119926471001605,0.0778421912987916,"lnVIOLENT1","D_REC"
-4,"Average",0.00273505777959177,0.0565417495986701,-0.112005821770111,0.111884006535943,"lnVIOLENT1","D_REC"
-3,"Average",0.0147328959385959,0.0718486448977399,-0.131910724538328,0.155381880970279,"lnVIOLENT1","D_REC"
-2,"Average",0.0334792533672478,0.0859682806892175,-0.141827242169499,0.198260094953259,"lnVIOLENT1","D_REC"
-1,"Average",0.0140445927773738,0.0788811013202062,-0.143468460161741,0.168201913801038,"lnVIOLENT1","D_REC"
0,"Average",-0.0091749976156318,0.0892729522993354,-0.191337376884161,0.164066442455807,"lnVIOLENT1","D_REC"
1,"Average",0.0363612076806867,0.0963237786860709,-0.156287291647647,0.221725863960906,"lnVIOLENT1","D_REC"
2,"Average",0.00751906860093308,0.103234441070136,-0.202699425365885,0.204441405463565,"lnVIOLENT1","D_REC"
NA,"Average",0.011568426221996,0.0940737542341586,-0.184978474109137,0.191927941407472,"lnVIOLENT1","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnVIOLENT1","D_REC"
-20,"ALASKA",0.00480299116340266,0.0754906057585703,-0.152391808142152,0.135922288938358,"lnVIOLENT1","D_REC"
-19,"ALASKA",0.0362119950329403,0.0892744423909561,-0.151060606809434,0.183644176345748,"lnVIOLENT1","D_REC"
-18,"ALASKA",-0.037051285089424,0.0775879898888415,-0.198503873037101,0.113856746517176,"lnVIOLENT1","D_REC"
-17,"ALASKA",-0.00684921696833651,0.0882369556584633,-0.160533175849574,0.166416579799509,"lnVIOLENT1","D_REC"
